"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","fur","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","pval","z","inv_cof_var"
"T8405",0.195843311,0.192039111,0.195791646,0.195701444,0.188193101,0.127646357,0.083473882,0.185964172,0.195876578,0.168506526,0.140537211,0.195237289,0.186097856,0.19270336,0.19269241,0.192696368,0.175844679,0.184499768,1.05802264225367e-16,8.21531699423774,6.01575095858077
"T1995",0.282045818,0.28062403,0.055661847,0.052845962,0.066974448,0.19558224,0.077537427,0.056746688,0.066987422,0.057789223,0.052566175,0.120803825,0.094246646,0.084672886,0.075377071,0.062142684,0.16652943,0.059642731,0.44930587688754,0.127415241261443,1.43380855174589
"T0850",0.282968836,0.135219919,0.204863757,0.04421388,0.085007775,0.275120184,0.260087049,0.109859061,0.199786201,0,0.668855554,0.080089554,0.230125473,0.030599345,0.070501975,0.055487383,0.079179696,0.069004422,0.466321375420622,0.0845203159502653,1.40950780189455
"T0855",0.196415717,0.066764291,0.038147272,0.03733654,0.037905882,0.249123536,0.163996868,0.146404084,0.047643652,0.071247128,0.493925569,0.234705963,0.230125473,0.054609309,0.070501975,0.043076306,0.134539221,0.069004422,0.443824382967984,0.141279978330307,1.44166317568616
"T0856",0.270275788,0.050044361,0.15376543,0.023533051,0.084290663,0.245633826,0.155621063,0.237834955,0.154871154,0.085650766,0.653268026,0.14515272,0.230125473,0.018522682,0.070501975,0.068725666,0.088951856,0.069004422,0.353626660632335,0.375547507906966,1.57437996195483
"T0858",0.245670125,0.249014842,0.039813835,0.040027134,0.059336747,0.268202568,0.259779699,0.097390142,0.083808572,0.078019011,0.399541094,0.194033158,0.230125473,0.045322318,0.070501975,0.065984262,0.138146973,0.069004422,0.405482150338,0.239182204919264,1.49712655511784
"T8142",0.036768102,0.068898134,0.038128762,0.033335872,0.10728381,0.118652857,0.118293615,0.033029807,0.131970947,0.042212266,0.158663101,0.15332004,0.074798245,0.039152575,0.0449879,0.039371748,0.037180772,0.033704331,0.312443883429153,0.48893492776167,1.638615983027
"T8143",0.04023715,0.065510169,0.03994782,0.041740499,0.089110662,0.107843316,0.099631327,0.04023862,0.103279959,0.045256125,0.164528776,0.125824421,0.084826397,0.04281487,0.047182913,0.04437232,0.040809084,0.040005625,0.0809462794778975,1.3987346850963,2.15403397612089
"T8144",0.091568197,0.130344201,0.048606019,0.048561918,0.102608497,0.091341605,0.113072385,0.048238544,0.130724547,0.060097679,0.13138679,0.115050211,0.126961512,0.055138034,0.053608457,0.050580246,0.05186808,0.049778916,0.0306421828457474,1.87143821864624,2.42182906468464
"T8221",0.120637822,0.118101983,0.024959947,0.027200569,0.114258934,0.10264508,0.14523688,0.025518073,0.118982498,0.026830533,0.101527381,0.141610637,0.160703647,0.025022308,0.0638308,0.093754983,0.025962834,0.030175145,0.350109216627447,0.385025621054849,1.57974948422345
"T0717",0.073782064,0.052090044,0.054094781,0.064490696,0.131973964,0.212381624,0.1728728,0.051969408,0.171317268,0.09394585,0.382003538,0.17450635,0.196558224,0.082553847,0.070501975,0.119233009,0.071047793,0.082058952,0.128635245568777,1.13286609246212,2.00341461692952
