"","exbB","exbD","fepC","fepD","fepG","fhuA","fhuB","fhuC","fhuD","fhuE","gpmA","metJ","nohA","tfaQ","ydfN","ygaC","yhhY","fur"
"exbB",1,0.330933498014028,0.237242687840051,0.182789787497841,0.350589552351883,0.388716073635623,0.103263841060879,0.301550766992048,0.363169432083879,0.190856515286011,0.368206525635726,0.189234161628314,-0.0217431488837097,-0.00329694642168244,0.0832986398815516,0.186046996135814,0.270008623901245,0.198559325638294
"exbD",0.330933498014028,1,0.316530499942775,0.15636437431316,0.345743849572361,0.33137740464551,0.329045983108313,0.239122390039249,0.375702769241509,0.300697807732306,0.567613662760041,0.124279480953171,-0.0708615798806937,0.130258066356633,0.0668613616326192,0.168185965515738,0.399127971961685,0.0853978251609671
"fepC",0.237242687840051,0.316530499942775,1,0.493171839409367,0.339660996938165,0.00537021939686233,0.374085309638176,0.556652475038849,0.382279395831101,0.636888521056124,0.335979306986359,0.0298288641877608,0.252390380811269,0.267117541113374,0.15709358504633,0.276063412960159,0.518989849658076,0.158692360991277
"fepD",0.182789787497841,0.15636437431316,0.493171839409367,1,0.325805405306874,-0.0405398384563709,0.131825963199619,0.480199971119844,0.336764767769252,0.461389180437669,0.186789243773691,0.0840014990552323,0.340907028340227,0.489099640992628,0.172088099678161,0.204115028023046,0.330708121098763,-0.0225858990478642
"fepG",0.350589552351883,0.345743849572361,0.339660996938165,0.325805405306874,1,0.400099663067664,0.211893556989623,0.271865222187084,0.632146682642197,0.256987154697879,0.358714672680615,0.218059306939067,0.14540720812211,0.211687941125655,0.246508997757486,0.226701041470002,0.337752511872649,0.094221276440387
"fhuA",0.388716073635623,0.33137740464551,0.00537021939686233,-0.0405398384563709,0.400099663067664,1,-0.0625680149579967,0.0634274150681719,0.413794709551175,0.00704428255572832,0.255907084518098,0.185678335682226,-0.197850897703188,-0.0877259300516753,0.0515103261290686,-0.12287979697162,0.0396326412908249,0.23988355018216
"fhuB",0.103263841060879,0.329045983108313,0.374085309638176,0.131825963199619,0.211893556989623,-0.0625680149579967,1,0.266833657484319,0.175788986253734,0.385040569581646,0.249041884817269,0.0258032231731641,0.403967456961721,0.0825333864871793,0.127903946673711,0.623502811496105,0.551561761159139,0.217157952860436
"fhuC",0.301550766992048,0.239122390039249,0.556652475038849,0.480199971119844,0.271865222187084,0.0634274150681719,0.266833657484319,1,0.318480664576641,0.540255223516442,0.168636207286865,0.000734159048915765,0.177584243313208,0.216664485414271,0.15859998393666,0.282081967018017,0.338794495237205,0.0152419814467071
"fhuD",0.363169432083879,0.375702769241509,0.382279395831101,0.336764767769252,0.632146682642197,0.413794709551175,0.175788986253734,0.318480664576641,1,0.286564986944495,0.376920424343382,0.163145848564192,0.0836556970177239,0.281341467913319,0.213045361156679,0.0474014923414468,0.298243427259744,0.158984053021064
"fhuE",0.190856515286011,0.300697807732306,0.636888521056124,0.461389180437669,0.256987154697879,0.00704428255572832,0.385040569581646,0.540255223516442,0.286564986944495,1,0.297465323094598,0.0794017072046961,0.302173166456197,0.236125738674294,0.205335429562925,0.35263741379875,0.506119619056383,0.083095933194907
"gpmA",0.368206525635726,0.567613662760041,0.335979306986359,0.186789243773691,0.358714672680615,0.255907084518098,0.249041884817269,0.168636207286865,0.376920424343382,0.297465323094598,1,0.269453173174948,0.0430497783309019,0.0908413977468269,0.158528108343415,0.224567240475542,0.43158489892347,0.187067682428728
"metJ",0.189234161628314,0.124279480953171,0.0298288641877608,0.0840014990552323,0.218059306939067,0.185678335682226,0.0258032231731641,0.000734159048915765,0.163145848564192,0.0794017072046961,0.269453173174948,1,0.190263611894965,0.0705093437383891,0.221013050454439,0.120827334101409,0.140001426513492,0.0932491103773953
"nohA",-0.0217431488837097,-0.0708615798806937,0.252390380811269,0.340907028340227,0.14540720812211,-0.197850897703188,0.403967456961721,0.177584243313208,0.0836556970177239,0.302173166456197,0.0430497783309019,0.190263611894965,1,0.431438317309588,0.317037299912441,0.565022595602457,0.400518654018376,0.0821055006679002
"tfaQ",-0.00329694642168244,0.130258066356633,0.267117541113374,0.489099640992628,0.211687941125655,-0.0877259300516753,0.0825333864871793,0.216664485414271,0.281341467913319,0.236125738674294,0.0908413977468269,0.0705093437383891,0.431438317309588,1,0.135595686078777,0.113781713783247,0.191445810197308,-0.103432260862862
"ydfN",0.0832986398815516,0.0668613616326192,0.15709358504633,0.172088099678161,0.246508997757486,0.0515103261290686,0.127903946673711,0.15859998393666,0.213045361156679,0.205335429562925,0.158528108343415,0.221013050454439,0.317037299912441,0.135595686078777,1,0.316895288079792,0.26248880729925,0.0174009240980927
"ygaC",0.186046996135814,0.168185965515738,0.276063412960159,0.204115028023046,0.226701041470002,-0.12287979697162,0.623502811496105,0.282081967018017,0.0474014923414468,0.35263741379875,0.224567240475542,0.120827334101409,0.565022595602457,0.113781713783247,0.316895288079792,1,0.523505536115281,0.15981421500642
"yhhY",0.270008623901245,0.399127971961685,0.518989849658076,0.330708121098763,0.337752511872649,0.0396326412908249,0.551561761159139,0.338794495237205,0.298243427259744,0.506119619056383,0.43158489892347,0.140001426513492,0.400518654018376,0.191445810197308,0.26248880729925,0.523505536115281,1,0.205239491827495
"fur",0.198559325638294,0.0853978251609671,0.158692360991277,-0.0225858990478642,0.094221276440387,0.23988355018216,0.217157952860436,0.0152419814467071,0.158984053021064,0.083095933194907,0.187067682428728,0.0932491103773953,0.0821055006679002,-0.103432260862862,0.0174009240980927,0.15981421500642,0.205239491827495,1
