"","cusA","cusB","cusC","cusF","cusR","hprR","phoB","yedX","pval","z","inv_cof_var"
"T0175",0.038699112,0.036609279,0.037189966,0.042855757,0.055140685,0.039836719,0.03699527,0.040610983,0.354839473750783,0.372287307784966,6.06219777736199
"T1996",0.046887166,0.049064337,0.050084109,0.046777727,0.066287296,0.086348406,0.102973336,0.04536299,0.322575814856189,0.460508001210478,6.50336158262424
"T1997",0.041257011,0.041249025,0.041628314,0.04118104,0.04499349,0.047247941,0.132407848,0.043359288,2.594136619312e-06,4.55702709939217,26.9887588687974
"T0850",0.04379038,0.043465935,0.041407715,0.029771711,0.046142341,0.050253389,0.031637606,0.029517134,0.41587522609089,0.21245708824125,5.26293736450499
"T0858",0.040002294,0.040216692,0.039668135,0.046024753,0.057226191,0.039823162,0.040780742,0.040612734,0.333601713755013,0.429989296109378,6.35074718399173
"T0859",0.024413353,0.024525474,0.025668946,0.026317458,0.035084806,0.024403694,0.024868259,0.024913203,0.321298614066929,0.464070511475813,6.52117657051331
"T8222",0.04157363,0.051817172,0.048726907,0.028959327,0.035646069,0.05236398,0.029809226,0.031295248,0.495517001241428,0.0112374479501562,4.25670153980846
"T0718",0.06777029,0.075749387,0.078583006,0.052874267,0.059457943,0.052489083,0.0585685,0.056718499,0.345055711884516,0.398703859429274,6.19429860306169
"T0719",0.063312687,0.072168553,0.075391825,0.048406914,0.054305978,0.047980835,0.054416131,0.057904821,0.364763352535996,0.345755188081482,5.92951903232419
"T0928",0.042309639,0.052045448,0.052915246,0.031925799,0.031237735,0.030199943,0.031520065,0.037331594,0.49024627791349,0.0244513918076742,4.32278029671176
"T0929",0.030348486,0.03923553,0.040082313,0.023706165,0.038156179,0.0224897,0.022897191,0.026729732,0.461122495325986,0.097606213194857,4.68860443754895
"T0930",0.050388525,0.058542479,0.060079986,0.043772819,0.052355586,0.043113812,0.043473309,0.046752638,0.217883177539752,0.779362249175493,8.09785090133548
"T1992",0.051960514,0.05736572,0.059248487,0.047164626,0.050512986,0.058755577,0.051798545,0.049539477,0.0810537605941985,1.39801846880219,11.1915551265252
"T1993",0.041029438,0.045130135,0.047797447,0.040857557,0.047454287,0.045401509,0.04073939,0.040073179,0.0487259586948497,1.65733424520914,12.4883113663842
"T1994",0.040354733,0.045084674,0.047328521,0.041987655,0.049530745,0.046799187,0.039750465,0.041743157,0.0518759145798962,1.62693064219969,12.3362725569335
"T4825",0.064646314,0.087809515,0.066263248,0.078185497,0.114824604,0.065620658,0.065676715,0.083534117,0.475350682813961,0.0618260407562439,4.50967910367266
"T4826",0.080864588,0.074838237,0.078505891,0.081795494,0.068872294,0.081369028,0.075977346,0.078463042,0.00794063427593291,2.41163276650477,16.2603198718425
"T4827",0.07609623,0.10114346,0.075913716,0.080546919,0.121270687,0.078865038,0.077026138,0.081766872,0.442348919531479,0.145016506738968,4.9256883313202
"T4829",0.086112548,0.075479477,0.089727922,0.08317939,0.052917821,0.083361039,0.083574185,0.085303098,0.372781260768127,0.324496037747984,5.82320874055928
"T4830",0.081713432,0.074944256,0.089452555,0.093327035,0.050281578,0.071426835,0.072240314,0.074612619,0.431288830410877,0.173093847652465,5.06609423925497
"T0931",0.036149258,0.03750808,0.039673904,0.034864165,0.054298094,0.034879955,0.034833861,0.034921171,0.411454271852294,0.223805636779103,5.31968786898147
"T0932",0.038426618,0.040351347,0.042620538,0.0357942,0.051300556,0.036312791,0.035900684,0.036795732,0.273217618852475,0.603110415945579,7.21647118856086
"T0933",0.038613485,0.039651167,0.041358917,0.038414754,0.059571914,0.038039065,0.0382289,0.038017998,0.430760627953687,0.174437995547298,5.07281589805286
"T8252",0.065967131,0.06574296,0.066769002,0.065764199,0.070594684,0.067252826,0.066118226,0.065900382,3.18158835171169e-10,6.18116127955905,35.1105405886824
"T8253",0.050976217,0.050981483,0.052427124,0.050514128,0.051470601,0.050444992,0.050203371,0.050276933,5.48517183452421e-36,12.4693601062993,66.5558355068485
"T8254",0.070041944,0.068734264,0.079941085,0.060261256,0.045866679,0.053564755,0.058484583,0.060983736,0.391437362487119,0.2755747247038,5.57856871583288
"T8255",0.056067653,0.066267864,0.069456216,0.043132101,0.042997084,0.045398171,0.045950436,0.047593858,0.4622426214009,0.0947854515745487,4.67449870020056
