"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","purR","speA","speB","ubiX","pval","z","inv_cof_var"
"T0174",0.269484226,0.202734148,0.298967555,0.281110641,0.324155476,0.294767648,0.048080611,0.327457805,0.264912664,0.317594227,0.305816534,0.158145012,0.26616067,0.292054049,0.255433811,0.268635426,0.03458716,0.0246018278730085,1.96682269022798,2.70182041170891
"T8405",0.17695052,0.171420064,0.123174018,0.171291902,0.132529027,0.189475306,0.144376601,0.229895688,0.19093457,0.18966778,0.09121595,0.187227232,0.143510181,0.174573944,0.087277655,0.1158154,0.19440993,7.0470776833252e-06,4.34238922484483,3.9160923438373
"T1995",0.329853718,0.107619592,0.074591177,0.351605269,0.275152593,0.236205054,0.343049537,0.357617931,0.316910019,0.25435284,0.182279723,0.147903956,0.2589231,0.081145117,0.484736655,0.101762059,0.052664236,0.286560056894874,0.563462316036774,1.98449210782437
"T1996",0.28791397,0.260090719,0.082645544,0.30494599,0.141692896,0.224012248,0.303242115,0.307173419,0.279708842,0.239586202,0.193781306,0.165260298,0.242114189,0.094232072,0.433966596,0.121778375,0.046114754,0.117872053046429,1.18569161753636,2.30254490287297
"T1997",0.323020399,0.056773334,0.08841182,0.350317483,0.254276553,0.150511999,0.346121751,0.351827651,0.308788018,0.247718086,0.190100522,0.162999463,0.251806383,0.099625797,0.469539363,0.121494716,0.041678241,0.351291522601495,0.381835958188159,1.89165371106447
"T0855",0.212602509,0.145283449,0.068486762,0.319109888,0.166550071,0.160606934,0.234039217,0.226230551,0.208780756,0.164180687,0.135252589,0.124332879,0.164411816,0.123317143,0.462208494,0.084666768,0.032918357,0.434377474985803,0.165240168422135,1.78094067301754
"T0718",0.207461804,0.18322271,0.069081897,0.387509965,0.094371742,0.386985178,0.389816123,0.085977797,0.385512504,0.18443219,0.23785474,0.23754748,0.137390124,0.284111091,0.286525847,0.102486411,0.056715869,0.451851097501754,0.120985910500555,1.75832008862712
"T4832",0.277831103,0.098401618,0.103247388,0.107538565,0.231254695,0.104520381,0.37474696,0.147776908,0.28662717,0.356630538,0.289097782,0.083282407,0.091050638,0.334535017,0.109470637,0.100064507,0.093703533,0.496774863218904,0.00808430710387461,1.70061038186911
"T5536",0.067908274,0.228364955,0.062858134,0.068787516,0.078063212,0.292816577,0.253963464,0.124411706,0.064846448,0.22615572,0.175334506,0.097208514,0.154851635,0.06933211,0.303823039,0.176615902,0.093235721,0.404813631751758,0.24090691378943,1.81961776488431
"T5538",0.166724143,0.227428726,0.087365428,0.128675191,0.072569889,0.294229357,0.135527453,0.112407475,0.298777403,0.182143511,0.24733939,0.097407708,0.151622748,0.068860986,0.299172809,0.170106375,0.090962774,0.162471951447706,0.984349085059024,2.19962857433902
"T5540",0.095654147,0.234984522,0.099077192,0.094551311,0.094134354,0.299139922,0.082615648,0.115165823,0.065678879,0.224472921,0.213870059,0.082668233,0.151824312,0.094406386,0.297678904,0.17349986,0.071137209,0.371472633576784,0.327955555689936,1.86411271842462
"T5542",0.132910318,0.245308234,0.098285159,0.227211719,0.092881312,0.300483363,0.266329882,0.11499142,0.282588161,0.093189618,0.140413499,0.102809288,0.158368119,0.060077812,0.301407114,0.177224027,0.105412397,0.150509818984399,1.03424928737686,2.22513508581707
"T5544",0.158522583,0.248167411,0.063888229,0.116716872,0.046243026,0.30809178,0.254257552,0.126907312,0.044026594,0.120686764,0.127756653,0.114837752,0.166984697,0.103724436,0.315451659,0.191886558,0.133989423,0.365358918515656,0.344170804759122,1.87240115048083
"T5546",0.04606492,0.242028518,0.047659013,0.064923213,0.045290821,0.295386871,0.261555536,0.123627557,0.195609068,0.18026636,0.14012973,0.318395326,0.161477789,0.109824692,0.302456026,0.183642517,0.091098803,0.441495646863857,0.147178292937122,1.77170833701538
"T5548",0.116270486,0.231291317,0.098442809,0.065300958,0.169476673,0.295291577,0.264357635,0.092903999,0.06575934,0.100004408,0.108254853,0.113140714,0.129682997,0.106511646,0.309427045,0.155004208,0.082153079,0.38345031746676,0.296431417842693,1.84799914079391
"T5550",0.098810435,0.241466866,0.056830037,0.208680254,0.062537585,0.309161884,0.259367981,0.104757116,0.0797182,0.122023728,0.142000801,0.117840792,0.137102793,0.06463698,0.307920212,0.163993925,0.091157133,0.367192784390914,0.339297575671645,1.86991019718042
"T5552",0.153950395,0.251412038,0.12903384,0.122879024,0.057222872,0.310279144,0.254754869,0.116443714,0.047022898,0.195816506,0.081962366,0.129002598,0.164017242,0.140970271,0.313257409,0.18683635,0.12913583,0.265214444311529,0.627351444181707,2.01714906520445
"T5554",0.124020801,0.226785161,0.102095351,0.108371651,0.064198861,0.296687916,0.078503187,0.124257747,0.135644475,0.207762441,0.100089534,0.11585961,0.154426175,0.064646836,0.309668356,0.167116099,0.120750955,0.216239040382857,0.784958193275674,2.09770982784783
"T5556",0.157755368,0.204177563,0.077707437,0.127406089,0.14891831,0.132003264,0.145643261,0.131108182,0.077713192,0.222201725,0.232581492,0.20135617,0.145277369,0.101693743,0.248928667,0.145526734,0.128737392,0.00278508440065533,2.77206631257507,3.11342106144578
"T5558",0.151027063,0.188574898,0.085610074,0.116509135,0.181033256,0.205407259,0.168401616,0.123687176,0.112483159,0.198899061,0.203457142,0.247257807,0.128037536,0.15974519,0.222181385,0.13247217,0.126924181,0.000211668663875359,3.52509100691701,3.49832998199784
"T5560",0.042015792,0.211931246,0.088190887,0.107635266,0.173133555,0.269115393,0.262373669,0.14090593,0.042083816,0.214694837,0.155262012,0.087998726,0.138749663,0.273500977,0.314640188,0.172893409,0.126908483,0.27644677402617,0.593429803684649,1.9998100029862
"T5562",0.05743705,0.248385926,0.071849318,0.062384257,0.16936365,0.300063075,0.271060699,0.12178604,0.058068251,0.217086721,0.122036175,0.073843744,0.153512644,0.24171907,0.306659072,0.17968972,0.102770275,0.433169739551849,0.168309908631182,1.78250977214419
"T5564",0.141081622,0.214898441,0.145877075,0.142590437,0.079606169,0.103702415,0.163750757,0.114388383,0.194832066,0.23355686,0.078820085,0.282764106,0.133401581,0.148022497,0.148709867,0.147802162,0.113740346,0.0196280234138202,2.06149282977495,2.75021109729377
"T5566",0.154248434,0.209045415,0.125372503,0.092521869,0.106671729,0.108322986,0.11124151,0.134668069,0.109172521,0.219019539,0.202326974,0.258224935,0.153861214,0.099073386,0.240538304,0.104827839,0.139794152,0.0114168924075521,2.27620429774313,2.85996096338283
"T5568",0.138003405,0.151730535,0.141541827,0.232511241,0.156670381,0.22399504,0.157699218,0.107021566,0.164233674,0.195721222,0.202765342,0.256236103,0.101381423,0.096198612,0.229726101,0.136887367,0.109636725,0.000248561027955924,3.48230234806618,3.47645853924983
"T5570",0.142490279,0.187908559,0.176346843,0.167498167,0.110118023,0.181271666,0.089783437,0.115832894,0.140478787,0.089124501,0.176633552,0.248433176,0.135581562,0.115463326,0.128374492,0.168530603,0.121064611,0.000114143746963843,3.68546272476542,3.58030405969799
"T5572",0.146363023,0.1972357,0.146867423,0.094801983,0.1099504,0.090129739,0.102702042,0.12231305,0.184261754,0.202118767,0.154693486,0.257884613,0.139794037,0.10380067,0.172557057,0.08203689,0.124470717,0.00455577785324792,2.60783990831665,3.02947665900557
"T5574",0.124902637,0.188809516,0.119131196,0.16142805,0.106004647,0.223820433,0.194403126,0.095646662,0.19459124,0.203858531,0.152042676,0.240699939,0.113539398,0.154208871,0.24365859,0.168772089,0.102031997,0.00104151762805858,3.07813071175812,3.26986602054757
"T5576",0.127620076,0.204846933,0.12520849,0.076439722,0.080361066,0.238308959,0.074344926,0.075584228,0.159271981,0.208074386,0.215955329,0.261586871,0.126188593,0.070266698,0.135369529,0.077502363,0.121853467,0.126365935689706,1.14373905512932,2.28110083120862
"T5578",0.12666399,0.169253907,0.221570469,0.23987383,0.104735086,0.189222186,0.100553028,0.107037255,0.209130989,0.189480475,0.218434714,0.239997757,0.117211849,0.151631292,0.106419559,0.157643859,0.100496473,0.00436495489154632,2.62245382034437,3.03694656689292
"T8213",0.401010215,0.102602787,0.054070628,0.323459519,0.163041501,0.23977173,0.234058852,0.374053415,0.398582963,0.376176762,0.294619773,0.3984594,0.112055856,0.090118358,0.108804733,0.157561106,0.090774358,0.364357898789901,0.346834312646722,1.87376260376862
"T5537",0.130486621,0.210334006,0.144806596,0.086136491,0.141402824,0.294817591,0.085352255,0.08527482,0.302112477,0.088041134,0.131464842,0.093804038,0.107082551,0.093161001,0.278880947,0.125740932,0.107232377,0.303635461763985,0.513972920377922,1.95919558035993
