"","cvpA","glnB","glrR","hflD","ispE","lolB","prs","purB","purC","purE","purF","purK","purL","speA","speB","ubiX","purR"
"cvpA",1,0.00254276188991652,0.0550509559705215,0.293080991435687,0.302512622030604,0.0546086086369871,0.0990750108045317,0.527294501875649,0.260240055592142,0.312371123349094,0.0518327199890664,-0.111595496377569,0.451950317770214,0.141574083840306,0.149787097046748,-0.229445345042178,-0.106243989804897
"glnB",0.00254276188991652,1,-0.0663946607890396,-0.0525578265075314,0.125888851031936,0.132551337026247,0.0871598158522191,0.0122607210122498,0.146766753792644,0.0490693015437812,-0.0467391162650215,-0.160787675949745,0.0160723634075287,-0.0242565759760766,-0.0266661435882494,0.0280589990688459,0.0231172897161547
"glrR",0.0550509559705215,-0.0663946607890396,1,0.174301092136538,-0.0550209041441266,-0.181255538982512,0.0763322207450864,-0.0172511968513188,-0.0138015397559571,-0.0213156204000086,0.0880444809482137,-0.0232919869554599,0.0726665034001717,0.188530391035666,0.216925185251223,0.0360963631892172,0.0359391526972922
"hflD",0.293080991435687,-0.0525578265075314,0.174301092136538,1,0.0853769805673379,-0.0999867018669899,0.24752334480336,0.038725640410234,0.0843600007205726,0.0520223148091173,0.0844074413695779,0.132510618387206,0.0894299212903964,0.24455142135058,0.151522683864754,0.0144884306786134,-0.0135881708515722
"ispE",0.302512622030604,0.125888851031936,-0.0550209041441266,0.0853769805673379,1,0.119589183870961,0.0510992251039634,0.377899283452268,0.24695293164011,0.0413122487721795,-0.285483900923589,-0.34061254539863,0.0780873413108779,-0.0418429259225547,0.089157280315955,-0.446898261106216,-0.202417868106198
"lolB",0.0546086086369871,0.132551337026247,-0.181255538982512,-0.0999867018669899,0.119589183870961,1,0.0912157002274858,0.0313659209958633,0.0056568941366842,0.118941682038528,-0.0592230406623904,0.0371055628058743,0.0900184145461657,0.134190686047815,0.0408293251281208,-0.025280674646314,-0.0361577810244236
"prs",0.0990750108045317,0.0871598158522191,0.0763322207450864,0.24752334480336,0.0510992251039634,0.0912157002274858,1,-0.0041047106280109,0.16028210507389,0.0633156984597958,-0.00774626329903339,0.112209512535764,-0.00368190308070297,0.25747140600363,-0.0638198911051985,0.0108813917661054,0.0460970763142321
"purB",0.527294501875649,0.0122607210122498,-0.0172511968513188,0.038725640410234,0.377899283452268,0.0313659209958633,-0.0041047106280109,1,0.171300422893292,0.192548910477384,-0.105363915243257,-0.331371701088328,0.337282036993255,0.159999564330317,0.0672567838080582,-0.262868296413871,-0.111158630894937
"purC",0.260240055592142,0.146766753792644,-0.0138015397559571,0.0843600007205726,0.24695293164011,0.0056568941366842,0.16028210507389,0.171300422893292,1,0.276774391879267,0.0669559310481716,0.0376746216578184,0.171145395369523,-0.074410331061346,0.0814428997355626,-0.134112351902861,0.140784193990767
"purE",0.312371123349094,0.0490693015437812,-0.0213156204000086,0.0520223148091173,0.0413122487721795,0.118941682038528,0.0633156984597958,0.192548910477384,0.276774391879267,1,0.346712826990272,0.154235004880902,0.207865207553393,0.0358085136308043,0.0124585160493556,-0.0467599935549385,0.148297187433413
"purF",0.0518327199890664,-0.0467391162650215,0.0880444809482137,0.0844074413695779,-0.285483900923589,-0.0592230406623904,-0.00774626329903339,-0.105363915243257,0.0669559310481716,0.346712826990272,1,0.318116415303281,0.199477071521759,0.00540636441071069,0.0689362611508482,0.141367056280318,0.376143298052396
"purK",-0.111595496377569,-0.160787675949745,-0.0232919869554599,0.132510618387206,-0.34061254539863,0.0371055628058743,0.112209512535764,-0.331371701088328,0.0376746216578184,0.154235004880902,0.318116415303281,1,-0.0150156464932206,0.0270551988744502,-0.0728263051518645,0.337784066267932,0.348197507604009
"purL",0.451950317770214,0.0160723634075287,0.0726665034001717,0.0894299212903964,0.0780873413108779,0.0900184145461657,-0.00368190308070297,0.337282036993255,0.171145395369523,0.207865207553393,0.199477071521759,-0.0150156464932206,1,0.115551965311712,0.24369919826841,-0.0465888133701408,-0.0568406226784059
"speA",0.141574083840306,-0.0242565759760766,0.188530391035666,0.24455142135058,-0.0418429259225547,0.134190686047815,0.25747140600363,0.159999564330317,-0.074410331061346,0.0358085136308043,0.00540636441071069,0.0270551988744502,0.115551965311712,1,0.0781723027708575,0.00617074313793731,-0.0204039894939327
"speB",0.149787097046748,-0.0266661435882494,0.216925185251223,0.151522683864754,0.089157280315955,0.0408293251281208,-0.0638198911051985,0.0672567838080582,0.0814428997355626,0.0124585160493556,0.0689362611508482,-0.0728263051518645,0.24369919826841,0.0781723027708575,1,-0.0322476644709835,-0.00126891323486249
"ubiX",-0.229445345042178,0.0280589990688459,0.0360963631892172,0.0144884306786134,-0.446898261106216,-0.025280674646314,0.0108813917661054,-0.262868296413871,-0.134112351902861,-0.0467599935549385,0.141367056280318,0.337784066267932,-0.0465888133701408,0.00617074313793731,-0.0322476644709835,1,0.218591559514074
"purR",-0.106243989804897,0.0231172897161547,0.0359391526972922,-0.0135881708515722,-0.202417868106198,-0.0361577810244236,0.0460970763142321,-0.111158630894937,0.140784193990767,0.148297187433413,0.376143298052396,0.348197507604009,-0.0568406226784059,-0.0204039894939327,-0.00126891323486249,0.218591559514074,1
