"","cysB","cysC","cysD","cysK","cysN","tcyP","yciW","ygeH","yoaC","pval","z","inv_cof_var"
"T0175",0.141590117,0.124827835,0.283959595,0.298646337,0.298226037,0.254406532,0.100756383,0.03662203,0.144412976,0.450922570989767,0.123330812820738,1.87136798771656
"T8405",0.077525813,0.17933805,0.108973498,0.173091567,0.101830018,0.191981292,0.119895041,0.182473005,0.168961953,0.00132260496818862,3.0062160322817,4.1856142790804
"T1995",0.144657582,0.085088392,0.243449486,0.206215277,0.259534481,0.229343728,0.078033464,0.058022387,0.20570155,0.356765727350104,0.367117392075327,2.06706852519051
"T1996",0.256988443,0.103342649,0.235982213,0.236655869,0.243727732,0.225862428,0.089746942,0.053532122,0.141186036,0.326544208060734,0.449475863071179,2.13318207864658
"T1997",0.206315596,0.10214327,0.242029036,0.262931932,0.253434179,0.23215505,0.094653814,0.042812965,0.201608476,0.347406595564101,0.392331636378834,2.08730934885391
"T0849",0.045006949,0.068529813,0.146284595,0.113743951,0.169918379,0.15005164,0.042270857,0.038407846,0.079550255,0.39799656216158,0.258536187552676,1.97990457978537
"T0852",0.047380423,0.057128334,0.153413972,0.101943285,0.160426404,0.163468978,0.034713642,0.037337144,0.076260309,0.492897865106675,0.017803352579022,1.78665544631781
"T0858",0.041850481,0.077104308,0.139554096,0.183874072,0.087675849,0.167438519,0.068264426,0.039809525,0.102252033,0.323603752570229,0.457645004159245,2.13973988550585
"T0717",0.129899526,0.190035238,0.396743283,0.239254056,0.259533113,0.139763633,0.355810988,0.11208256,0.122179699,0.329970673569519,0.439994146086725,2.12557059685087
"T0718",0.12852622,0.198964128,0.386985452,0.270654954,0.247309868,0.153814741,0.206364237,0.086960379,0.120643038,0.294477507549889,0.540350968148708,2.20613239018978
"T0719",0.124007887,0.306939313,0.401170866,0.259908991,0.320935174,0.235534959,0.405000671,0.085980145,0.115207137,0.27742251752306,0.590515592833512,2.24640221982114
"T4829",0.124659314,0.330636577,0.361345003,0.419536502,0.333674985,0.257150626,0.083365467,0.101820682,0.08624744,0.485025778957864,0.0375436237615063,1.80250201872596
"T4831",0.290375017,0.14093381,0.330303002,0.320313225,0.095131524,0.258027593,0.138714481,0.098518827,0.10605965,0.460569208150178,0.0989998158713628,1.85183619398604
"T4832",0.298499886,0.135732175,0.327191357,0.329426291,0.100358619,0.25821435,0.141573639,0.100472617,0.104801558,0.459949167499482,0.100561783771006,1.85309006923385
"T5536",0.064824247,0.13216763,0.266629674,0.196351404,0.16124512,0.080798806,0.145764538,0.066437438,0.114079793,0.27371395148712,0.601618813193986,2.25531536917858
"T5538",0.080037626,0.14969624,0.262498722,0.212964496,0.09953375,0.102434701,0.142236959,0.076068107,0.155334776,0.210808940203934,0.80361755678757,2.4174705739942
"T5540",0.066165718,0.116621248,0.267405022,0.220978961,0.185797911,0.086180291,0.199840271,0.068764894,0.158810823,0.227717414003719,0.746385082458318,2.37152700309934
"T5542",0.100461007,0.139495181,0.272924213,0.209414357,0.202896125,0.107852025,0.064527242,0.067211464,0.171792261,0.340322359431248,0.411583511779942,2.1027638598237
"T5546",0.045172279,0.148070521,0.27017262,0.229862226,0.198308562,0.112179717,0.173206843,0.050036176,0.169929874,0.190839776872701,0.87480584979488,2.47461722762042
"T5548",0.114784774,0.112665047,0.265251046,0.224432442,0.108794106,0.084242159,0.144819502,0.066721145,0.136825695,0.349432914874317,0.386851930252798,2.08291049540864
"T5550",0.063033477,0.107716278,0.279095007,0.239628967,0.189097649,0.078031358,0.149672354,0.054752215,0.142538175,0.388796965009337,0.282455935300914,1.99910624176728
