"","argP","dapB","lysC","pval","z","inv_cof_var"
"T0174",0.081257149,0.171864548,0.166716508,0.408553192755558,0.231268282739112,46.5056527686076
"T0175",0.089272538,0.188157265,0.178621276,0.480476929075242,0.0489566307068446,27.1971363992564
"T8404",0.192710759,0.305812329,0.307521194,0.0143183871193024,2.18845089787043,253.789675160024
"T8399",0.263927195,0.301090793,0.30837511,0.362879159770165,0.350773446579799,59.1623721089134
"T0855",0.083563036,0.148873837,0.153132153,0.395246947096431,0.265669319204564,50.1490456527786
"T0857",0.065894853,0.144044787,0.153132153,0.495812178988457,0.0104975033533465,23.1239535731551
"T4826",0.075985519,0.075461005,0.078838119,0.461280439264967,0.0972084237683802,32.3074545045101
"T4830",0.071528708,0.071321152,0.071448968,2.08661134495614e-13,7.24982116775969,789.836327242402
"T5075",0.070895405,0.074043628,0.07361017,0.0193924235342569,2.06646231645689,240.869938572478
"T5077",0.045916048,0.043506914,0.046378514,0.4995429200623,0.00114572974627021,22.1335129087112
"T5079",0.045480556,0.046687561,0.0461175,0.189676629808729,0.879088560827751,115.115905072494
"T5083",0.05177179,0.05236346,0.052191948,5.61769018216874e-05,3.86223631945906,431.059272858615
"T5578",0.18658765,0.205732685,0.209200794,0.277274593510431,0.59095706808294,84.6000736257788
"T8389",0.304044054,0.29079756,0.308726161,0.493848495173448,0.0154201470107944,23.6453077739469
"T8499",0.286999734,0.522274968,0.514326012,0.253720586649988,0.662827290242727,92.2118052160095
"T8500",0.390012728,0.410911635,0.406110705,0.17660742033676,0.928371608385209,120.335442715245
"T8402",0.133824387,0.289469589,0.288372557,0.000468313350164046,3.30890183685945,372.455953784363
"T8407",0.086334853,0.308936776,0.307460725,0.00493613792986701,2.58027117476945,295.287122777961
"T8255",0.081219817,0.120390592,0.125541762,0.455840769019188,0.110917790291684,33.7594051888349
"T8304",0.059712767,0.08533619,0.088410972,0.43272850906812,0.169431792575172,39.9565876416987
"T8306",0.081391129,0.50826327,0.503156833,0.132518591289201,1.11456428433047,140.054995970712
"T0510",0.072683217,0.078647212,0.078903326,4.82400626574207e-05,3.89927756189082,434.982288353577
"T0511",0.080031957,0.085105926,0.085711615,0.0469586220955914,1.67508658723488,199.41957272909
"T0879",0.023273939,0.104899831,0.110965774,0.488131437278009,0.0297544647261647,25.1634466595609
"T0346",0.358048364,0.141949916,0.143580499,0.168204999293063,0.961282790402529,123.821046019436
"T0726",0.084231988,0.218089336,0.211268985,0.415872327128465,0.212464520733391,44.514157751994
"T0734",0.074466687,0.217260259,0.209469904,0.437276229354403,0.15787860327113,38.7329963774617
"T0735",0.072870332,0.21012466,0.218106631,0.44024236820019,0.150354754089447,37.936150079018
"T0743",0.068558772,0.173005216,0.18238901,0.482045005555,0.0450217016069338,26.7803904475252
