"","ddpA","ddpB","ddpC","ddpD","ddpF","ddpX","glnG","patA","potF","potG","potH","potI","yeaG","yeaH","yhdW","yhdX","yhdY","yhdZ","pval","z","inv_cof_var"
"T8405",0.124593708,0.150463373,0.160004471,0.157639039,0.121949737,0.195877162,0.076187047,0.183349846,0.178966688,0.182045618,0.194326715,0.193961396,0.191745813,0.075839414,0.166561037,0.122427488,0.118637327,0.195793219,0.00441094083002023,2.61888061115422,4.47753250873807
"T1995",0.053241242,0.060438815,0.052539939,0.057155284,0.063204313,0.056190219,0.052437835,0.068500757,0.104731606,0.058461521,0.052458815,0.052840937,0.156885971,0.060315163,0.054625851,0.053945965,0.052549198,0.065364613,0.308726718547715,0.499462729194306,2.49496683044604
"T8223",0.0405951,0.079021005,0.024899434,0.057607148,0.081463462,0.052645246,0.02182145,0.030542307,0.030181575,0.041145195,0.032489856,0.030268212,0.082150729,0.024437029,0.021857654,0.043560617,0.029732326,0.057309124,0.431341305405035,0.172960328560991,2.18954690411374
"T0930",0.053545993,0.060161669,0.047819307,0.06483717,0.079315786,0.062049378,0.041379926,0.107963167,0.078706709,0.047795002,0.048387597,0.049691768,0.115662121,0.081416398,0.04214721,0.056547249,0.049164272,0.065935295,0.129220496366986,1.13008361610537,3.08486811279617
"T1129",0.049745817,0.106812058,0.036249588,0.062846935,0.085627535,0.064053515,0.029693797,0.148111809,0.04751893,0.059589267,0.042298021,0.047981944,0.101298806,0.089180721,0.035610903,0.049963627,0.040627025,0.069419161,0.428378254362793,0.180504516822724,2.19660395918796
"T1130",0.051015096,0.106812058,0.040800052,0.065556699,0.090555007,0.067766933,0.034110533,0.148111809,0.039376041,0.055298066,0.045061009,0.046541864,0.093639424,0.089180721,0.041858034,0.054273924,0.04411391,0.072600717,0.388910594344645,0.282159529616692,2.29169504108696
"T1992",0.0530048,0.069696075,0.048014351,0.063052206,0.074556187,0.06093175,0.056705983,0.06143042,0.076546188,0.107751981,0.063193377,0.059750993,0.082669675,0.048126242,0.04775046,0.055636158,0.050408024,0.06567848,0.0106587533874096,2.30231336294612,4.18140621551818
"T1993",0.041768138,0.060127457,0.039959985,0.051449259,0.066368312,0.049011115,0.052431853,0.053581602,0.050241801,0.11192341,0.046753722,0.04781705,0.09534585,0.045113782,0.044140834,0.043664826,0.040175917,0.054472549,0.198678595394744,0.846350594953887,2.81945591904189
"T1994",0.041248241,0.059835341,0.039742167,0.051647747,0.066451667,0.049234002,0.046573249,0.059095624,0.063252597,0.092280998,0.061238683,0.058144321,0.134729166,0.050696251,0.044116701,0.043244349,0.039569215,0.053589791,0.290954539854796,0.550598292395524,2.54280053676974
"T4827",0.075903095,0.077065345,0.083166538,0.081386156,0.092208964,0.076027306,0.173684254,0.078314924,0.146139422,0.085172454,0.080900976,0.076699918,0.076092529,0.09986789,0.079313354,0.080226213,0.076050278,0.086505318,0.000653482052774173,3.21444618585327,5.03464202339344
