"","ddpA","ddpB","ddpC","ddpD","ddpF","ddpX","patA","potF","potG","potH","potI","yeaG","yeaH","yhdW","yhdX","yhdY","yhdZ","glnG"
"ddpA",1,0.51005085727788,0.6699023029659,0.640562268350252,0.553473672562386,0.650065524027789,0.33665779968975,0.572353202202042,0.745502630759724,0.554283139312246,0.638212513795435,0.311662755635212,0.400534396478953,0.589655803403655,0.389234035318472,0.765661100986707,0.370988347790575,0.0478080027023317
"ddpB",0.51005085727788,1,0.593669029228985,0.467163955506883,0.434830794221673,0.559495259430341,0.458270272627727,0.453426524012741,0.54034254233182,0.462353996512078,0.518544094433011,0.24269848170233,0.355413414148488,0.490376168508629,0.444190755421307,0.634258106488329,0.480698839475159,-0.0258741627557034
"ddpC",0.6699023029659,0.593669029228985,1,0.540691872206869,0.411226196325407,0.635057896715828,0.397866584558024,0.620146332729654,0.694032319089108,0.566232722417145,0.838123335481147,0.286541542405233,0.390094875903154,0.52223964025747,0.346578046992831,0.76229056455703,0.406098199909199,0.018439564898564
"ddpD",0.640562268350252,0.467163955506883,0.540691872206869,1,0.710048700716094,0.662963546748217,0.373927355543949,0.584784391112111,0.493367130949947,0.67606891003929,0.63919526187608,0.318913486593066,0.458572353774127,0.560992197225087,0.470026504997612,0.635754345355661,0.550546438440609,0.076883872105595
"ddpF",0.553473672562386,0.434830794221673,0.411226196325407,0.710048700716094,1,0.668181771275785,0.333842546857482,0.53262598775221,0.420593893916451,0.657474308909719,0.566738941278874,0.278742471570884,0.472748032442467,0.536866508626054,0.475608817106825,0.607212252651142,0.626830705441403,0.0681373735406861
"ddpX",0.650065524027789,0.559495259430341,0.635057896715828,0.662963546748217,0.668181771275785,1,0.400165647064802,0.574530592028265,0.549079785903567,0.639662324560446,0.7108927354579,0.252896364907826,0.465786820354896,0.64509637391537,0.592841979324826,0.752082285261477,0.686203318104686,0.137481033689566
"patA",0.33665779968975,0.458270272627727,0.397866584558024,0.373927355543949,0.333842546857482,0.400165647064802,1,0.228936254740407,0.326870228519902,0.392417640785523,0.459747664068047,0.408809733390208,0.63897432195651,0.409831133108546,0.33445799153773,0.392539502764635,0.380548431831489,0.110340205889466
"potF",0.572353202202042,0.453426524012741,0.620146332729654,0.584784391112111,0.53262598775221,0.574530592028265,0.228936254740407,1,0.4839255313835,0.571697016850041,0.662117942696289,0.252452595007051,0.390611335872427,0.512296215996495,0.258930126158863,0.628975774210159,0.424566620068393,-0.0686099057314056
"potG",0.745502630759724,0.54034254233182,0.694032319089108,0.493367130949947,0.420593893916451,0.549079785903567,0.326870228519902,0.4839255313835,1,0.493771730594758,0.63847932124033,0.321389124858739,0.389307612452643,0.496167432704407,0.306535286728908,0.752447532633044,0.310815192260156,0.00708075443217143
"potH",0.554283139312246,0.462353996512078,0.566232722417145,0.67606891003929,0.657474308909719,0.639662324560446,0.392417640785523,0.571697016850041,0.493771730594758,1,0.665761801966012,0.290669199211505,0.54753906391818,0.611461014329834,0.487301016514742,0.687610223295035,0.576193846551504,0.154322195509583
"potI",0.638212513795435,0.518544094433011,0.838123335481147,0.63919526187608,0.566738941278874,0.7108927354579,0.459747664068047,0.662117942696289,0.63847932124033,0.665761801966012,1,0.337465851086979,0.467550294134343,0.569794126221764,0.362532566059492,0.746407851139548,0.488430305472936,0.0214155496636732
"yeaG",0.311662755635212,0.24269848170233,0.286541542405233,0.318913486593066,0.278742471570884,0.252896364907826,0.408809733390208,0.252452595007051,0.321389124858739,0.290669199211505,0.337465851086979,1,0.287584374789034,0.213013617877577,0.154917549443375,0.266882056646722,0.197797024619125,-0.0295527719968967
"yeaH",0.400534396478953,0.355413414148488,0.390094875903154,0.458572353774127,0.472748032442467,0.465786820354896,0.63897432195651,0.390611335872427,0.389307612452643,0.54753906391818,0.467550294134343,0.287584374789034,1,0.509603973227858,0.452526490445356,0.469036002094799,0.442957663216874,0.258668225422743
"yhdW",0.589655803403655,0.490376168508629,0.52223964025747,0.560992197225087,0.536866508626054,0.64509637391537,0.409831133108546,0.512296215996495,0.496167432704407,0.611461014329834,0.569794126221764,0.213013617877577,0.509603973227858,1,0.698462506681199,0.666256240078199,0.603883729228626,0.222583396345449
"yhdX",0.389234035318472,0.444190755421307,0.346578046992831,0.470026504997612,0.475608817106825,0.592841979324826,0.33445799153773,0.258930126158863,0.306535286728908,0.487301016514742,0.362532566059492,0.154917549443375,0.452526490445356,0.698462506681199,1,0.502709052814196,0.710168740881747,0.416208871313648
"yhdY",0.765661100986707,0.634258106488329,0.76229056455703,0.635754345355661,0.607212252651142,0.752082285261477,0.392539502764635,0.628975774210159,0.752447532633044,0.687610223295035,0.746407851139548,0.266882056646722,0.469036002094799,0.666256240078199,0.502709052814196,1,0.582662231168484,0.0566148139819542
"yhdZ",0.370988347790575,0.480698839475159,0.406098199909199,0.550546438440609,0.626830705441403,0.686203318104686,0.380548431831489,0.424566620068393,0.310815192260156,0.576193846551504,0.488430305472936,0.197797024619125,0.442957663216874,0.603883729228626,0.710168740881747,0.582662231168484,1,0.215205501426694
"glnG",0.0478080027023317,-0.0258741627557034,0.018439564898564,0.076883872105595,0.0681373735406861,0.137481033689566,0.110340205889466,-0.0686099057314056,0.00708075443217143,0.154322195509583,0.0214155496636732,-0.0295527719968967,0.258668225422743,0.222583396345449,0.416208871313648,0.0566148139819542,0.215205501426694,1
