"","decR","marA","mlaB","mlaC","mlaD","mlaE","mlaF","yncE","pval","z","inv_cof_var"
"T0175",0.041920649,0.067357031,0.25749608,0.105971379,0.191742341,0.240150107,0.267232191,0.270509318,0.423283406690916,0.193500756843089,2.19117855478781
"T8405",0.175317768,0.165457247,0.171120766,0.193373953,0.193134441,0.095725618,0.077573697,0.170980764,0.122921499706337,1.16050563849716,3.26189965923348
"T1010",0.031470446,0.034040472,0.176732081,0.263797906,0.205238176,0.17510275,0.169437121,0.076889875,0.490009230928332,0.0250457624876243,2.00465590011708
"T1011",0.050976015,0.048992693,0.176732081,0.263797906,0.205238176,0.17510275,0.169437121,0.120139388,0.321658683601859,0.463065571195555,2.48965557514107
"T1995",0.055593791,0.192905052,0.1528388,0.203190813,0.090318455,0.228526984,0.162675587,0.217132385,0.342207378346297,0.406446231110752,2.42696352104835
"T1996",0.05269383,0.165664858,0.090926385,0.212554503,0.163319638,0.110863997,0.167977418,0.214513713,0.370222544708319,0.331263989421012,2.34371759914664
"T1997",0.053387049,0.20088784,0.111095717,0.256820429,0.120431022,0.180795363,0.218916613,0.219031769,0.393770829143951,0.26950426800742,2.2753338315186
"T0855",0.064785538,0.08954925,0.238642965,0.096008543,0.123546541,0.170344128,0.217594751,0.177248186,0.336190044492752,0.4228837368583,2.44516403341623
"T8144",0.068158831,0.087247289,0.127377083,0.155819767,0.243166487,0.143845034,0.173248591,0.049251105,0.454008209030616,0.115540882284668,2.10485708467604
"T0717",0.082605716,0.065829289,0.190007211,0.195829806,0.200784131,0.197659239,0.198038986,0.050535199,0.323327909223787,0.45841290985573,2.48450389205973
"T0718",0.082605716,0.071415144,0.208745084,0.21610748,0.218471922,0.211443427,0.21620614,0.06609307,0.304165711518929,0.512456691615362,2.54434414601493
"T0719",0.082605716,0.064232762,0.21460851,0.218443425,0.219588068,0.212529943,0.216875904,0.05755949,0.340648160757607,0.410694825719015,2.43166779917311
"T0851",0.037168167,0.059301064,0.255893755,0.203495856,0.197559069,0.246594698,0.269598563,0.083770802,0.472050511943855,0.0701163869689212,2.05456057975026
"T0930",0.208449819,0.043709309,0.348289583,0.348401156,0.317954451,0.088313776,0.273635499,0.219796531,0.243471648010451,0.695178736792695,2.74666406572846
"T1007",0.050890768,0.06637767,0.176732081,0.263797906,0.205238176,0.17510275,0.169437121,0.150031496,0.270893286481485,0.610113577709489,2.65247523296102
"T1008",0.05273094,0.062547046,0.176732081,0.263797906,0.205238176,0.17510275,0.169437121,0.126359863,0.301693315649588,0.519536550601102,2.55218335611236
"T1009",0.051836794,0.0551725,0.176732081,0.263797906,0.205238176,0.17510275,0.169437121,0.125401921,0.30737876311791,0.503294082529561,2.53419880020946
"T1129",0.082605716,0.040855924,0.129978031,0.129449039,0.072742775,0.128161499,0.129612859,0.123192925,0.00955459343235086,2.34339408772549,4.57165894879089
"T1992",0.050186231,0.070674211,0.126684772,0.072093418,0.132231945,0.104898109,0.131404403,0.053050027,0.284706192474034,0.568917122343404,2.60686024690906
"T1993",0.045475614,0.067426679,0.119417689,0.04519061,0.137278808,0.09890489,0.113297131,0.081687851,0.303449683748663,0.514504424919745,2.54661150919672
"T1994",0.04253695,0.073760836,0.157295954,0.151456047,0.106572146,0.121854025,0.143420667,0.187927491,0.229876032656049,0.739255170707833,2.79546792276889
"T4827",0.076179166,0.075978651,0.076112531,0.179280832,0.078391812,0.111881941,0.077300674,0.132299689,0.276713003109658,0.592634169770496,2.63312106905909
"T4829",0.084950071,0.091812245,0.083962568,0.086714788,0.089988512,0.048406195,0.083280978,0.138636715,0.110574253941374,1.22347985633307,3.33162818424106
"T5542",0.120782437,0.188381608,0.062917848,0.089675203,0.142833303,0.085447795,0.070528317,0.094833473,0.0986280575896854,1.28940847910348,3.40462798923333
"T5544",0.134449556,0.111173892,0.089027809,0.112296621,0.174491395,0.082218088,0.122788822,0.063414428,0.179763891248238,0.916265263364151,2.99146325381915
"T5552",0.149133359,0.086802758,0.096142552,0.112894913,0.179614524,0.067063473,0.153490994,0.096824569,0.159959909038905,0.994622668707297,3.07822489192691
"T5554",0.126640223,0.152994888,0.062838888,0.173237583,0.156038935,0.099384327,0.157982835,0.095958537,0.157038022493588,1.00670606857974,3.09160429827981
"T5556",0.076960742,0.1234488,0.142139418,0.078362252,0.171278883,0.255795539,0.146203698,0.120204989,0.382560053002195,0.298764019490533,2.30773184110281
"T5558",0.180678446,0.131003877,0.173207244,0.112096917,0.158036781,0.24465359,0.143283534,0.09685542,0.126451732597769,1.14332551500574,3.2428768795679
"T5560",0.151738647,0.157621606,0.08519909,0.136648218,0.191404262,0.166934798,0.1211273,0.040949882,0.317598437477945,0.474424991599622,2.5022333515222
"T5562",0.116831366,0.127984311,0.073918854,0.182371738,0.142090269,0.056603731,0.144238605,0.094369976,0.278452090482452,0.587446039355229,2.62737648510338
"T5564",0.146661141,0.115926421,0.141516431,0.163993583,0.166072503,0.267760326,0.14160787,0.093662079,0.173990922539167,0.938511042033358,3.01609500610689
"T5566",0.092621533,0.155302326,0.096879359,0.119505302,0.174509908,0.250688565,0.15107877,0.119356733,0.290014728290778,0.553341693144553,2.58961427321193
"T5568",0.131725579,0.105186488,0.157712733,0.130863931,0.14504801,0.262359659,0.132840905,0.097334688,0.206161580084167,0.819812226137754,2.88466513469328
"T5570",0.167431343,0.121721708,0.107418993,0.172347567,0.150112261,0.247411316,0.141024458,0.099831592,0.144229542545616,1.06150803106499,3.15228405172389
"T5572",0.156603138,0.094512176,0.121197589,0.132309505,0.157454011,0.2647416,0.141779787,0.114584805,0.164359552666036,0.976697152432713,3.05837677228717
"T5574",0.13381855,0.105738198,0.098606558,0.15423774,0.134997837,0.289356541,0.121058163,0.089977105,0.426960923370461,0.184116775195449,2.18078809308024
"T5576",0.133807549,0.082228358,0.137263763,0.140439653,0.165518831,0.241298447,0.146128043,0.106222134,0.0740462738183319,1.44630188377598,3.57834901455415
"T5578",0.11624334,0.103581912,0.102913992,0.209300108,0.132571714,0.282606533,0.125869102,0.101752622,0.400461212462742,0.25215349176526,2.25612209572134
"T8138",0.072225445,0.085964436,0.090312109,0.087739609,0.18721959,0.163996293,0.196920098,0.149241212,0.274560501320754,0.599077803442489,2.64025581542161
"T8139",0.075813507,0.086648176,0.103241492,0.169669337,0.247913078,0.151612485,0.180111735,0.137219371,0.249183435675699,0.67706160017315,2.72660377348103
"T8140",0.061690098,0.082052697,0.038185908,0.060276884,0.147832023,0.161001816,0.15906127,0.138871943,0.475781813958268,0.060743323854464,2.04418220764444
"T5541",0.117709367,0.156862609,0.11015407,0.140734964,0.091939444,0.154441033,0.10912666,0.09177557,0.00370535248233393,2.67780182879171,4.94193363162098
"T8306",0.063275315,0.073667362,0.163392157,0.111352167,0.266390975,0.164497808,0.176413443,0.134420939,0.334299685080848,0.428071081519656,2.4509077473419
"T0510",0.082605716,0.067406039,0.09747588,0.065764035,0.106639752,0.100383314,0.111631105,0,0.463687696066484,0.0911474975062025,2.07784738453214
"T1717",0.082605716,0.070996608,0.211831892,0.027165882,0.223144839,0.219770504,0.216197477,0.250090726,0.467454399265517,0.0816704233281063,2.06735384564376
"T1588",0.043751799,0.060914266,0.173873812,0.091116173,0.170534759,0.191205538,0.280923411,0.146347345,0.464741319667179,0.0884957786402097,2.07491125524598
"T1591",0.048971493,0.063881012,0.106682859,0.044744067,0.183243857,0.153388434,0.188097412,0.135253756,0.460405331769411,0.0994126194341158,2.08699898308859
"T1592",0.049521944,0.075548295,0.034012522,0.100896709,0.089400796,0.144687622,0.162498888,0.131595069,0.450196472064006,0.125164976154809,2.11551341187089
"T0881",0.082605716,0.051558575,0.127548374,0.078463993,0.071770812,0.107223957,0.057794794,0.137497954,0.14124690777736,1.0747340476613,3.16692862629231
"T0883",0.113634565,0.076325978,0.206747287,0.18536284,0.220212154,0.177353944,0.205165613,0.154449636,0.00389578654688038,2.66097072622352,4.92329730715896
"T2299",0.082605716,0.331095964,0.173940474,0.41386674,0.207950866,0.246761695,0.263136462,0.217858749,0.39164066866432,0.275045427832479,2.28146930909514
"T2300",0.069663228,0.335328128,0.26531845,0.419192057,0.289789927,0.226873472,0.26025703,0.186794027,0.380202765268079,0.304948297364819,2.3145794144309
"T0879",0.082605716,0.077272838,0.066565711,0.069516653,0.110267072,0.165690589,0.08542608,0.102742559,0.210874890894595,0.803389258112863,2.86648071929321
"T0150",0.067429824,0.078047073,0.134327427,0.232985898,0.296955376,0.282959801,0.299268529,0.362089279,0.382040881230713,0.300125062923596,2.30923886341003
"T0151",0.051577529,0.056758669,0.242278999,0.15008882,0.234866689,0.225848691,0.352595913,0.262500339,0.384277752625301,0.294264882135628,2.30275014823952
"T0875",0.090112495,0.091484689,0.176539793,0.363332321,0.280562133,0.176058757,0.220224814,0.158699435,0.370139856483817,0.331482956178933,2.34396005121005
"T0876",0.082605716,0.075851699,0.186717881,0.355302002,0.286621147,0.154051842,0.187127888,0.13306544,0.44865158216036,0.12906885705606,2.11983600397928
"T1082",0.065096839,0.073838251,0.159118348,0.245688884,0.158929076,0.360337442,0.186591946,0.312076022,0.452832479094061,0.118508250528973,2.10814271835185
"T2381",0.048770981,0.07532769,0.146016747,0.287428296,0.122166597,0.208584695,0.249883986,0.155621967,0.437713804033758,0.156768108106234,2.15050614147231
"T2382",0.057574416,0.076645019,0.241240843,0.277757885,0.086477296,0.196282097,0.245758316,0.118896252,0.486267198528936,0.034429829510076,2.01504645635635
"T2391",0.065813731,0.114954077,0.114185156,0.219167584,0.052058775,0.178687664,0.221896215,0.150575703,0.462616962943669,0.0938429338264601,2.08083192019327
"T2861",0.056494721,0.061985627,0.070011011,0.065911898,0.124355544,0.11525447,0.132960102,0.108294127,0.158524166739191,1.00054189497468,3.0847789855067
