"","csgD","dgcC","iraP","nlpA","wrbA","yccJ","yccT","pval","z","inv_cof_var"
"T8405",0.193658878,0.190875812,0.165990844,0.133832011,0.152402645,0.195579252,0.132128202,0.0600025388956746,1.55475228171562,5.90426778802678
"T1995",0.229625623,0.056307828,0.145640826,0.067862052,0.140393274,0.152897022,0.086008704,0.464369775052473,0.0894307956794827,2.51546033582284
"T0856",0.02066719,0.051260636,0.094569058,0.105639255,0.080954216,0.10214941,0.043927612,0.379281365987415,0.307368723137814,3.01947920112081
"T0851",0.034961325,0.046257687,0.108599582,0.105639255,0.082091695,0.105649555,0.028949368,0.498214911633179,0.00447456790439617,2.31898447674419
"T1129",0.051135658,0.096112088,0.075473814,0.138359357,0.130424439,0.105833862,0.061872598,0.321320862013651,0.46400840473288,3.38173535129585
"T1130",0.048643571,0.10367033,0.082858319,0.18301938,0.118304737,0.102097443,0.061892564,0.445041635362066,0.138198841421073,2.62824481241274
"T4826",0.084507087,0.071696124,0.076658909,0.09570462,0.079466003,0.082628749,0.076269027,0.000747252193923815,3.17574853731147,9.65309986570128
"T4827",0.101795015,0.112036782,0.092102362,0.140282248,0.078296899,0.07588673,0.077549195,0.267623853003472,0.62001531207482,3.74252810239772
"T4828",0.111938545,0.108584876,0.066736271,0.096790909,0.076326324,0.070281926,0.066756281,0.161882480613935,0.986750511006874,4.59066619835122
"T4829",0.100586836,0.063425361,0.114565981,0.103287993,0.090664837,0.08716865,0.083253543,0.109459408820124,1.22940814587203,5.15185363005243
"T4830",0.105535976,0.061997936,0.134815347,0.094586537,0.092212733,0.085665175,0.072093534,0.289698254582616,0.554266447554621,3.59047256770224
"T4831",0.086873254,0.055306213,0.087037863,0.093748185,0.109407184,0.10090212,0.086150853,0.143100493040969,1.06649267965266,4.77508365072392
"T4832",0.090863506,0.05550932,0.090256458,0.09873719,0.106848595,0.098664078,0.089084537,0.123761639657984,1.15638606394266,4.98297753168368
"T5546",0.162865835,0.102432387,0.107376479,0.103107653,0.223665427,0.09274653,0.095449675,0.487073276078454,0.0324081637765479,2.38358571187279
"T5556",0.081708782,0.245436005,0.10492947,0.112885517,0.113721085,0.112858733,0.12579003,0.464519030085883,0.0890551759887529,2.51459165081462
"T5558",0.095625085,0.158388792,0.114788527,0.109745338,0.154227389,0.127144705,0.11448705,0.0517384565273548,1.62822628606577,6.07418903456402
"T5568",0.117209041,0.14950155,0.094452879,0.094419288,0.178046478,0.136382001,0.126899453,0.231857107952941,0.732744600545081,4.00323393145307
"T5570",0.096953296,0.247735264,0.103232478,0.110299311,0.113506278,0.119893942,0.156953001,0.454447236915292,0.11443310314214,2.5732824633622
"T5572",0.091458502,0.201488558,0.084966546,0.11812721,0.139892242,0.135592829,0.085086253,0.391953226056818,0.274231851415582,2.94284449747036
"T5574",0.091012552,0.220845287,0.090114485,0.095996242,0.114985433,0.115078523,0.094024846,0.475236844576571,0.0621119393226211,2.45228079134059
"T5578",0.100089855,0.118083279,0.104886978,0.104660197,0.156317948,0.110439438,0.100609026,0.0781921836656984,1.41733718835712,5.58647179796163
"T0879",0.068601484,0.049199543,0.105149689,0.084412132,0.077805402,0.094324512,0.109629263,0.239271417495889,0.708648171530236,3.94750680331417
"T0880",0.074253429,0.078564585,0.11375494,0.052491369,0.074397626,0.101680629,0.078015509,0.253882081968075,0.662323118160983,3.84037216591379
"T5127",0.063357269,0.063682679,0.091516998,0.076102238,0.064590048,0.1457568,0.054942056,0.470034278136684,0.0751836960881272,2.48251147256821
"T5129",0.073874728,0.087238162,0.06131076,0.085870163,0.041964511,0.066444854,0.078631879,0.224547082003061,0.756926056040195,4.05915769792199
