"","dicA","dicB","dicC","insD-7","intQ","ydfD","ydfE","ydfW","ydfX","pval","z","inv_cof_var"
"T8404",0.045328531,0.04557789,0.04557725,0.045569482,0.045571558,0.045577429,0.045575634,0.045577311,0.045577289,2.44303200803943e-13,7.22843087946566,14335.9989818949
"T8405",0.189792158,0.1927149,0.192710801,0.192603892,0.192650321,0.192710875,0.192698409,0.192710423,0.192710418,0.00913738530000389,2.36000333847565,4781.1189354159
"T8399",0.042977279,0.043885296,0.043883105,0.043857957,0.04386414,0.043883922,0.043877951,0.043883462,0.043883358,0.0195037410810147,2.06410795218746,4200.3883199377
"T8400",0.036057111,0.036288942,0.036288401,0.036279861,0.036282864,0.036288279,0.036286525,0.036288256,0.036288273,1.62993118789076e-08,5.52687435804221,10996.4877500611
"T8401",0.046097287,0.046832196,0.046830589,0.046803202,0.046813393,0.046829956,0.046824508,0.046829964,0.046830049,0.0135899281531762,2.20892502421956,4484.60940370628
"T8388",0.047753358,0.047653574,0.047653792,0.047656243,0.047655659,0.047653704,0.04765429,0.047653751,0.047653763,6.73227818094392e-124,23.6444408089933,46554.411271656
"T8389",0.044855041,0.045095652,0.045095077,0.045088766,0.045090206,0.045095332,0.0450938,0.0450952,0.045095167,4.72743496746727e-18,8.58039402938737,16989.3907836624
"T8394",0.043683637,0.044336261,0.044334766,0.044318529,0.044322159,0.044335455,0.044331493,0.044335104,0.044335016,0.00063871485108671,3.22100264257289,6470.93458974894
"T8395",0.053885353,0.054672949,0.054668383,0.05460071,0.054623247,0.054667982,0.054653714,0.054667613,0.054667671,0.164624857954496,0.975626240798554,2064.11082632377
"T8396",0.027351413,0.028354042,0.02835165,0.028315419,0.028327729,0.028351314,0.028343738,0.028351156,0.028351203,0.171701503446874,0.947462793255299,2008.83664165009
"T8397",0.043838652,0.04443907,0.044437649,0.04442175,0.044425502,0.044438236,0.044434414,0.044437922,0.044437847,0.000436815402404288,3.32834666970858,6681.61027391019
"T8398",0.035811496,0.036052638,0.036052092,0.036043413,0.03604648,0.036051961,0.036050185,0.03605194,0.036051958,3.19105549473517e-08,5.4077508806265,10762.6934647722
"T8498",0.039980067,0.04069262,0.040690354,0.040656942,0.040668031,0.040690157,0.040683087,0.040689974,0.040690002,0.0656905031682272,1.50867832846404,3110.29025762597
"T8499",0.071811855,0.073497713,0.073502506,0.073478557,0.073511992,0.073502757,0.073517584,0.073503192,0.073503153,0.000683694367960264,3.20144774592644,6432.5557312356
"T8402",0.033897872,0.036636691,0.036629801,0.036544482,0.036567897,0.036631488,0.036611958,0.03663029,0.036630078,0.322459408480981,0.460832452160502,1053.76552330858
"T8403",0.045538535,0.046344473,0.046342733,0.046313084,0.046324114,0.046342048,0.04633615,0.046342057,0.046342148,0.0220839565673433,2.0124937663576,4099.08921460055
"T8406",0.044018863,0.044388436,0.044387588,0.044378072,0.044380327,0.044387936,0.044385652,0.044387749,0.044387705,1.01506770959193e-08,5.6094134090857,11158.4806574692
"T8407",0.045729297,0.046640453,0.046638186,0.046604845,0.046616838,0.046638714,0.046632264,0.046638327,0.046638261,0.0405987812671842,1.74377940778666,3571.70466562773
"T8378",0.100884075,0.100748346,0.100748616,0.100753906,0.100751757,0.100748816,0.100749813,0.100748788,0.100748762,1.18901891970612e-148,25.9396712584158,51059.0796555669
"T8379",0.154576179,0.153906636,0.153908028,0.153935259,0.15392421,0.153909058,0.153914196,0.153908916,0.15390878,1.05794244809517e-14,7.64338233548082,15150.39158689
"T3654",0.098538838,0.054662025,0.054659894,0.054713793,0.054790244,0.054660496,0.054734641,0.054660102,0.054660026,0.311709598970025,0.491010250046411,1112.99311505951
"T3655",0.045025362,0.04143161,0.041708423,0.041981949,0.041773866,0.041426722,0.041407699,0.041425479,0.04142524,0.491910625349791,0.0202784449378102,189.124803575807
"T3656",0.04924769,0.046989156,0.046985124,0.047365003,0.047073206,0.046986033,0.047156381,0.046985354,0.047049465,0.458176115114721,0.105029714653776,355.459458678462
