"","acrZ","inaA","marA","nfo","nfsB","rob","soxS","pval","z","inv_cof_var"
"T8405",0.166077522,0.180187578,0.165457247,0.193311741,0.190683958,0.16406828,0.19178354,0.00518252858763709,2.56340664265156,14.7611459543221
"T8399",0.057376199,0.042076025,0.0586723,0.045965363,0.086712649,0.253711744,0.047576064,0.495126307540878,0.0122168392093264,2.87397143243783
"T1995",0.055824856,0.057074802,0.192905052,0.054691254,0.066679159,0.15098008,0.227234435,0.0461870232511427,1.68300539774874,10.658948919306
"T4827",0.080698423,0.083280583,0.075978651,0.109325099,0.081668134,0.235641675,0.082383591,0.217904544170988,0.779289687025742,6.44811899319141
"T4828",0.078280161,0.080669362,0.070634505,0.081901004,0.069839208,0.331624036,0.075631054,0.00688903259986704,2.4629980843581,14.2932959910168
"T4829",0.090964272,0.089262445,0.091812245,0.093778056,0.12962967,0.084518102,0.090334475,0.301128814067591,0.521156681293649,5.24535780119552
"T4830",0.092234463,0.090436828,0.093371717,0.078907838,0.074522392,0.07462376,0.091977088,0.0697366463832743,1.47775527763557,9.70259357673956
"T4831",0.113329704,0.115492932,0.085102503,0.139713576,0.137282677,0.378978598,0.378438087,0.090428078216644,1.33812357644299,9.05198482994061
"T4832",0.111533589,0.111914932,0.0886926,0.137079915,0.131166244,0.37496245,0.372474769,0.0806594081728843,1.40064981605571,9.34332353060125
"T5077",0.046204517,0.045656684,0.041833908,0.047065774,0.061992973,0.068157638,0.074115444,0.221734913187313,0.766347055794056,6.38781328170893
"T5078",0.058937472,0.056313439,0.047254393,0.047408331,0.052096138,0.233282381,0.337520373,0.0466308003254705,1.67843812233762,10.6376678684691
"T5079",0.045943268,0.045013504,0.037361986,0.036995447,0.062904168,0.125116284,0.043909686,0.368669579866928,0.335379062878168,4.37973386001124
"T5080",0.060293545,0.065624026,0.049339147,0.050129506,0.062588089,0.382709551,0.322743318,0.0965531302987133,1.3014447614461,8.8810812481939
"T5081",0.048477757,0.048439077,0.039861451,0.038215159,0.081304311,0.080681597,0.038712585,0.49427251850386,0.0143571602809789,2.88394417930177
"T5082",0.067924767,0.07259946,0.060225857,0.052353641,0.061270474,0.347480622,0.489572789,0.171709638453726,0.947430850581374,7.23156652532001
"T5083",0.05281788,0.037462077,0.040781442,0.039352866,0.043142473,0.04258352,0.048985046,0.226234969616446,0.751303639744152,6.31771904107295
"T5085",0.058441896,0.036685958,0.034679307,0.031425042,0.050809071,0.032061162,0.051837722,0.436882283691984,0.158878541441118,3.5573362090427
"T5087",0.058441896,0.036685958,0.034679307,0.031425042,0.050809071,0.032061162,0.051837722,0.436882283691984,0.158878541441118,3.5573362090427
"T5556",0.223392075,0.147075548,0.1234488,0.125940531,0.216436363,0.08184665,0.237621912,0.43018368447533,0.17590653789226,3.63667752864959
"T5558",0.202739615,0.189002884,0.131003877,0.117554266,0.194924355,0.110671236,0.219046301,0.361555322056504,0.354304568840816,4.46791655499905
"T5564",0.227503493,0.247694641,0.115926421,0.112239668,0.221887879,0.227882525,0.241789524,0.457630295052675,0.106405549634918,3.31284024467185
"T5566",0.22063006,0.228773968,0.155302326,0.128428772,0.208932631,0.216896775,0.219426981,0.378849375544798,0.30850413923602,4.25451114739084
"T5568",0.203096235,0.140534751,0.105186488,0.101679893,0.195742973,0.198495761,0.221702804,0.455474398461408,0.111841859135525,3.33817052770351
"T5570",0.199719009,0.159814899,0.121721708,0.114041411,0.191477634,0.17358894,0.209558275,0.376638811625734,0.314320508759233,4.28161230603961
"T5572",0.2078208,0.222557602,0.094512176,0.120476413,0.204694617,0.109440078,0.221684591,0.392970163734685,0.27158604927639,4.08249267280592
"T5574",0.204847639,0.219364024,0.105738198,0.097488879,0.172969209,0.198347499,0.225913811,0.467680116275452,0.0811027577460624,3.19494282180354
"T5576",0.221033482,0.232505058,0.082228358,0.120298539,0.208396114,0.224489248,0.239347829,0.414391711652976,0.21626213402295,3.82471293608691
"T5578",0.185586247,0.201681342,0.103581912,0.105297045,0.16772712,0.213501478,0.196723002,0.40709163722244,0.235032801302265,3.91217416595714
"T8388",0.046639613,0.047533909,0.046387753,0.051427291,0.065418777,0.219754144,0.047041269,0.242712999545584,0.697602210047478,6.06749921579075
"T8389",0.048131212,0.044642658,0.048605998,0.047118379,0.074211526,0.218250786,0.046320391,0.411470538900387,0.223763827437047,3.85966679906595
"T8394",0.049923103,0.043075305,0.050648273,0.043488846,0.077446394,0.201409286,0.047184462,0.459983259891017,0.100475893995913,3.28521123355694
"T8500",0.055355616,0.094060175,0.055053205,0.061694466,0.056656315,0.131647686,0.035956073,0.428124933679785,0.181149964405769,3.66110908053752
"T8212",0.069831776,0.059875337,0.095840683,0.07985761,0.10875359,0.187093977,0.108417503,0.418707634307874,0.205200769048478,3.7731729151428
"T8213",0.032250816,0.032190093,0.055405981,0.041842383,0.038905885,0.17899919,0.098946783,0.158894847708363,0.999010313026,7.47189912268182
