"","dsdC","norR","nsrR","pval","z","inv_cof_var"
"T8400",0.035153702,0.035207727,0.062265043,1.19127249923221e-107,22.0085963786525,920.926304116178
"T0854",0.037541058,0.038397162,0.190196309,0.106914643090564,1.2431046128661,62.7218542527965
"T4825",0.064518496,0.06718724,0.065868159,0.284395865116588,0.569831880710145,34.896572712394
"T4826",0.080260239,0.079433195,0.076856537,0.00122635350770387,3.02911573629588,136.534827762932
"T4827",0.076105755,0.08239224,0.085602114,0.437688832408368,0.156831476918271,17.827928813792
"T4829",0.085819411,0.090319806,0.085887508,0.346384598303432,0.395099854009403,27.6751784617992
"T4830",0.081584045,0.091727389,0.081296216,0.492901104606028,0.0177952310719426,12.0817839007101
"T5077",0.043546642,0.046064218,0.046690838,0.369018050143076,0.334455188377123,25.1688317548144
"T5574",0.118328365,0.125950143,0.126493179,0.392111995898979,0.273818648382152,22.6628208673793
"T8395",0.045398789,0.046880073,0.143390753,0.214378768645281,0.791319559623117,44.0503030346494
"T8398",0.035349326,0.035216217,0.058674316,7.10410703046945e-19,8.79576066963353,374.861008447296
"T8139",0.062170129,0.055282886,0.161787699,0.493123021361308,0.0172388829009563,12.0587909236403
"T8140",0.035218864,0.037671429,0.177653453,0.40751079359118,0.233952844775251,21.01523118163
"T8141",0.047928859,0.043493589,0.178431775,0.468862452492078,0.0781296713740049,14.575309492652
"T5539",0.074403141,0.08155377,0.074383292,0.460719760723951,0.09862058976352,15.4221662655141
"T5541",0.093589217,0.097254893,0.21539315,0.26887467109382,0.616219981836667,36.8137184875345
"T0880",0.083243181,0.074592783,0.052612535,0.484987361982291,0.0376399889035996,12.9019358946855
"T0875",0.052830648,0.050043285,0.357749422,0.360574870393917,0.356922612548257,26.0973743397005
"T1957",0.03363753,0.037941921,0.223862753,0.496018907638297,0.00997928430831377,11.7587633641345
"T1958",0.037843111,0.041190471,0.212630317,0.448510323511388,0.12942590982439,16.695300706725
"T2065",0.061698677,0.055856143,0.204465763,0.472212068970429,0.0697104326377268,14.22735586702
"T0733",0.054898685,0.049007055,0.094521837,0.489148354537876,0.0272043965371189,12.4706496093961
"T0774",0.068682549,0.074165289,0.26499876,0.432021157406734,0.171230768728546,18.4230284360808
"T0792",0.122872575,0.114040472,0.249714841,0.426847955819786,0.18440479094654,18.9674896324542
"T0785",0.122373401,0.123387405,0.246808069,5.39233851278536e-05,3.87222399377005,171.379139009779
"T0793",0.122781305,0.112341194,0.292974506,0.45589436597888,0.110782614679789,15.9248032374778
"T0786",0.11746004,0.125179055,0.259130613,0.396168501922291,0.26327710642261,22.2271558554384
"T0787",0.115632129,0.117090962,0.270934002,0.00704660062213261,2.45487901093902,112.802545448858
"T0789",0.102551248,0.098434017,0.237138698,0.287511731537894,0.560668619935235,34.5178698499247
"T0839",0.154765695,0.170354801,0.242638753,0.467208993351904,0.0822876352642174,14.7471514674629
"T0845",0.158012414,0.166714918,0.207253115,0.35797163372762,0.363885828534509,26.3851528817241
"T0840",0.122696841,0.10854748,0.241960624,0.497973111709107,0.00508067735754573,11.5563118002275
"T0841",0.158614662,0.154350402,0.231543984,0.163255189110987,0.981167033448875,51.8963944573929
"T0771",0.051541321,0.047721978,0.282647613,0.432454845861992,0.17012772273587,18.3774413153906
"T0817",0.122454524,0.131894372,0.267428754,0.426042219404766,0.186459496643573,19.0524073214856
"T0818",0.197284774,0.20466855,0.242956101,0.255637600641816,0.65685337359352,38.4930313596828
"T0830",0.089812573,0.081129701,0.262932943,0.475162675683371,0.0622982132100274,13.9210207333298
"T0808",0.125737996,0.116091733,0.239109202,0.438651236133625,0.154389702831311,17.7270142093788
"T0831",0.106534659,0.100367715,0.204129531,0.382284792049933,0.299485565350897,23.7235933549899
"T0816",0.151557711,0.168241093,0.261211152,0.478696496699737,0.0534253679138586,13.5543202765331
"T0799",0.067710771,0.065298133,0.249812759,0.251841785259047,0.668705167499308,38.9828469818473
"T0321",0.056416383,0.056040301,0.1418207,6.441156331037e-07,4.84156098458642,211.440281231627
"T2492",0.046500153,0.044535197,0.234534008,0.302183293587837,0.518131409072558,32.7598751894142
"T2493",0.042258202,0.043341238,0.136518539,0.140576588920619,1.07773243831616,55.8872876707434
"T0042",0.034195896,0.036780373,0.248604719,0.422567988524282,0.195328257201139,19.4189389625911
"T0694",0.053493146,0.047942707,0.225545393,0.484788249512622,0.03813944824604,12.9225777477677
"T0006",0.03712229,0.033423106,0.24261131,0.479365679379292,0.0517456546947723,13.4849004248208
"T2817",0.063329274,0.061661837,0.380508392,0.156730828540463,1.00798501303034,53.0047385155422
"T0172",0.053652512,0.057790668,0.282304052,0.426133015798375,0.186227917869866,19.0428365424099
"T0486",0.073601325,0.065661137,0.232087976,0.489811745865364,0.0255409425066217,12.4019017238551
"T0487",0.057184019,0.052794005,0.184287755,0.438772120533971,0.154083064895939,17.7143413556077
"T0491",0.053465423,0.051398543,0.158671387,0.27641842462549,0.593514548878535,35.8753393814424
"T0492",0.056218145,0.052025294,0.136658507,0.433621953988521,0.167160316367177,18.254803172317
"T0493",0.048992055,0.050417199,0.109483727,0.179071350589417,0.91890990014992,49.3234070494601
"T0497",0.05029334,0.052238406,0.05275117,0.265210523313071,0.627363410232431,37.2742584999669
"T0499",0.051236407,0.049199029,0.051290383,0.284713880050811,0.568894467559145,34.8578309312398
"T1704",0.053565315,0.051248319,0.118995399,0.308735537789438,0.499437686060708,31.9872936173411
"T1916",0.031940664,0.034492865,0.176444946,0.432183939172803,0.170816724191134,18.4059166398153
"T2000",0.071829159,0.071515913,0.265381829,2.09505490270739e-14,7.5549530475166,323.580420694511
"T5750",0.104554838,0.104219132,0.342325972,1.7747208453296e-25,10.3657550155526,439.746355210335
"T5760",0.08569901,0.089116216,0.205429111,0.274008535875267,0.600734146777608,36.1737137764768
"T2421",0.047123368,0.047331826,0.18170185,3.77327842882425e-14,7.47799412857868,320.399832079797
"T2422",0.050997366,0.047789813,0.183662998,0.400365350221142,0.252401552270022,21.7776866555874
"T2823",0.036819753,0.035095349,0.186764405,0.330331567636678,0.438997793305623,29.4894098447477
"T2425",0.027313583,0.029460646,0.202508808,0.429408510380374,0.177880251189071,18.697840874971
"T2426",0.021541364,0.020509513,0.210185672,0.336250246271132,0.422718724417884,28.8166220525458
"T2680",0.036329609,0.035114251,0.309922474,0.232320701764698,0.731225538402517,41.5667135775157
"T2682",0.074026478,0.070631868,0.258104922,0.324711444288139,0.454564070036861,30.1327390810225
"T2683",0.07793984,0.074456462,0.316427615,0.317753186663968,0.473990932462044,30.935620128494
"T2684",0.077079236,0.070725584,0.30194808,0.450865052485086,0.123476092318338,16.4494042975689
"T2686",0.083622177,0.088461645,0.235374592,0.36924840596679,0.333844619078008,25.143597905534
"T2687",0.07803487,0.079981672,0.206422314,0.132599441733465,1.1141872047467,57.3939046640845
"T2650",0.080441178,0.081975125,0.059998055,0.062142784052623,1.53703161290771,74.8693854654362
"T2653",0.089473075,0.084657628,0.201875845,0.365365956044722,0.344152088002335,25.5695890545739
"T2654",0.081539065,0.073110798,0.308087893,0.484285800202779,0.0393998488650851,12.9746680826403
"T2436",0.041783831,0.042245866,0.057832521,0.00227601679945934,2.83713517144722,128.600579111433
"T5731",0.127330089,0.123816158,0.259523901,0.171488403086776,0.948299891369285,50.5380482209955
"T5735",0.089501166,0.089058423,0.180711539,1.72734817908073e-11,6.6257584784127,285.178300340794
"T2432",0.044162979,0.045417764,0.105798222,0.1718381772255,0.946926262342612,50.4812783377465
"T2429",0.040621438,0.045339902,0.141180015,0.485178455596014,0.0371606531173485,12.882125715886
"T2433",0.046982075,0.044834896,0.091442035,0.323803711011324,0.457088519128642,30.2370705107067
"T2434",0.032599746,0.030581481,0.10764337,0.397020734253847,0.261066184453758,22.1357819985912
"T5533",0.087977741,0.08213846,0.288847834,0.411413506073157,0.223910414139756,20.6001936397296
"T5529",0.177334378,0.170396757,0.287835556,0.279936935892114,0.583028860740559,35.4419827183116
"T0071",0.076890794,0.068694975,0.105302795,0.488280082524945,0.0293817034334562,12.5606342092423
"T0256",0.052725359,0.05152916,0.066952244,0.111872191822844,1.21663168007336,61.6277704246882
"T0248",0.071142702,0.071502265,0.204943883,3.68113379518064e-11,6.51308529456941,280.521698472404
"T0598",0.040588742,0.036917604,0.159669366,0.465462897123969,0.0866801006581767,14.9286850130916
"T0600",0.037585949,0.034193502,0.084169803,0.465148351560054,0.0874715442437868,14.9613941063626
"T0602",0.069712379,0.066751115,0.143785548,0.30365672343435,0.513912100728158,32.5854979467584
"T0585",0.055080649,0.05201316,0.198169045,0.373425675994129,0.322793874960504,24.6868883855808
"T0588",0.076742191,0.080651767,0.171191921,0.339341190329431,0.414261808085193,28.4671112723197
"T0590",0.053292737,0.047268304,0.164318385,0.495590295447849,0.0110537152080635,11.803167868956
"T0568",0.045741092,0.050417268,0.085967156,0.469196855380017,0.0772889128855356,14.5405622935872
"T0570",0.055045613,0.058021476,0.094687746,0.35363372606277,0.375528503576556,26.8663259568478
"T0574",0.042152873,0.047023444,0.196568334,0.484556843319735,0.0387199260386264,12.9465679633746
"T0576",0.033316001,0.037367872,0.230304147,0.490454450689419,0.0239294273374257,12.3353003880994
"T1094",0.089367851,0.084529993,0.271881548,0.366754122946134,0.340462516676678,25.4171049927717
"T0114",0.053161192,0.055101827,0.140682339,0.24826741052866,0.679952052534156,39.447662691144
"T0095",0.051956497,0.04682726,0.197100408,0.478081356048766,0.054969563283517,13.6181393930099
"T4094",0.192698705,0.179188281,0.281616233,0.422143440531469,0.196413052185568,19.4637717984
"T4115",0.085737086,0.091208371,0.323431491,0.390202211414433,0.278792040904175,22.8683631989291
"T4108",0.131989287,0.125060606,0.319318406,0.359345057472544,0.360209976064505,26.2332357982098
"T7010",0.14937316,0.143350146,0.178385203,0.28876615784743,0.556992848006753,34.3659560950622
"T2764",0.038452846,0.034018227,0.035530765,0.497979756583026,0.00506402091442565,11.5556234161639
"T2769",0.068300561,0.072783431,0.067984839,0.395918934303269,0.263924795768411,22.2539238166774
"T6008",0.078645156,0.069898649,0.342766926,0.493604105209243,0.016032817573531,12.0089461791721
"T6016",0.081348418,0.083053549,0.338443491,0.0845524008241181,1.37508594361439,68.176430846725
"T6026",0.072393609,0.073665129,0.348620065,0.0454362445127577,1.69081318051457,81.2249308633363
"T5993",0.112175274,0.100453009,0.345678509,0.485718945863742,0.0358049429051783,12.826096388484
"T5997",0.114615239,0.113771459,0.339887972,6.60812105628766e-06,4.35649382297546,191.393233886329
"T5999",0.10254237,0.112580597,0.344058474,0.463300810628621,0.0921213556298888,15.1535633488533
"T6005",0.105833193,0.101701455,0.364126657,0.279321935812253,0.584857003228712,35.5175369135126
"T6007",0.125621996,0.140418683,0.349746362,0.486804221796259,0.0330829445375551,12.7136005642597
"T6009",0.109695569,0.101287258,0.360076033,0.43850020391687,0.154772834760904,17.7428484371722
"T6021",0.072630725,0.064138322,0.340527101,0.499599137891692,0.00100481246399769,11.3878628451949
"T1085",0.060323439,0.060016426,0.057615195,6.30278142216196e-11,6.43185540639112,277.164597553111
"T1086",0.054116925,0.054529336,0.260014806,1.15396686735524e-05,4.2328061996385,186.281422909827
"T4799",0.069429893,0.070050046,0.074121385,0.000176062920711226,3.573585760727,159.036900097857
"T4801",0.084498115,0.090307778,0.153466152,0.405063305410804,0.240262697981645,21.2760072884899
"T5759",0.105857009,0.096297041,0.195910573,0.465234806551052,0.087254005143545,14.9524035644601
"T0874",0.070024402,0.062981645,0.226475959,0.480626984060613,0.048580051082431,13.3540711077376
"T1653",0.059729459,0.056585927,0.174478578,0.35997151863582,0.35853492371649,26.164008572819
"T1654",0.05050728,0.05660948,0.181513058,0.4897103761623,0.0257951223903447,12.4124065705372
"T1655",0.061064978,0.061860229,0.172853047,0.00889068957371689,2.37013941095577,109.30039377311
"T1656",0.060760061,0.057002815,0.162170666,0.396769095192611,0.261718871226938,22.1627564954838
"T2458",0.04307501,0.043653344,0.201424887,0.0109748932085153,2.29123567951084,106.03942917855
"T2461",0.021775468,0.023736422,0.225769882,0.451230287341986,0.122553630960571,16.4112804500341
"T8308",0.043770346,0.043429068,0.165297743,2.09204094302723e-05,4.09707233551556,180.671760133654
"T2219",0.051873995,0.055840854,0.204387037,0.424637256117141,0.190044178042163,19.2005564509313
"T2220",0.050536675,0.051291593,0.209165598,0.0210113348822326,2.0332955770686,95.379178691303
"T2144",0.074026975,0.070392958,0.118687971,0.342588609741103,0.405408560562717,28.101220760059
"T2148",0.076169399,0.079740999,0.148504575,0.318343680267943,0.472335464288678,30.8672022856124
"T2151",0.063487439,0.064465928,0.170731847,0.02483468916622,1.96280033970593,92.4657236630674
"T2154",0.058187996,0.056051575,0.129405685,0.260974683930327,0.640343405073199,37.810700856218
"T2127",0.058435918,0.064819441,0.169979984,0.477744667573422,0.0558148119022399,13.6530721619523
"T2116",0.046697233,0.051925651,0.178032466,0.48078143735751,0.0481924406019694,13.338051788624
"T2118",0.071393222,0.074326629,0.159271861,0.282514294216292,0.575388487445369,35.1262183514232
"T2120",0.062379755,0.056347418,0.168973874,0.475200206629597,0.0622039546205088,13.9171251770928
"T2121",0.064184641,0.061836768,0.158460449,0.25985102093944,0.643804767474206,37.953753409398
"T2138",0.052494549,0.057360602,0.176026341,0.455522963401988,0.111719361972638,15.9635174997831
"T2142",0.059670844,0.063509724,0.149564578,0.391865056931935,0.274461334290002,22.6893820445574
"T6034",0.04835613,0.050599138,0.047363058,0.315513764715667,0.480281095358928,31.1955824664611
"T6030",0.052692446,0.056610722,0.055434164,0.419669079218918,0.202740125953955,19.7252596034512
"T6041",0.054606258,0.059758609,0.055496405,0.458095978734948,0.105231699908455,15.6953928381816
"T6036",0.052437161,0.048774893,0.046732952,0.421403674589098,0.198303837810672,19.5419149339204
"T6060",0.054500834,0.054784939,0.053799954,1.42336678491039e-10,6.3069034110658,272.000532111416
"T6038",0.049542501,0.053775635,0.052323544,0.443125361029665,0.143049963111944,17.2583609649857
"T6032",0.046935343,0.051970717,0.051314754,0.475469579381404,0.0615274438628392,13.8891660731543
"T6043",0.053992512,0.061057259,0.059585823,0.498369277765191,0.00408762584495641,11.5152705748782
"T6040",0.049034894,0.051565981,0.049097413,0.34255725294643,0.405493893870966,28.1047474487445
"T6051",0.054578654,0.061208965,0.058807063,0.490327341014104,0.024248136500074,12.3484721263217
"T6110",0.051971009,0.057332201,0.055298213,0.470392039379467,0.074284413788347,14.4163911675719
"T6112",0.051346082,0.05791405,0.056244053,0.495978641545888,0.0100802215109076,11.7629349367319
"T6138",0.059441215,0.06644843,0.228379322,0.486899926472192,0.0328429181247582,12.7036806578173
"T6136",0.056779705,0.063768109,0.220571965,0.491785521968199,0.0205920980966377,12.1973739263807
"T3654",0.05472692,0.061428011,0.077181454,0.491212003026207,0.0220300235044401,12.2568010758779
"T7301",0.065534377,0.069133219,0.071249137,0.357298124987532,0.365690212959356,26.459725194296
"T7307",0.071479384,0.073613747,0.074438122,0.187121503785908,0.888553655360034,48.0688321685153
"T7309",0.069142764,0.068105235,0.070547865,0.0233638677903674,1.98875967611094,93.5385813766988
"T7326",0.080916128,0.090753565,0.081452696,0.490414168625109,0.0240304285343631,12.3394746054804
"T7328",0.075112074,0.069934392,0.063992662,0.418879829633002,0.204759975570796,19.808736746626
"T7334",0.08494473,0.075123667,0.073607458,0.49827762330697,0.00431737153069285,11.5247655953699
"T7336",0.072303815,0.066900985,0.066739927,0.433965437223271,0.166287281687294,18.2187220500584
"T7340",0.077340815,0.080312438,0.080226561,0.263312595469498,0.633166084472244,37.5140737140674
"T7348",0.081267201,0.075591127,0.080182143,0.421413292693209,0.198279250131548,19.540898764601
"T7352",0.079564989,0.084899922,0.080220656,0.400169494351341,0.252908412276353,21.7986343662314
"T7362",0.070896187,0.073058735,0.09075794,0.193686957032771,0.864389581782269,47.0701697864651
"T7364",0.080057193,0.072101616,0.09256151,0.478987188123069,0.0526956860992544,13.5241636981414
"T7368",0.074788473,0.066981489,0.061955836,0.485578856961998,0.0361563210835863,12.8406182846999
"T7382",0.068604228,0.071875997,0.074436361,0.322725920546866,0.460089694172276,30.361104258923
"T7408",0.082338285,0.076163386,0.05570182,0.434614872660546,0.164636951060009,18.1505165337116
"T7386",0.064089406,0.071402104,0.0521422,0.48306297776871,0.0424675803746884,13.1014525027842
"T7392",0.065335813,0.063434134,0.073269362,0.188346385731509,0.884006375054903,47.8809003710575
