"","cheA","cheW","cpxR","motA","motB","mscM","psd","tsr","ung","pval","z","inv_cof_var"
"T0174",0.254823886,0.220939244,0.160474608,0.192194196,0.188619281,0.04179728,0.321784374,0.162667944,0.081815941,0.32602255944556,0.450922898997285,2.03665066092774
"T0175",0.250192298,0.224396067,0.043144522,0.212789366,0.205717033,0.053259823,0.272875672,0.148159847,0.038063967,0.344436132820186,0.400385957286854,1.99406939704607
"T8405",0.07589839,0.185135308,0.185711203,0.193502702,0.195553898,0.077219407,0.135354099,0.101934666,0.196033007,0.111203060545137,1.2201550025906,2.68478792607993
"T1010",0.172997048,0.15018631,0.181081978,0.129803159,0.122811363,0.084069473,0.242458501,0.126345717,0.206777742,0.0517101831824144,1.62849312245,3.02884422719731
"T1011",0.159347603,0.143598308,0.184815937,0.129807614,0.125584,0.084069473,0.242372828,0.1272921,0.226338771,0.0726493761639265,1.45633964077431,2.8837916659762
"T1012",0.14578024,0.126548379,0.189539137,0.110360102,0.105570241,0.084069473,0.169991359,0.106838671,0.336646409,0.414904701170935,0.214946022866802,1.83782197655547
"T8401",0.075017511,0.043074129,0.159865064,0.043752064,0.048201643,0.167650738,0.064404014,0.077118976,0.048608109,0.472148548505535,0.0698700430637239,1.71558429517218
"T1995",0.235003708,0.204254265,0.228210439,0.15328109,0.154406274,0.055347108,0.389764956,0.157378207,0.224301405,0.322376805306913,0.461062715355139,2.04519423680376
"T1996",0.229159009,0.208552964,0.064371314,0.166780048,0.174731216,0.048373873,0.380114931,0.167524732,0.252978279,0.273149095806441,0.603316450085816,2.16505395944838
"T1997",0.229472168,0.206666523,0.084362697,0.157640109,0.163958572,0.0505271,0.401547646,0.164683095,0.22463526,0.334938858879241,0.42631583925869,2.01591731877014
"T8142",0.157801757,0.150700309,0.121909681,0.14416925,0.141248231,0.033207474,0.106248442,0.138206241,0.060004356,0.153061691622677,1.02339021662628,2.51899844634106
"T8143",0.162326885,0.153300797,0.163911636,0.145821226,0.142482188,0.040071175,0.145615449,0.138874998,0.060619973,0.112189098229393,1.21496826216455,2.6804176979796
"T8144",0.137659592,0.131956733,0.14599832,0.128527579,0.126809388,0.048240405,0.126747859,0.124721908,0.088902153,0.00647244897904393,2.48528162964899,3.75075450275098
"T8221",0.112760743,0.10316244,0.560305749,0.09859585,0.096829049,0.024804075,0.112216339,0.094131461,0.075547143,0.0408901866198889,1.74044805752926,3.12317487863997
"T8223",0.100941668,0.099826987,0.532903032,0.091778347,0.089899033,0.021705868,0.026170101,0.086594542,0.069735794,0.224961732692577,0.755542627410763,2.29331623268824
"T0717",0.110842685,0.146279184,0.356093128,0.307973742,0.25099044,0.054446823,0.104230538,0.133942827,0.10614014,0.434664715509488,0.164510310123777,1.79532600587177
"T0718",0.212246033,0.269399939,0.357500898,0.180419732,0.390558845,0.045966668,0.178642346,0.339559341,0.105589326,0.398109262922024,0.258244098877548,1.8743039388148
"T0719",0.166811561,0.207494626,0.355076771,0.396943618,0.38309608,0.043392585,0.330804097,0.293376727,0.098175821,0.42194170464517,0.196928603890753,1.82264091403132
"T0848",0.269331049,0.217651461,0.262361215,0.141653771,0.092408846,0.084069473,0.276231113,0.131719693,0.037960771,0.44959583572735,0.126682532538529,1.76345319115647
"T0851",0.252073678,0.256407376,0.262361215,0.136649006,0.134953376,0.084069473,0.276231113,0.131719693,0.023785963,0.438731229892557,0.154186787341817,1.78662764319114
"T0854",0.292856481,0.252631754,0.262361215,0.207507125,0.152027745,0.084069473,0.276231113,0.131719693,0.056450028,0.325081738595173,0.45353509631898,2.03885163826632
"T1007",0.156140399,0.142894801,0.117435961,0.129035756,0.126558086,0.084069473,0.180998909,0.127842649,0.271729676,0.0991421491822877,1.28645504507144,2.74065081585309
"T1008",0.134235903,0.12254172,0.053467308,0.11203223,0.109799812,0.084069473,0.152924559,0.110770832,0.327898364,0.396650452651399,0.26202663801785,1.87749101923211
"T1009",0.130233514,0.118084988,0.055194091,0.107381538,0.105433175,0.084069473,0.119838206,0.106145406,0.207369325,0.024795504022823,1.96347498759051,3.31109223652186
"T1992",0.120389605,0.114576987,0.055525841,0.108591017,0.106827108,0.047210899,0.121327158,0.107638463,0.05739507,0.0195446904411531,2.06324474507572,3.39515593778874
"T1993",0.111772065,0.107102436,0.047269886,0.102501769,0.101203028,0.04091668,0.096914198,0.101753179,0.045274387,0.0412469794619669,1.73639532158516,3.11976013661487
"T1994",0.064816611,0.137474565,0.152838303,0.131596655,0.11881981,0.042858319,0.144297931,0.224836826,0.053641918,0.380486771220574,0.304202602227205,1.91302751591512
"T4826",0.085003171,0.161636085,0.36827243,0.318298111,0.400171936,0.131840353,0.358509471,0.296281835,0.079021933,0.442112708282701,0.145614885181086,1.77940515572909
"T4827",0.419211956,0.410443563,0.259163444,0.211814608,0.488180659,0.114972059,0.30058386,0.464676673,0.078604761,0.365996000808329,0.342476931401646,1.94527658472124
"T4828",0.294544091,0.298682185,0.378194582,0.332195197,0.368310681,0.092431774,0.414325046,0.31930954,0.073029585,0.258555163021989,0.647806167207566,2.20253997107996
"T4829",0.421644344,0.510002967,0.343275401,0.107001865,0.397684636,0.145109198,0.362088216,0.397643203,0.092358795,0.401962004569136,0.248271938643118,1.86590162612945
"T4830",0.236657272,0.346317271,0.384575413,0.184435428,0.376223332,0.099603066,0.3333485,0.373221338,0.095119252,0.275758462210353,0.595488589074691,2.15845838393347
"T4831",0.186264169,0,0.161594486,0.216602399,0.313542057,0.107893043,0.206447551,0.175788214,0.107230175,0.450463098289956,0.124491415961397,1.76160700676128
"T4832",0.187284007,0,0.165146511,0.208342745,0.316979626,0.106188316,0.208247044,0.18909103,0.106016458,0.453633895930162,0.116485481487219,1.7548613906451
"T5088",0.032846629,0.033217972,0.068278308,0.074634043,0.032087997,0.036084272,0.08091745,0.035698013,0.079772927,0.262850486410972,0.634582150215664,2.19139771873841
"T5536",0.066291368,0.063808206,0.248933576,0.309055234,0.119785298,0.180667437,0.270919621,0.142297081,0.335938693,0.462411354217504,0.0943606054401972,1.73621947933386
"T5542",0.059557739,0.086233456,0.25905824,0.309278578,0.129670373,0.176160038,0.286039815,0.101370575,0.320121546,0.469037682775643,0.0776890991053822,1.72217245182248
"T5544",0.099689854,0.11836509,0.264589508,0.320190655,0.100856534,0.170646902,0.266594673,0.139172884,0.336050353,0.357368110404883,0.365502661021559,1.96467753451815
"T5546",0.092134175,0.046808566,0.248592034,0.30294491,0.121449382,0.179873265,0.26489355,0.151388662,0.33074492,0.429491835203344,0.177668060179014,1.80641242321774
"T5552",0.110454261,0.102792001,0.273595016,0.320165753,0.107622368,0.207712453,0.264254515,0.130400129,0.327506174,0.329720577129284,0.44068486612966,2.02802433008122
"T5554",0.110759025,0.135694785,0.2504128,0.316419357,0.093081408,0.172842086,0.280414794,0.126126636,0.356488973,0.371800466143332,0.327088522797334,1.93231066582465
"T5556",0.092711975,0.146477986,0.224503952,0.261273537,0.13899829,0.152934393,0.075884721,0.104111642,0.076288444,0.278373339993169,0.587680629132796,2.15187957660143
"T5558",0.13746581,0.125413365,0.203381855,0.229874222,0.129419537,0.161429469,0.13934756,0.113170253,0.102221327,0.0107491683211882,2.29911629144711,3.59389587373036
"T5560",0.135545535,0.080017713,0.241500983,0.316952077,0.117159116,0.179633596,0.295698309,0.115509591,0.3422675,0.386974717365815,0.287212736413066,1.89871224603411
"T5564",0.159904321,0.077605165,0.22204585,0.265770534,0.106346435,0.15837522,0.161090761,0.074560239,0.101625878,0.26172788727384,0.638027506775633,2.19430069687442
"T5566",0.103528938,0.132476954,0.219310471,0.253172633,0.143171205,0.186716658,0.120741161,0.099423975,0.093807772,0.127439878328568,1.13857668693456,2.61605191498777
"T5568",0.121135642,0.137415499,0.202057118,0.174665912,0.11455482,0.151435902,0.14392839,0.106917306,0.135902592,2.87222038884487e-08,5.42657899476937,6.22902396306506
"T5570",0.164838793,0.098186723,0.197305973,0.242944109,0.12516692,0.143416913,0.160459855,0.099781216,0.218373731,0.0561850923364009,1.58762931766677,2.99441332584492
"T5572",0.172733351,0.094577184,0.207092614,0.237887951,0.133586534,0.151676595,0.175118562,0.12775127,0.107647103,0.0257162162900711,1.94785402234318,3.2979303707506
"T5574",0.157538374,0.089464164,0.203253954,0.270106096,0.10594966,0.129776792,0.151677599,0.097786036,0.090384392,0.233297830204269,0.728029283953783,2.27013412276316
"T5576",0.140314052,0.06475603,0.223189031,0.258366965,0.131912437,0.151783301,0.13781223,0.086141551,0.239106261,0.239959812622936,0.706431841313791,2.2519366147008
"T5578",0.181127747,0.112826486,0.18298142,0.235063818,0.112436428,0.109213901,0.229792211,0.105497224,0.178806492,0.075767901284358,1.43412777673203,2.86507646058235
"T8498",0.046748152,0.040192829,0.167159009,0.040130711,0.045369472,0.040054147,0.039874606,0.064987506,0.044803185,5.59318041312647e-06,4.39287080700292,5.35804523680718
"T8499",0.052466946,0.069243363,0.127907821,0.072889919,0.079363556,0.055944777,0.067492661,0.073572192,0.078063044,1.03787060854076e-10,6.35562999496438,7.01182095195887
"T8138",0.152745387,0.141785558,0.073549863,0.136653504,0.132629511,0.045587711,0.128640465,0.127635427,0.078175734,0.0313812554478753,1.86087018643057,3.22463979270856
"T8139",0.140308398,0.129697235,0.122472267,0.124390316,0.120596567,0.057015107,0.23185006,0.115796056,0.078381549,0.181877032352827,0.908235021393244,2.42197132935289
"T8140",0.144810072,0.131196142,0.071009798,0.124973682,0.121156171,0.039265734,0.299126802,0.118120234,0.07624199,0.460255971587441,0.0997888715391641,1.74079321140701
"T8141",0.136298852,0.124097139,0.152439301,0.115194721,0.11173663,0.044538223,0.257371411,0.108097347,0.070828598,0.372319129290916,0.325717293843013,1.93115529986917
"T5535",0.065809106,0.074390031,0.27229625,0.324079257,0.112582615,0.194550446,0.295010109,0.144454892,0.333860198,0.462038536002158,0.0952993335399716,1.73701043002412
"T5537",0.081525125,0.147176373,0.233239225,0.327902968,0.083213626,0.144445248,0.261837325,0.110649247,0.355374665,0.471785681332748,0.0707818682498393,1.71635257808661
"T8252",0.268469361,0.124417215,0.070894131,0.118318786,0.116981127,0.067924813,0.314476985,0.1187208,0.194996386,0.374075644915593,0.321077989441418,1.92724632876278
"T8253",0.055630645,0.149760694,0.055276074,0.143818342,0.138675063,0.050786536,0.256052312,0.145055096,0.324484866,0.477004479720327,0.0576731774202496,1.70530749691498
"T1717",0.201365351,0.184950665,0.142964169,0.164191522,0.157773598,0.021642635,0.270047795,0.16181468,0.0923319,0.289318574634473,0.5553765201177,2.12466087788564
"T1718",0.184024531,0.173971618,0.30460266,0.161653644,0.156898096,0.016554537,0.362834893,0.158612705,0.110074073,0.469302144489574,0.0770242054778112,1.72161222775567
"T1719",0.186378656,0.174781139,0.265503468,0.161013201,0.156137207,0.011315418,0.343653797,0.158595298,0.108697978,0.448584274903134,0.129238984353755,1.76560719861439
"T8193",0.123684879,0.116072728,0.104097097,0.108395638,0.106278106,0.030920682,0.107797997,0.102891111,0.046527247,0.105825118826391,1.24904056425022,2.70912623547835
"T1588",0.154773168,0.130000351,0.088571191,0.121756625,0.11674594,0.029442186,0.076946702,0.100286172,0.054201047,0.206991312296438,0.816905167299157,2.34501889642299
"T1590",0.132416072,0.10713037,0.162948325,0.102446825,0.095947083,0.026868606,0.124550127,0.084591805,0.030707565,0.250289656799189,0.673578519289088,2.22425516174429
