"","fabA","fabB","fabR","fadR","pval","z","inv_cof_var"
"T8404",0.305596038,0.309581502,0.046342155,0.047829764,0.345993666131148,0.396159546535234,109.145687972005
"T0928",0.354955036,0.368805081,0.082454661,0.022900067,0.472975798077158,0.0677915176626328,36.9511930598832
"T4828",0.412946228,0.402897634,0.067929584,0.067038405,0.436107552699543,0.160845477840244,57.4098950768257
"T4831",0.302268451,0.299406383,0.09945408,0.100736731,0.282360558007289,0.575843280989664,148.650680274085
"T4832",0.306351561,0.300121865,0.098814112,0.10084671,0.415731319007452,0.212826057966518,68.838266286836
"T5079",0.367837319,0.347559473,0.045697165,0.046228101,0.494738203812219,0.0131897495253289,24.946531444331
"T5082",0.527011578,0.551895324,0.053218197,0.067522582,0.484377147773833,0.039170697700127,30.6586631559883
"T5083",0.362720608,0.355649829,0.053305182,0.053267343,0.410414451255966,0.226478984568397,71.8399779439637
"T5542",0.210222098,0.214666157,0.127188436,0.063546102,0.417920012491156,0.207217469152028,67.6051704887399
"T8396",0.400671145,0.401743615,0.057265002,0.066861209,0.0105537682401715,2.30605540874615,529.052484563839
"T8212",0.452576856,0.43603486,0.120670893,0.086742877,0.471104999104198,0.0724924694538286,37.9847371638474
"T1635",0.274681479,0.291718614,0.114750472,0.069817949,0.497348731295018,0.00664579401955705,23.5077873495157
"T0326",0.601479773,0.589731071,0.157166741,0.035905816,0.410672372055853,0.22581572764965,71.6941552875671
"T0345",0.306965445,0.31565392,0.141157103,0.065046221,0.448205340231756,0.13019685788842,50.6715361544533
"T0346",0.333060222,0.353130306,0.221286667,0.043775673,0.496136668301837,0.00968408783157007,24.1757820014494
"T0347",0.215172455,0.216047801,0.420513489,0.050101529,0.0688898529724171,1.48411013107383,348.34084716512
"T0348",0.217372053,0.214534593,0.413537641,0.054973191,0.348534912993495,0.389278923181527,107.632924596694
"T0349",0.215389492,0.21563754,0.385431134,0.03738996,2.02771938567357e-08,5.4884204308551,1228.72241341156
"T1958",0.327812688,0.347787184,0.476320413,0.104923984,0.496607016133142,0.00850505183169326,23.9165609415108
"T0784",0.388838531,0.380082724,0.479171761,0.106325889,0.427726910397793,0.182164259060865,62.0970098597388
"T0786",0.402196522,0.39410074,0.501391957,0.077476547,0.414467989164119,0.216066414978573,69.5506862463047
"T0794",0.401493425,0.38995684,0.490684823,0.074396967,0.452096844346155,0.120365412876887,48.5100096218587
"T0779",0.404945767,0.410201784,0.483443525,0.09119353,0.345124391454578,0.398517470493785,109.664097543769
"T0787",0.39571089,0.385071103,0.494525717,0.067803732,0.446014238836588,0.135737909420709,51.8897833085051
"T0780",0.400639057,0.377773956,0.493309591,0.089586213,0.496323991918185,0.00921451619061634,24.0725426953571
"T0796",0.401306102,0.387245339,0.50012292,0.081202019,0.468081700102385,0.08009286150305,39.6557477887597
"T0789",0.401572525,0.386045047,0.50238763,0.089087336,0.474938254292454,0.062861856829174,35.8673653340795
"T0802",0.382804069,0.393286751,0.496790282,0.089421737,0.445185101538368,0.137835783555786,52.3510187219864
"T0825",0.382541743,0.36312777,0.493398869,0.097484475,0.490723909433676,0.0232538064302733,27.1591996736768
"T0819",0.34833848,0.329433163,0.415873829,0.141087091,0.494005481299416,0.0150265955458433,25.3503776139404
"T0804",0.394730699,0.405216187,0.49991544,0.076275538,0.442320150990118,0.14508938141419,53.9457837040739
"T0815",0.342326882,0.33865074,0.432020887,0.125872463,0.310124128667521,0.495498532941291,130.98620628705
"T5135",0.192980984,0.188852468,0.08761669,0.17551462,0.421843815582355,0.197178785837568,65.3980808583685
"T5137",0.202944017,0.198452711,0.094083783,0.266534287,0.425767345876498,0.187160630379459,63.1955044512425
"T0063",0.367861513,0.368919338,0.098774826,0.242438405,0.0161847522070075,2.13981767276973,492.503709016604
"T0059",0.289333136,0.297350172,0.029438896,0.200451843,0.446273162117446,0.135082907384057,51.7457755579187
"T0017",0.371395071,0.380993746,0.24030066,0.074905625,0.439663102947524,0.151823424917635,55.426320256663
"T0054",0.278220483,0.278001591,0.273377351,0.278131553,3.44871108823387e-16,8.07232104799809,1796.81486930084
"T0055",0.275391791,0.262162555,0.231643116,0.275860585,0.487870220598831,0.0304095341795671,28.7324470825753
"T0025",0.361620153,0.357126474,0.083349005,0.041457707,0.339385524012891,0.414140726495209,113.099002823001
"T0060",0.314175823,0.323890429,0.204037988,0.065000309,0.455821473895057,0.110966454559426,46.4435689553942
"T0062",0.273172618,0.26814305,0.101080728,0.058389011,0.402890918158034,0.245871332186939,76.1035499679748
"T0003",0.322470481,0.315303812,0.321681786,0.273352717,0.426246764235801,0.185937813349284,62.9266577606359
"T0049",0.264940712,0.256929017,0.117411824,0.119215326,0.456513506058611,0.10922124238012,46.0598692626072
"T0008",0.303836465,0.308027133,0.076142429,0.052158417,0.355949350929843,0.369307277306493,103.241988939949
"T0009",0.336567384,0.346342157,0.235170939,0.06483169,0.450490990451903,0.124420957106556,49.4016554019305
"T0012",0.333512437,0.321853292,0.109407902,0.370039683,0.467917037709879,0.0805069417752141,39.7467868469914
"T0013",0.352836113,0.344608131,0.130371206,0.43504826,0.431583712295996,0.172343580519958,59.9378504269849
"T0053",0.323558784,0.31166373,0.040311591,0.334733838,0.471509774789152,0.0714752151047224,37.7610851713467
"T0046",0.249706047,0.259925956,0.066592604,0.284147683,0.476036445210359,0.0601038917250226,35.2610033250768
"T0051",0.351507865,0.371130967,0.029962984,0.083761804,0.492754560782239,0.0181626213393359,26.0398594705325
"T2821",0.42940211,0.432146784,0.450754087,0.133714474,0.181600995249424,0.909280671666844,221.959717354837
"T2000",0.264477624,0.274334389,0.150455124,0.203076371,0.469894974796567,0.075533870682007,38.6534150075684
"T2324",0.407918608,0.398461729,0.194656128,0.10563887,0.430946334934847,0.173965380257063,60.2944168481157
"T2325",0.395680994,0.412634267,0.202699108,0.089602492,0.478838777088342,0.0530682179260989,33.7141507949335
"T2329",0.447908392,0.457159538,0.112773159,0.396832228,0.41512801567096,0.214373210037092,69.1784207856489
"T5720",0.221724202,0.234773119,0.192191417,0.133499357,0.495118196955416,0.0122371709519065,24.7370989694081
"T5721",0.132086721,0.135400411,0.185034156,0.14954954,0.43670040942352,0.159340239930059,57.0789557615048
"T5734",0.121287842,0.117191663,0.110013803,0.149537564,0.46534766913019,0.0869700251606379,41.1677505205488
"T5736",0.103892286,0.099832589,0.213634149,0.200170342,0.475632126299842,0.0611192323291542,35.4842345645209
"T2410",0.329311317,0.349614961,0.171838171,0.065670589,0.497100321189905,0.00726848089218585,23.6446903373376
"T2818",0.508750694,0.497869882,0.476957562,0.04090615,0.421810448681888,0.19726406678616,65.416830597892
"T2412",0.295505811,0.29817317,0.347594457,0.070730974,0.269093508151177,0.615556882208597,157.382052177087
"T2823",0.19559702,0.200048513,0.32189115,0.114624011,0.426388570220421,0.185576172646009,62.8471479861849
"T2425",0.274237686,0.292198175,0.206493568,0.088791989,0.499539106415191,0.00115528914826982,22.3006533073983
"T2407",0.36359819,0.361820105,0.294184691,0.063246014,0.112783720603265,1.21185617315831,288.483506464139
"T2420",0.162882049,0.159665628,0.122156978,0.061641185,0.412060410401409,0.22224801147383,70.9097626407328
"T0602",0.237606543,0.228961702,0.084334027,0.08996461,0.470782286900157,0.073303541216572,38.1630581668079
"T0603",0.246039739,0.239297316,0.073107543,0.059629433,0.447795432557577,0.131233159730105,50.8993758996741
"T0583",0.24965159,0.262942496,0.05226888,0.06967845,0.490520763873552,0.0237631575673326,27.2711848392216
"T0575",0.310428913,0.298654739,0.23625299,0.077623814,0.473649696759445,0.0660985145066254,36.5789719634743
"T0581",0.267392049,0.282656833,0.163790536,0.042252509,0.493770708074271,0.0156151538304643,25.4797771423611
