"","arcA","fadE","fadI","fadJ","fadR","pval","z","inv_cof_var"
"T0175",0.150025137,0.04084676,0.039014674,0.040976944,0.098052233,0.268004268580964,0.61886008248992,36.708841046545
"T1012",0.105049401,0.040359423,0.036195682,0.038780883,0.066917888,0.430156609068516,0.175975464478425,18.2894089157002
"T0718",0.38891584,0.051688334,0.048768349,0.050490498,0.108683807,0.287588667089341,0.560442962515041,34.2792913785347
"T0719",0.411346209,0.047164049,0.044660889,0.048111214,0.10149975,0.357421049188282,0.365360800415978,26.1658855419182
"T0928",0.379982176,0.027306645,0.025731507,0.025041838,0.022900067,0.391550189056903,0.27528097717697,22.4194939919945
"T0930",0.374931832,0.042242795,0.041686736,0.046753704,0.058578928,0.454960739648957,0.11313758305224,15.6760011677128
"T1008",0.255169468,0.045111499,0.044983729,0.052389285,0.072155391,0.49776413849839,0.00560450299795426,11.2037341497844
"T1009",0.138287172,0.05376573,0.05231106,0.05185866,0.071675548,0.157080129981388,1.00653089024738,52.8319481543495
"T4825",0.066133147,0.065796767,0.064136345,0.06792363,0.063473766,0.283819129191181,0.571533205288595,34.7405310914858
"T4827",0.084554751,0.088109449,0.075944419,0.078202406,0.077651216,0.485532117075391,0.036273557458806,12.4792504901243
"T4830",0.089987337,0.395419202,0.384103952,0.403311832,0.09353861,0.23633246482044,0.71814979542502,40.8382690156412
"T5077",0.482152481,0.043364678,0.042018775,0.046268008,0.046378755,0.412120411289781,0.222093853502566,20.2074582271171
"T5570",0.200849302,0.099020593,0.111650647,0.112973285,0.224028159,0.470904457973273,0.0729964833253913,14.0065454404042
"T5578",0.191063469,0.18090264,0.210862926,0.201561854,0.206741929,0.481526340854923,0.0463231579931718,12.8972102192654
"T8395",0.454188487,0.044320171,0.04639308,0.045188782,0.088793965,0.216939323855879,0.782571730360394,43.5175570514452
"T8499",0.361682544,0.052370265,0.052345111,0.052862725,0.13273593,2.41634287888794e-05,4.06357464683236,179.973437620074
"T8213",0.186782607,0.040899723,0.036750651,0.042057609,0.049581807,0.468099896000361,0.0800471047075076,14.2997785687329
"T8214",0.218623896,0.057925549,0.056894195,0.064381124,0.069476712,0.464075403249511,0.090171657618134,14.7208555436564
"T8215",0.224813,0.052879697,0.052482168,0.054660417,0.057339229,0.199935743956591,0.841850772828593,45.9829538051796
"T8217",0.171510579,0.044562125,0.043385942,0.046322093,0.051181142,0.321155937968919,0.464468844626689,30.2877579658382
"T8252",0.078803418,0.066726703,0.067393531,0.070059278,0.086360577,0.253266833805266,0.664244763634947,38.596375677764
"T8253",0.062112663,0.050473293,0.050330624,0.058128093,0.065404738,0.491325975167704,0.0217442692743915,11.874981958912
"T8256",0.113198674,0.063208942,0.058248902,0.063398221,0.068212768,0.40375682695861,0.243634825627315,21.1033404906865
"T8304",0.147914207,0.049083024,0.048556773,0.052995965,0.056329124,0.407490903445216,0.234004085566852,20.7028010370699
"T8192",0.127010203,0.035402651,0.037733742,0.032405277,0.041614881,0.478908220358977,0.0528939049842317,13.1704855224227
"T8191",0.049831104,0.039484941,0.039832417,0.042503957,0.054069905,0.371726402865521,0.327284379612015,24.5822991623933
"T0880",0.463900417,0.074063324,0.07344887,0.075450403,0.131731798,0.0695579428436116,1.47909141005649,72.4855917182689
"T0150",0.1161058,0.064619607,0.064617362,0.070143015,0.244398314,0.406243187571685,0.237219672807518,20.8365363002322
"T0151",0.123436221,0.051413655,0.052056799,0.048269947,0.064271604,0.368287539533957,0.336392268379799,24.9610933950011
"T0326",0.324688268,0.029410201,0.026475487,0.026451638,0.035905816,0.450613657787985,0.124111092432684,16.1323859755162
"T0327",0.030250634,0.031188683,0.029453424,0.030344569,0.040517052,0.282100753977259,0.576612122883027,34.9517616786957
"T0328",0.375940959,0.031897574,0.031300355,0.0318215,0.04090724,0.0188117997005747,2.0789320173499,97.4327741356069
"T0876",0.148517206,0.060568566,0.060673904,0.068039703,0.303520101,0.463988277499928,0.0903909413266935,14.7299754842074
"T1081",0.123514711,0.058245863,0.058546798,0.062175375,0.351230495,0.347497387261269,0.392085860458702,27.2773723934144
"T1082",0.104445938,0.068417756,0.068634092,0.066497077,0.236473674,0.130704555409423,1.12306683360561,57.6786414288383
"T1083",0.101980129,0.033332664,0.037350997,0.031786142,0.359392887,0.491171974211113,0.0221303853261875,11.8910404042078
"T1961",0.336383992,0.037002957,0.037158217,0.042754844,0.08004143,0.491155526976918,0.022171622544094,11.8927554471459
"T2298",0.485503977,0.055485746,0.053635181,0.053772621,0.26753627,0.158057992832732,1.0024713735097,52.663114128527
"T2861",0.129971344,0.047092437,0.04663421,0.046859818,0.052751393,1.62781557554449e-06,4.65399600342157,204.528876359683
"T2862",0.086981207,0.033977251,0.036266824,0.036703401,0.045251872,0.373877608768859,0.321600694625246,24.3459164893238
"T2863",0.036339428,0.029821706,0.02956349,0.031053172,0.07440178,0.258896491886002,0.646751194866315,37.8688236482832
"T0790",0.358010318,0.041914539,0.041917128,0.048162364,0.074126816,0.488210688641513,0.0295557236475893,12.199857892324
"T0794",0.083121848,0.03371673,0.034311864,0.038369145,0.074396967,0.470889874937035,0.0730331351446614,14.0080697780535
"T0787",0.128663653,0.035450813,0.036213441,0.041538291,0.067803732,0.496093668477377,0.0097918775180531,11.3778857406111
"T0839",0.12809452,0.152406593,0.154512775,0.161058275,0.10597721,0.285166614606053,0.567560802801145,34.5753201199634
"T0845",0.141935696,0.160793903,0.156164079,0.163730301,0.097250549,0.227774933393505,0.746194604800886,42.0046438273034
"T0844",0.090285089,0.159532167,0.165382117,0.16590539,0.089667943,0.19821103453151,0.848028553500455,46.2398857625719
"T0829",0.389783468,0.055993558,0.056193009,0.063284645,0.103737043,0.470168828418298,0.0748454782760826,14.0834445595415
"T0830",0.06968083,0.215813104,0.235900396,0.241128071,0.139495465,0.439705002841621,0.151717180852841,17.2805145204547
"T0819",0.154383642,0.157611785,0.150459301,0.149843376,0.141087091,0.278899554513712,0.586113702054997,35.3469293715357
"T0831",0.106405505,0.115391072,0.132572852,0.132630724,0.122908257,0.482770613556752,0.0432011014078364,12.7673648666757
"T0804",0.065030601,0.041818452,0.040522257,0.044996155,0.076275538,0.428743877782727,0.17957306036256,18.4390317983362
"T0805",0.248399913,0.05276663,0.052794302,0.058683611,0.081732651,0.451268336027365,0.12245753869048,16.0636151948421
"T0040",0.104187924,0.039087122,0.038820483,0.039380156,0.043113036,0.000986669628163398,3.09421575245421,139.658105727094
"T0041",0.030884927,0.025465584,0.025798268,0.026064442,0.025376689,0.0357869112220704,1.80181941274895,85.9077479652094
"T0063",0.297461134,0.048528651,0.048531256,0.05631273,0.242438405,0.4960959019511,0.00978627876142303,11.3776528900817
"T0036",0.145294631,0.032364423,0.031519361,0.036866875,0.050656362,0.49317095129538,0.0171187226439237,11.6826069276669
"T0038",0.181135954,0.033277007,0.032591191,0.037030306,0.034088931,0.467589171410549,0.0813314758111215,14.3531951594469
"T0057",0.318911644,0.027882192,0.028739448,0.03134764,0.342027146,0.449532308573016,0.126843056043307,16.2460074838353
"T0058",0.299595953,0.028923774,0.028481122,0.032972889,0.246578648,0.48849833101594,0.0288344037796226,12.169858425618
"T0056",0.080767326,0.06231666,0.059533458,0.054252774,0.097093935,0.467795062972229,0.0808136833247864,14.3316603326048
"T0018",0.363088553,0.041398834,0.04176923,0.044910677,0.059506797,0.394264649543756,0.268220886049133,22.1258670199162
"T0054",0.116247867,0.064895333,0.064929002,0.073635564,0.278131553,0.476080573408805,0.059993079129852,13.4657379449326
"T0055",0.114723982,0.062923655,0.062433681,0.068941345,0.275860585,0.434109653511122,0.165920763558967,17.8712370631454
"T1868",0.147247635,0.09375165,0.090781216,0.08157819,0.088193577,0.471201298316578,0.0722504501502842,13.9755181550179
"T1866",0.225809334,0.099957171,0.09840903,0.095060963,0.096773366,0.249542241265095,0.675930955928456,39.0824007440323
"T1870",0.228513527,0.09883486,0.097622049,0.096137674,0.128305488,0.070483149000879,1.47220214633121,72.1990694041978
