"","cra","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","pval","z","inv_cof_var"
"T8404",0.045224708,0.311970184,0.235809575,0.071795224,0.118120597,0.27462726,0.04754175,0.063758522,0.119116571,0.140661775,0.245570783,0.311691116,0.233326351,0.310835451,0.217103313,0.125179843599579,1.14947617061718,1.99262755304397
"T8405",0.101536757,0.193365201,0.172383373,0.153201941,0.079152298,0.18837844,0.19201046,0.075843066,0.166637513,0.116044869,0.158589569,0.195658878,0.156507502,0.194656883,0.171053564,2.56679174185696e-08,5.44662048169344,3.90630624536265
"T1011",0.115207245,0.577785326,0.161506954,0.244325002,0.140598981,0.054143275,0.089447802,0.530335469,0.142593342,0.238630535,0.210286635,0.424729777,0.401232975,0.265433125,0.053868038,0.495162215067965,0.0121268257189659,1.4861234541604
"T1012",0.115207245,0.481523744,0.329160635,0.336474355,0.115595533,0.033871807,0.064232776,0.525512253,0.139202676,0.270376764,0.212100809,0.40555651,0.393261198,0.318979285,0.048167797,0.384443107165108,0.293832087777854,1.6115773180501
"T8399",0.042055516,0.312307224,0.283156346,0.224249783,0.078119263,0.266542512,0.052915445,0.045896438,0.042016886,0.308606912,0.254423022,0.311830342,0.282478937,0.31028508,0.263220459,0.131236431418077,1.12056548674464,1.97975254683004
"T8400",0.035571176,0.494990641,0.258024246,0.529749194,0.035571497,0.44025271,0.03984907,0.035240909,0.483282309,0.346376444,0.322007002,0.471461668,0.044066144,0.446843592,0.479426153,0.385278900185747,0.291645346544955,1.61060348058967
"T8401",0.033084969,0.479783806,0.136464162,0.205220687,0.038595015,0.412498339,0.052028204,0.029976231,0.408438137,0.352658176,0.271471155,0.462085817,0.186950938,0.377834611,0.264670997,0.343643424949647,0.402539737191701,1.65998889032127
"T1996",0.124466262,0.306983173,0.158209855,0.091088285,0.101086934,0.12061724,0.109625754,0.260443406,0.259995541,0.141686153,0.293490593,0.523200263,0.369189288,0.28607695,0.045555079,0.348153947552676,0.390309235180826,1.65454219144401
"T0852",0.101672285,0.280672996,0.094404941,0.284842084,0.177289693,0.169376771,0.00752812,0.255913196,0.249742253,0.235237415,0.240452307,0.09925203,0.634688791,0.340796069,0.076477132,0.495334039572113,0.0116960949996898,1.48593163370013
"T0856",0.090511054,0.281618522,0.094404941,0.285145606,0.085975988,0.277705323,0.025644947,0.210048848,0.249742253,0.235237415,0.240452307,0.122806664,0.566876668,0.340796069,0.076477132,0.398900912876206,0.256192984131253,1.59481522084503
"T0851",0.065032776,0.469748985,0.094404941,0.281834131,0.2804231,0.110373467,0.166819363,0.032823932,0.249742253,0.235237415,0.240452307,0.127675789,0.479821875,0.340796069,0.076477132,0.352093962670716,0.379673322635737,1.64980562275153
"T0854",0.102917081,0.387095727,0.094404941,0.295871159,0.266651421,0.174031147,0.207540138,0.126660565,0.249742253,0.235237415,0.240452307,0.063184502,0.464646304,0.340796069,0.076477132,0.149193708564441,1.03989773019209,1.94382818504544
"T1007",0.115207245,0.531308126,0.278068003,0.242836125,0.135688452,0.046180352,0.089456469,0.430340194,0.121696517,0.384152398,0.201049565,0.402424641,0.281083611,0.598178965,0.031065793,0.479513814159206,0.051373841978276,1.50360161484468
"T1008",0.115207245,0.478821902,0.259226914,0.212912271,0.122667575,0.048055989,0.083011958,0.420310883,0.155323168,0.419241635,0.171656778,0.390516565,0.278537504,0.565037008,0.053168734,0.435761691284816,0.161723773332964,1.55274455653924
"T1009",0.115207245,0.510984051,0.32623417,0.211111137,0.11613417,0.051886753,0.07385335,0.290495669,0.072439161,0.249612947,0.169487735,0.409634575,0.247725046,0.295855946,0.063465959,0.412052500068823,0.222268335580624,1.5797073090841
"T4825",0.097187258,0.277239077,0.074931393,0.253481818,0.202879104,0.082491848,0.07363416,0.072646259,0.476553565,0.089271688,0.507571941,0.395597491,0.280684946,0.306193257,0.160998556,0.448177818665077,0.130266431727004,1.53873542861836
"T4826",0.198093863,0.084518207,0.076305265,0.082626089,0.302975589,0.10984246,0.115653892,0.379933908,0.367702875,0.075741407,0.381490697,0.334555863,0.076117974,0.357283073,0.151484601,0.454089843638286,0.115334886692114,1.53208585450399
"T4827",0.098642991,0.227631076,0.089525637,0.102151643,0.121204369,0.199789048,0.092908417,0.19506572,0.372399514,0.079172081,0.436240751,0.308617526,0.16183195,0.472407964,0.20501967,0.33424105327246,0.428232156954264,1.67143068345049
"T4828",0.184541848,0.178173699,0.078967176,0.127151471,0.26084649,0.373421011,0.155433355,0.362431211,0.362924817,0.081633043,0.401840082,0.31178873,0.074288348,0.403038055,0.206580882,0.172758896597977,0.943318935660394,1.90081804439255
"T4829",0.083149304,0.088409085,0.318628269,0.086641944,0.137674316,0.124138354,0.087321507,0.092099774,0.3854098,0.063846748,0.362954956,0.28199421,0.095282183,0.091494595,0.306700955,0.48483317804193,0.0380267474274465,1.49765765564824
"T4830",0.07253842,0.096185159,0.321445045,0.091045423,0.310472132,0.274918789,0.164911913,0.094288349,0.375782178,0.056802175,0.276313539,0.076854431,0.094477238,0.077221069,0.247404477,0.37265133371482,0.324839341715204,1.62538600513894
"T4831",0.196151896,0.090206308,0.091814266,0.249026394,0.112609975,0.097748857,0.091618128,0.410743774,0.411639374,0.084044283,0.394019115,0.371516549,0.110242746,0.227293905,0.178391005,0.433505438725559,0.167456493253536,1.55529755061317
"T4832",0.193718229,0.092255298,0.095816308,0.251010337,0.102699063,0.097994696,0.090956709,0.40681148,0.406266523,0.084354649,0.384060824,0.371087519,0.109484909,0.222292405,0.17550447,0.428285051498877,0.180741983988536,1.56121407533193
"T5079",0.043821987,0.475712894,0.039699575,0.449813845,0.04191273,0.033731012,0.035437184,0.526484487,0.318169897,0.325716632,0.331855229,0.524873485,0.314338021,0.346419784,0.145936755,0.48547888386147,0.0364070814761316,1.49693635796882
"T5536",0.096984272,0.069548034,0.11033915,0.313258678,0.144341891,0.147663535,0.083208498,0.080846303,0.244327272,0.091732149,0.157411761,0.325152801,0.273794184,0.343330039,0.066113726,0.311523250305663,0.491537267124078,1.69962281098379
"T5538",0.097115239,0.07985919,0.103126081,0.312177707,0.125750822,0.140737852,0.095049599,0.159764405,0.239985618,0.076757151,0.105590316,0.325441158,0.245385488,0.316639398,0.082400021,0.232957270496691,0.729142432377086,1.80543725634871
"T5540",0.073648537,0.094584581,0.102851946,0.31461448,0.135085637,0.142820563,0.068024936,0.06792582,0.246723793,0.092015646,0.077173474,0.326355008,0.281246197,0.338374951,0.067185818,0.424866360961225,0.189459465025514,1.56509629489532
"T5542",0.096392556,0.291188181,0.104787494,0.309342808,0.168467578,0.138494702,0.064711769,0.158716932,0.256410622,0.319499172,0.219724533,0.316372436,0.311517462,0.320127425,0.059628968,0.0562366543333213,1.58717370401035,2.18755059558083
"T5544",0.077918738,0.118055721,0.102206461,0.318614978,0.045812718,0.192420488,0.1203559,0.174647263,0.268085941,0.224765272,0.078523913,0.315362934,0.287455857,0.336633185,0.060307,0.217213683317719,0.781637968259249,1.82881547713608
"T5546",0.102820466,0.187884237,0.099850464,0.312938319,0.125423552,0.146188785,0.046474545,0.1009025,0.248744062,0.093284404,0.04520159,0.317730929,0.315349624,0.331981229,0.045492589,0.434658965767751,0.16452491895895,1.55399201119993
"T5548",0.075395749,0.104811195,0.073434939,0.329929865,0.073785673,0.106857173,0.138629233,0.196630269,0.236264236,0.088916468,0.174291281,0.343692835,0.120220395,0.368331607,0.0826176,0.349997300486431,0.38532775454098,1.65232375225124
"T5550",0.083052927,0.06767245,0.054926243,0.320172204,0.137435918,0.122659397,0.063532131,0.056298425,0.259109714,0.120396756,0.13711137,0.334780297,0.302437409,0.340717013,0.066118624,0.492606853426912,0.0185329311001419,1.48897633190461
