"","eno","envC","fbaB","fruA","fruB","fruK","glk","gpmM","pfkA","ppc","pykF","pyrG","tpiA","yibQ","cra"
"eno",1,-0.088123802907787,0.568845811075356,0.105919835590022,0.124917032896385,0.0937603186508731,0.264945727383844,0.299065028342965,0.0366147643855006,0.34846210610043,0.52800398648422,0.594590684190064,0.588894937838042,-0.117856016530278,-0.226556145225503
"envC",-0.088123802907787,1,-0.133135019714598,0.250890457416751,0.19903319437995,0.147469998982973,0.00584433272308223,0.00205191110605997,0.0072759757591902,-0.0952188099151596,-0.157403411406587,-0.11452543598735,-0.0678611375116168,0.568963937904248,-0.0347978136310278
"fbaB",0.568845811075356,-0.133135019714598,1,0.0801105477309252,0.0213287238268225,0.0554246904676548,0.180060576814331,0.306819075536085,0.0368345837275887,0.294445312746651,0.404101265464606,0.565331289246701,0.560928945379596,-0.0728397009525994,-0.22017715657406
"fruA",0.105919835590022,0.250890457416751,0.0801105477309252,1,0.0119787747025123,0.422760402421061,0.263858875244196,0.192149471487176,-0.0211540418517119,0.252298152523713,0.187735633542083,0.169651940481142,0.223158516474614,0.097140651885193,0.12984583987127
"fruB",0.124917032896385,0.19903319437995,0.0213287238268225,0.0119787747025123,1,0.283713935597506,-0.0635483906713244,0.000402190375651089,0.044215802810421,-0.0362862550229944,0.0277588894225594,0.0998582905832945,0.151268213186665,0.233554100339132,-0.124900531708709
"fruK",0.0937603186508731,0.147469998982973,0.0554246904676548,0.422760402421061,0.283713935597506,1,0.139610281632818,-0.128448059376673,-0.027360541685716,0.069225248625389,0.0836295372713031,0.0715761547722189,0.174248977176885,-0.0579455943511198,0.00736272958838815
"glk",0.264945727383844,0.00584433272308223,0.180060576814331,0.263858875244196,-0.0635483906713244,0.139610281632818,1,0.129700961159524,-0.161007413942369,0.325312972574036,0.180747071031396,0.108679538012222,0.186211861762535,-0.109314575736222,0.036174343962615
"gpmM",0.299065028342965,0.00205191110605997,0.306819075536085,0.192149471487176,0.000402190375651089,-0.128448059376673,0.129700961159524,1,-0.0321919168859377,0.39360061678892,0.321889801657968,0.199331290141529,0.305605394963576,0.19134586738078,-0.0942467911281073
"pfkA",0.0366147643855006,0.0072759757591902,0.0368345837275887,-0.0211540418517119,0.044215802810421,-0.027360541685716,-0.161007413942369,-0.0321919168859377,1,-0.0285891956675983,0.0747947012867573,0.137877702231254,0.15968325009389,-0.121605592951881,-0.145084952009862
"ppc",0.34846210610043,-0.0952188099151596,0.294445312746651,0.252298152523713,-0.0362862550229944,0.069225248625389,0.325312972574036,0.39360061678892,-0.0285891956675983,1,0.329205642044409,0.227947691063117,0.397103847710458,0.0315915756667364,-0.00261182581482476
"pykF",0.52800398648422,-0.157403411406587,0.404101265464606,0.187735633542083,0.0277588894225594,0.0836295372713031,0.180747071031396,0.321889801657968,0.0747947012867573,0.329205642044409,1,0.554364480708818,0.574225213070963,-0.0901669314816824,-0.0925415920938294
"pyrG",0.594590684190064,-0.11452543598735,0.565331289246701,0.169651940481142,0.0998582905832945,0.0715761547722189,0.108679538012222,0.199331290141529,0.137877702231254,0.227947691063117,0.554364480708818,1,0.549633152698372,-0.112130489507291,-0.0787858765300506
"tpiA",0.588894937838042,-0.0678611375116168,0.560928945379596,0.223158516474614,0.151268213186665,0.174248977176885,0.186211861762535,0.305605394963576,0.15968325009389,0.397103847710458,0.574225213070963,0.549633152698372,1,-0.182679361473039,-0.254227018413649
"yibQ",-0.117856016530278,0.568963937904248,-0.0728397009525994,0.097140651885193,0.233554100339132,-0.0579455943511198,-0.109314575736222,0.19134586738078,-0.121605592951881,0.0315915756667364,-0.0901669314816824,-0.112130489507291,-0.182679361473039,1,0.0244536692759363
"cra",-0.226556145225503,-0.0347978136310278,-0.22017715657406,0.12984583987127,-0.124900531708709,0.00736272958838815,0.036174343962615,-0.0942467911281073,-0.145084952009862,-0.00261182581482476,-0.0925415920938294,-0.0787858765300506,-0.254227018413649,0.0244536692759363,1
