"","add","crp","dsbG","gor","grxA","hemH","oxyR","rbsR","trxC","pval","z","inv_cof_var"
"T8405",0.189747435,0.193747091,0.19297695,0.103135343,0.165324853,0.148748638,0.076367286,0.162998429,0.173847701,0.367062068244845,0.339644666676379,4.88410371383759
"T8222",0.057055415,0.547193159,0.035428257,0.039324851,0.027925591,0.030704943,0.051266588,0.027791941,0.032119244,0.482742345114858,0.0432720261459788,3.51806328116926
"T4828",0.06872941,0.374090711,0.068273084,0.094475768,0.06762931,0.067316229,0.076774388,0.070907844,0.10441538,0.378854134881498,0.308491627935029,4.74051316362686
"T4829",0.091596714,0.361669363,0.085247208,0.100467665,0.083637144,0.084596765,0.090733676,0.087207792,0.130835988,0.334753301569506,0.426825264718685,5.28593642571295
"T4831",0.088356203,0.348201037,0.098503153,0.085904407,0.084613778,0.091861287,0.115689857,0.085585419,0.09144496,0.000760780521110689,3.1705395763652,17.9322612642414
"T4832",0.091806836,0.351077623,0.097345826,0.088939904,0.087605264,0.093125899,0.112370469,0.08893082,0.09432682,5.26645097625642e-07,4.88141182142977,25.8180116415557
"T5075",0.057312433,0.488349124,0.059263949,0.05683176,0.057360425,0.054201258,0.068834924,0.239924404,0.071987934,0.0937552588607029,1.31797947843574,9.39344339903418
"T5076",0.044454745,0.572956778,0.047580447,0.042240203,0.045680624,0.041268651,0.059749435,0.18762475,0.079304225,0.488132351860774,0.0297521711921852,3.45574758132045
"T5077",0.042980528,0.497426135,0.043744848,0.044384178,0.051117473,0.043260184,0.045855036,0.061460258,0.079015083,0.477434563844672,0.0565933553959112,3.57946393657297
"T5078",0.047839592,0.669772492,0.050010387,0.047358487,0.049117586,0.045434965,0.057234941,0.064890264,0.065450869,0.215068849747374,0.78895604125344,6.95506918295648
"T5080",0.049768614,0.520214766,0.051893396,0.048128752,0.052132428,0.047958223,0.057865771,0.06494984,0.068503137,0.223143951185433,0.761618211421061,6.82906368924558
"T5082",0.060820209,0.554003014,0.063632182,0.06023056,0.053701926,0.052873926,0.068260915,0.086439904,0.081275168,0.278472688706366,0.587384684654398,6.02598671876778
"T5084",0.045500406,0.550315224,0.048341937,0.043495089,0.048200825,0.043220424,0.058284693,0.153190328,0.077756307,0.453639140459791,0.116472245919182,3.85545764966242
"T5085",0.037011637,0.44156547,0.038902814,0.037164259,0.033957078,0.031060975,0.057647969,0.043462957,0.061532251,0.471231637621524,0.0721742022476797,3.6512791578992
"T5087",0.037011637,0.44156547,0.038902814,0.037164259,0.033957078,0.031060975,0.057647969,0.043462957,0.061532251,0.471231637621524,0.0721742022476797,3.6512791578992
"T5568",0.118814692,0.219278513,0.11797589,0.178200019,0.117278193,0.097429384,0.234750527,0.10048239,0.141072829,0.391706410516865,0.274874288892019,4.58556416330994
"T5570",0.125747823,0.224920522,0.112585229,0.176002909,0.124254019,0.120243675,0.227599652,0.105351039,0.090460301,0.404666373339574,0.241286921426547,4.43075330795362
"T5572",0.116695253,0.228867612,0.136993388,0.178644061,0.17113832,0.126698181,0.241369267,0.099519618,0.089160301,0.437605695348049,0.157042452777456,4.04245380028866
"T5574",0.116889048,0.244675066,0.114332824,0.173240515,0.108149736,0.101841224,0.253439974,0.091977841,0.167269832,0.429069852965182,0.178742742504613,4.14247475065325
"T5578",0.103817001,0.145163587,0.10661807,0.158315033,0.167951948,0.106458373,0.214751193,0.116163596,0.100935674,0.435853587087318,0.161490396999868,4.06295525966492
"T8388",0.046377407,0.311745698,0.046794872,0.067685065,0.04652279,0.070369124,0.061905864,0.045176169,0.046403381,0.387465220117714,0.285931691576803,4.63652993100252
"T8389",0.047745431,0.295179205,0.046831065,0.070860025,0.048115482,0.073680664,0.058769704,0.044913078,0.048359598,0.406839213463758,0.235683303394025,4.40492511818564
"T8394",0.049524186,0.287706122,0.048191974,0.071910693,0.049854754,0.073292404,0.054834304,0.041384975,0.050354762,0.375750667197321,0.316660354349705,4.77816444798928
"T8214",0.086933781,0.231423652,0.071003878,0.098609174,0.056024823,0.063258379,0.073829217,0.057283084,0.061073798,0.408552031743612,0.231271271842225,4.38458918744932
"T8215",0.073389203,0.516405644,0.057961461,0.079145513,0.056484069,0.054949238,0.06063557,0.05251848,0.053318965,0.299728752032599,0.525180809681167,5.73927669003501
"T8139",0.105799944,0.213313077,0.077736149,0.082257346,0.061322914,0.054410596,0.08547079,0.064855918,0.074861965,0.421203864357383,0.198814658948901,4.23499020476186
"T8406",0.048134595,0.308199717,0.046775869,0.06603474,0.047993209,0.075780575,0.057102643,0.042188988,0.048208992,0.399331988851946,0.255076547290347,4.49431243556947
"T5543",0.155548745,0.340893625,0.138162137,0.1123019,0.082973985,0.111998307,0.088944305,0.086821603,0.073715124,0.475965474539618,0.0602821113854419,3.59646614642247
"T5537",0.106581007,0.235175066,0.11175831,0.091356553,0.081738881,0.086365751,0.157055864,0.083381765,0.122602463,0.263212099849922,0.63347393051344,6.23842121758646
"T5541",0.131471665,0.31003211,0.122486116,0.144150271,0.109318664,0.101190196,0.110528402,0.107696212,0.09082312,0.289704980942972,0.554246787814011,5.87324756289784
"T0150",0.099209825,0.375749885,0.069217633,0.122174834,0.064419377,0.065904686,0.429747734,0.064413956,0.067321649,0.492477938316353,0.0188561298343997,3.40552556007003
"T1082",0.107025396,0.379690481,0.076280424,0.071435685,0.067880516,0.072762782,0.336042392,0.067754957,0.066088623,0.352420898746177,0.378792715086547,5.06454485338623
"T0801",0.113097938,0.555639794,0.098863762,0.175121703,0.164333416,0.114941925,0.124890704,0.044078068,0.142870663,0.408117973297312,0.232388929474125,4.38974069371631
"T5133",0.121756351,0.062227803,0.13165102,0.110250761,0.068716597,0.109710296,0.282486777,0.131897553,0.118712906,0.354379042128552,0.373524540348684,5.04026278846484
