"","fldB","ompN","pgi","ribA","soxS","ydbK","pval","z","inv_cof_var"
"T0175",0.049680985,0.041989918,0.114364183,0.143394413,0.189647226,0.065693308,0.475803364963915,0.0606892038304584,1.88952231154049
"T8405",0.191990403,0.174762647,0.153457723,0.182587559,0.19178354,0.076268489,0.1712660491594,0.949174048230963,3.3376059131405
"T8400",0.038342302,0.060501345,0.035159647,0.058356406,0.03576581,0.06972123,0.146816523613098,1.05018503784107,3.50223714861699
"T8401",0.049588828,0.063969026,0.042993164,0.064223499,0.044013478,0.104359818,0.282582376422437,0.57518711977322,2.72806896749026
"T8142",0.158199198,0.077759638,0.04388471,0.134366897,0.143155388,0.06733112,0.447193421482219,0.132755380704136,2.0069782812382
"T8143",0.162746605,0.067938759,0.168363371,0.125853934,0.145669232,0.067318606,0.352313738736545,0.379081319893509,2.40844889206166
"T8144",0.138762511,0.075219304,0.267482542,0.127596653,0.130997812,0.08473232,0.496586793288077,0.00855574483130516,1.80455338095362
"T0718",0.209864084,0.122547642,0.349978846,0.207046932,0.080224974,0.081596782,0.477083636865025,0.0574744307586574,1.88428276221393
"T0719",0.21107836,0.135188289,0.354199501,0.208496346,0.133251286,0.073347919,0.480578723284004,0.0487011660985407,1.86998378934244
"T1008",0.146084388,0.072841559,0.250791215,0.099518082,0.115916505,0.097885843,0.476652362371107,0.058557296495924,1.88604765457732
"T1009",0.143132758,0.079436864,0.244483821,0.19667102,0.109575867,0.097885843,0.395950720399204,0.263842296885241,2.22062831128937
"T1994",0.152291127,0.086455403,0.093799351,0.21630867,0.141698587,0.069295564,0.438249163772797,0.155409712728879,2.04390110205724
"T5075",0.055120541,0.054548542,0.091023416,0.059105896,0.485906264,0.062781963,0.0657934306209647,1.50787367545038,4.24819406047392
"T5556",0.076991396,0.097483445,0.260626953,0.140927316,0.237621912,0.147474018,0.441017949410187,0.148388850314439,2.03245825551291
"T5558",0.098610206,0.131490817,0.242229967,0.164251009,0.219046301,0.180775893,0.225632562292438,0.753307547223763,3.01837585536425
"T5564",0.163566713,0.083088321,0.282935969,0.154193469,0.241789524,0.156227355,0.369993336076903,0.331870996037311,2.33150385891535
"T5566",0.125465558,0.109310007,0.246049659,0.116212572,0.219426981,0.122283132,0.330820073227844,0.437649825521303,2.50390588618411
"T5568",0.148581941,0.156658779,0.259635844,0.147399936,0.221702804,0.156667254,0.132602467202412,1.11417309729227,3.6065271206671
"T5570",0.097607023,0.113836357,0.161356305,0.128546135,0.209558275,0.16942411,0.0565203927131767,1.58467240190082,4.37336330460625
"T5572",0.170284851,0.087178937,0.262083059,0.141190326,0.221684591,0.142839845,0.330753202217699,0.437834300370088,2.5042065497296
"T5574",0.151098892,0.124613399,0.261181035,0.097479939,0.225913811,0.134564003,0.345878808731438,0.396470972857791,2.43679115524576
"T5576",0.169863404,0.113359254,0.260580824,0.15181526,0.239347829,0.103439204,0.319638789668261,0.468709103020274,2.55452738041359
"T5578",0.227998078,0.107871504,0.177189185,0.147893042,0.196723002,0.182882824,0.109710648961545,1.22806838479288,3.79215763442161
"T8395",0.06250386,0.133947214,0.082355948,0.111637888,0.05358312,0.043111575,0.361315572424219,0.354944533538073,2.36910991544668
"T8396",0.03956403,0.093006816,0.062093372,0.082855997,0.026851225,0.028220655,0.396311538068742,0.262905942247832,2.21910220782879
"T8499",0.091850386,0.210231959,0.198901426,0.159729428,0.072151605,0.053023048,0.426818729638221,0.184479306874796,2.09127974093124
"T8403",0.049292478,0.063412096,0.122880696,0.063817817,0.043308467,0.099829,0.305169028280607,0.509590962709109,2.62115806183873
"T8253",0.133790726,0.068268083,0.081174965,0.208175604,0.157633067,0.071506554,0.47620572710842,0.0596788032224385,1.8878755253733
"T8255",0.21226889,0.097899324,0.14185205,0.214328631,0.173258858,0.082379457,0.350634070737639,0.383609171262786,2.41582854221512
"T1637",0.053446876,0.100629109,0.059430092,0.176617129,0.099843195,0.073269164,0.48751609860862,0.0312976089997109,1.84161886471468
"T1638",0.04944975,0.092219177,0.103721011,0.189555284,0.160443564,0.076328473,0.465008466465426,0.0878235335928569,1.93374678899441
"T8190",0.11001898,0.122211281,0.056507532,0.105034668,0.092687362,0.062815742,0.214458190239864,0.791047316785285,3.0798854486619
"T8192",0.117810894,0.087449146,0.174796172,0.098174208,0.087553362,0.049051613,0.3808019311144,0.303375306242296,2.28506058937789
"T8193",0.135054031,0.076123425,0.06555791,0.087846946,0.114184383,0.061624702,0.252926503735211,0.665308793335014,2.87495241570669
"T1591",0.138650517,0.070530339,0.155833601,0.134096944,0.125211766,0.060119705,0.31458669880261,0.482890626614302,2.57764092240774
"T1592",0.139233116,0.070626559,0.132415643,0.133261314,0.126459843,0.06509717,0.242233779583474,0.699135172983401,2.9300838295727
"T8189",0.130497827,0.094030617,0.043561818,0.117619457,0.102748383,0.065180572,0.330991571134407,0.437176787957647,2.503134913057
"T8191",0.130458677,0.123774449,0.1520259,0.12984458,0.10058515,0.059399505,0.162036840014711,0.986121121698031,3.39782354268361
"T2300",0.19813358,0.063142522,0.244004848,0.170178562,0.188758343,0.066398386,0.488533930410283,0.028745132342489,1.83745874919433
"T0880",0.21045249,0.080724801,0.203572854,0.110208117,0.115317578,0.073443133,0.439866381075653,0.151307995817993,2.03721598071331
"T0150",0.161760548,0.088385579,0.064774845,0.067032634,0.084736891,0.081285511,0.371724134739046,0.327290377762665,2.3240382074183
"T0326",0.106359296,0.08455984,0.031808565,0.070560583,0.087907162,0.050196436,0.362388559225059,0.352081531532756,2.36444369487874
"T0327",0.11238047,0.07975225,0.052199134,0.072461785,0.08832314,0.057460273,0.201539797952872,0.836133870163705,3.1533690865781
"T0328",0.149458857,0.079224563,0.039290797,0.070872292,0.091938714,0.053575918,0.487129916470344,0.0322661131175307,1.84319736652024
