"","folE","metA","metC","metF","metJ","yeiB","pval","z","inv_cof_var"
"T0174",0.061841997,0.090775089,0.076466312,0.037686881,0.328424201,0.033706703,0.316443166347484,0.477668268249649,2.44787982105947
"T8405",0.192418703,0.159241717,0.198805668,0.184067035,0.186097856,0.193653977,4.5533762195487e-20,9.09911899474386,11.8427139321515
"T1010",0.280727943,0.185789946,0.22567167,0.191765743,0.52908112,0.085039974,0.236559558503926,0.717413297548034,2.70913107107191
"T1011",0.251818702,0.18827026,0.248130722,0.201119377,0.523160144,0.094550542,0.142737196850267,1.06810224412639,3.09127841288442
"T1012",0.252782007,0.292386899,0.33045628,0.252478104,0.540209665,0.059201713,0.377768752493891,0.311346126093082,2.26663782546811
"T8400",0.488160308,0.525413896,0.531234612,0.498678295,0.058510552,0.096045176,0.367628382384102,0.338141225658707,2.29583656746586
"T8401",0.471600933,0.507014292,0.388877532,0.396495619,0.065698439,0.083670696,0.398729364331257,0.256637363752122,2.20702143805004
"T0849",0.051169637,0.137549863,0.059287804,0.111809977,0.230125473,0.170355286,0.442994974524089,0.14338016259768,2.08360455027931
"T0850",0.105900919,0.137549863,0.030240569,0.111809977,0.230125473,0.065883541,0.423907600350683,0.19190681291496,2.13648426207733
"T0855",0.056519208,0.137549863,0.07966738,0.111809977,0.230125473,0.043662162,0.397038743095814,0.261019478433451,2.21179664837054
"T0856",0.136648268,0.137549863,0.024313544,0.111809977,0.230125473,0.092126291,0.416554588716896,0.210715630033772,2.15698031573035
"T0848",0.084304725,0.137549863,0.045804972,0.111809977,0.230125473,0.118816862,0.21303624589836,0.795930397790237,2.79469151270299
"T0851",0.049315993,0.137549863,0.032781874,0.111809977,0.230125473,0.123733086,0.494960703336082,0.012631979434967,1.94112765977577
"T0854",0.061323262,0.137549863,0.052782406,0.111809977,0.230125473,0.135672308,0.310072194760875,0.495645720294121,2.46746993240568
"T0857",0.061805491,0.137549863,0.036394034,0.111809977,0.230125473,0.136046585,0.428631601175583,0.17985907786391,2.12335579033751
"T4826",0.358542811,0.370308436,0.227017257,0.196275052,0.373908454,0.078152372,0.464707239389161,0.0885815407193196,2.0238902425142
"T4829",0.399071852,0.362418353,0.208191861,0.362731219,0.382424841,0.088812046,0.416396056666717,0.211121949084361,2.15742308344979
"T4830",0.400908568,0.393948911,0.248345734,0.346522736,0.395816326,0.071753908,0.427836189843366,0.181885760355499,2.12556427547631
"T5085",0.496172088,0.367682244,0.198290437,0.487684776,0.401701498,0.279247131,0.206876405570324,0.817307343608847,2.81798606789316
"T5087",0.496172088,0.367682244,0.198290437,0.487684776,0.401701498,0.279247131,0.206876405570324,0.817307343608847,2.81798606789316
"T5088",0.421242976,0.42555085,0.175656252,0.466897491,0.457422628,0.224660655,0.272815885123703,0.604318708718925,2.58589138269249
"T5536",0.165684798,0.172089621,0.067177481,0.099427371,0.257407134,0.210576311,0.314272507482287,0.483775766901027,2.454535190148
"T5538",0.190796275,0.147173608,0.085962141,0.095625024,0.09191432,0.110024912,0.18067756779622,0.912785937713803,2.92202952661407
"T5540",0.170234227,0.153520294,0.068527644,0.098131532,0.092825254,0.067030817,0.35848231536099,0.362518460717733,2.32240055150196
"T5542",0.140095321,0.142959303,0.059634401,0.09670678,0.078179865,0.082016771,0.196516471199509,0.854130037564966,2.85811192515499
"T5544",0.073831515,0.161630735,0.047583049,0.098566225,0.044307954,0.116966223,0.366279391754382,0.341723767960279,2.2997404801236
"T5548",0.10905654,0.151052421,0.081906551,0.069864342,0.076727154,0.107339077,0.099979012502678,1.28167116272572,3.32400543588532
"T5550",0.116119854,0.13836209,0.061422897,0.081215324,0.119939586,0.055248122,0.290613105212389,0.551594492809094,2.52843756455628
"T5554",0.188709567,0.102192934,0.051642884,0.095394699,0.051645315,0.129541265,0.384276170014538,0.29426902468305,2.24802883030764
"T5556",0.075706229,0.183259874,0.076140352,0.098845591,0.23056614,0.193621648,0.418223443912065,0.206440435787777,2.15232161709505
"T5558",0.123459434,0.135616006,0.103521176,0.096533415,0.166257626,0.177013521,0.0291965035749399,1.89273584396276,3.9898854012753
"T5564",0.067891556,0.18516226,0.068567351,0.087347529,0.216177292,0.184178271,0.491194010728131,0.0220751344752922,1.95141790881896
"T5566",0.099390373,0.193782621,0.094643885,0.114521429,0.222139331,0.184059524,0.193526472005413,0.864974210267893,2.86992886952411
"T5568",0.119928271,0.161597854,0.134379144,0.095065379,0.195598222,0.171114609,0.0112994557021179,2.28014801343591,4.41205020628121
"T5570",0.156059257,0.160762866,0.120285935,0.100558206,0.194041418,0.1689887,0.00416896130103867,2.63807058030194,4.80208005705668
"T5572",0.089417128,0.170909735,0.082211618,0.111605048,0.194926876,0.171263419,0.190015897777589,0.877837712136507,2.8839462860793
"T5574",0.106185521,0.15306665,0.122035553,0.089523523,0.171187094,0.167355368,0.0314725772862602,1.85957870425844,3.95375391517133
