"","fpr","marA","pqiA","pqiB","pqiC","soxS","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","pval","z","inv_cof_var"
"T8405",0.191116874,0.165457247,0.112616804,0.076590926,0.17719738,0.19178354,0.196262673,0.191761072,0.182703521,0.190383557,0.191307085,0.17622996,0.194701753,0.186003784,0.175303254,0.186576337,0.00226188008007579,2.83912380393426,4.9843941308032
"T1010",0.152884696,0.034040472,0.208192741,0.066248685,0.090388007,0.070855499,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.031526826,0.118045882,0.073032129,0.394199474820332,0.268390242249007,2.4987587936354
"T1011",0.155964636,0.048992693,0.224188472,0.063685232,0.090388007,0.106722343,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.054181602,0.118045882,0.073032129,0.378393934042859,0.309701623472237,2.53870265655691
"T8401",0.106267357,0.069572435,0.03389864,0.069859812,0.061898244,0.044013478,0.075262796,0.081254365,0.05896862,0.074413045,0.05205898,0.067902976,0.064087627,0.052787691,0.063330989,0.055410059,0.0402006595785327,1.74836225673524,3.92973973699494
"T0849",0.140654263,0.061819359,0.037540727,0.03682413,0.037097797,0.163954404,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.090109176,0.118045882,0.073032129,0.447665101183125,0.131562684487061,2.36646059761057
"T0850",0.140654263,0.079332853,0.042158535,0.04049015,0.039569242,0.163954404,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.090109176,0.118045882,0.073032129,0.411363837416739,0.224038077250097,2.45587480509444
"T0852",0.140654263,0.055448154,0.042109681,0.034410443,0.034923336,0.163954404,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.090109176,0.118045882,0.073032129,0.448512008462381,0.129421650756761,2.36439043787973
"T0853",0.049018377,0.067058935,0.03603457,0.029988857,0.029354258,0.070916379,0.060252891,0.030704322,0.058842118,0.10824685,0.071856638,0.078255069,0.061412159,0.069542469,0.079958259,0.045308658,0.385892368481359,0.290041175983908,2.51969302298388
"T0855",0.140654263,0.08954925,0.032349651,0.032484165,0.0326233,0.163954404,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.090109176,0.118045882,0.073032129,0.493190615316242,0.0170694250511991,2.25575737431163
"T0856",0.140654263,0.053536219,0.035150501,0.035805548,0.025411955,0.163954404,0.113457216,0.150894939,0.086900402,0.136857342,0.109388715,0.160455525,0.093768921,0.090109176,0.118045882,0.073032129,0.497900707410889,0.00526217044578882,2.2443409717254
