"","fpr","pqiA","pqiB","pqiC","waaB","waaG","waaJ","waaO","waaP","waaQ","waaS","waaU","waaY","waaZ","marA","soxS"
"fpr",1,0.275654137473436,0.435773823338107,0.470397954939252,0.350650216027919,0.391146487508705,0.194195794033158,0.38938474564245,0.341234941282157,0.0996877553545576,0.137962469422947,0.33091773131298,0.212496679232244,0.276826009257113,0.271510315754108,0.327119536277065
"pqiA",0.275654137473436,1,0.466128720454409,0.380123740949824,0.439631974757424,0.310355451896653,0.285129091654867,0.192550414628144,0.404444785395987,0.268158466130585,0.232694206627472,0.503686338067795,0.31805588702572,0.329102076240134,0.357096102810448,0.0416993717428107
"pqiB",0.435773823338107,0.466128720454409,1,0.614355951363781,0.427546220593274,0.387092487330157,0.277368917964271,0.415465813696639,0.428124991991152,0.193372586866652,0.271330732638115,0.332691535237983,0.316256134387722,0.29853677467194,0.350484964377186,0.065195193873392
"pqiC",0.470397954939252,0.380123740949824,0.614355951363781,1,0.645427785970758,0.384018291842928,0.382758853791587,0.613393919348291,0.636217681764896,0.251106195685612,0.478186870902696,0.206443435599609,0.508320599634614,0.305511100580619,0.241176189388781,0.0458648795070981
"waaB",0.350650216027919,0.439631974757424,0.427546220593274,0.645427785970758,1,0.456266781506399,0.531008158290234,0.624493299330324,0.737536163062582,0.440092227293145,0.581077710845918,0.333416047524902,0.634833637654062,0.377415278905827,0.269751886090217,0.0602670841076788
"waaG",0.391146487508705,0.310355451896653,0.387092487330157,0.384018291842928,0.456266781506399,1,0.267640843149829,0.557226632439506,0.465428328538042,0.512613269639477,0.185300792958944,0.347799939861351,0.38714004175942,0.232497595623846,0.30958422943371,0.183894460391221
"waaJ",0.194195794033158,0.285129091654867,0.277368917964271,0.382758853791587,0.531008158290234,0.267640843149829,1,0.473812633353763,0.549202290510485,0.431912760006013,0.816782884787265,0.378396195554623,0.817570509394427,0.655464389540432,0.170242434823608,-0.123066856059988
"waaO",0.38938474564245,0.192550414628144,0.415465813696639,0.613393919348291,0.624493299330324,0.557226632439506,0.473812633353763,1,0.541009003826496,0.295599865667636,0.395541633939781,0.247569051343344,0.586269870337405,0.296925337240929,0.21817120900977,0.00578451372169765
"waaP",0.341234941282157,0.404444785395987,0.428124991991152,0.636217681764896,0.737536163062582,0.465428328538042,0.549202290510485,0.541009003826496,1,0.425626028060928,0.602387486472081,0.341718491437617,0.657125328957472,0.38997565050799,0.261646461663066,0.0312929928756112
"waaQ",0.0996877553545576,0.268158466130585,0.193372586866652,0.251106195685612,0.440092227293145,0.512613269639477,0.431912760006013,0.295599865667636,0.425626028060928,1,0.478567728272665,0.25727616484946,0.47758165006736,0.29029226312664,0.054237508854753,0.088357813700507
"waaS",0.137962469422947,0.232694206627472,0.271330732638115,0.478186870902696,0.581077710845918,0.185300792958944,0.816782884787265,0.395541633939781,0.602387486472081,0.478567728272665,1,0.280719970371297,0.740734933067281,0.575828992086524,0.112814536035904,-0.0369344457920857
"waaU",0.33091773131298,0.503686338067795,0.332691535237983,0.206443435599609,0.333416047524902,0.347799939861351,0.378396195554623,0.247569051343344,0.341718491437617,0.25727616484946,0.280719970371297,1,0.381337139808458,0.539812256622592,0.480977813520677,0.161666326730561
"waaY",0.212496679232244,0.31805588702572,0.316256134387722,0.508320599634614,0.634833637654062,0.38714004175942,0.817570509394427,0.586269870337405,0.657125328957472,0.47758165006736,0.740734933067281,0.381337139808458,1,0.60912301531559,0.304822161108933,-0.0708747728482537
"waaZ",0.276826009257113,0.329102076240134,0.29853677467194,0.305511100580619,0.377415278905827,0.232497595623846,0.655464389540432,0.296925337240929,0.38997565050799,0.29029226312664,0.575828992086524,0.539812256622592,0.60912301531559,1,0.426489027775131,0.0553817583765757
"marA",0.271510315754108,0.357096102810448,0.350484964377186,0.241176189388781,0.269751886090217,0.30958422943371,0.170242434823608,0.21817120900977,0.261646461663066,0.054237508854753,0.112814536035904,0.480977813520677,0.304822161108933,0.426489027775131,1,0.119169403797203
"soxS",0.327119536277065,0.0416993717428107,0.065195193873392,0.0458648795070981,0.0602670841076788,0.183894460391221,-0.123066856059988,0.00578451372169765,0.0312929928756112,0.088357813700507,-0.0369344457920857,0.161666326730561,-0.0708747728482537,0.0553817583765757,0.119169403797203,1
