"","crp","fucA","fucO","fucR","zraR","pval","z","inv_cof_var"
"T8404",0.309379273,0.04789779,0.045566434,0.046765353,0.05425477,0.212192005697409,0.798838589406391,12.5488647119507
"T1010",0.296878664,0.060364331,0.053275446,0.056501366,0.052392647,0.140200153872077,1.07942051928723,15.3910204499028
"T1012",0.226259139,0.053855095,0.048876818,0.063299077,0.046046683,0.40092353690735,0.250957363036765,6.99909972208151
"T8399",0.304812619,0.055519107,0.044304296,0.049615572,0.045051551,0.312125839933486,0.489833561175636,9.41879708993727
"T8400",0.417729001,0.046808365,0.035763614,0.036034496,0.03514758,0.40572189424794,0.238563863957581,6.87355972548884
"T8401",0.411057665,0.057039391,0.044501625,0.044949475,0.040253952,0.421358002832673,0.19842059452482,6.46692832336351
"T1995",0.083838462,0.056861945,0.094271825,0.081225516,0.067389528,0.494470723940481,0.0138602834735477,4.59742394268099
"T8222",0.547193159,0.04768629,0.041199784,0.049870007,0.029619369,0.493256734677932,0.0169036644767191,4.62825188225861
"T0717",0.292703696,0.098434663,0.088849832,0.113146284,0.064521665,0.499586019777254,0.00103769471770744,4.46753748055819
"T1008",0.174436069,0.055997905,0.051625338,0.077530039,0.048541653,0.499886150805329,0.00028537761427882,4.45991688156532
"T1009",0.223076342,0.064416126,0.059766619,0.068150254,0.056702781,0.218404543883383,0.777592832561128,12.3336557362674
"T1992",0.047276943,0.058194355,0.05630554,0.074171621,0.051616498,0.434370641893331,0.16525753190775,6.13100295302624
"T4825",0.423505044,0.06375462,0.064442127,0.064669696,0.06782689,0.000928662768988615,3.11214610335754,35.9815220723732
"T4827",0.454523201,0.076370947,0.075907765,0.084267966,0.078836237,0.0560469477798066,1.58885162178952,20.5513047621641
"T4829",0.361669363,0.091640975,0.088061166,0.083321835,0.083323953,0.0470116905997148,1.67454579954503,21.4193442653507
"T5075",0.488349124,0.054362234,0.06293737,0.05424264,0.056341812,0.175070141547207,0.934317222190273,13.9211960438371
"T5077",0.497426135,0.041629141,0.042425113,0.044033903,0.049435739,0.210002498458239,0.806412577905153,12.6255854575814
"T5079",0.512488941,0.037154443,0.033772882,0.035142897,0.041846591,0.276161439542799,0.594282951967752,10.4768175957178
"T5081",0.559613016,0.039840712,0.036893075,0.038308336,0.040571677,0.028486799521904,1.90351330664657,23.7386715092313
"T5083",0.504013076,0.04073132,0.035881541,0.041244236,0.042248718,0.16999339676111,0.954191347707598,14.1225110747082
"T5085",0.44156547,0.034693431,0.031818357,0.036656003,0.032818554,0.129012174751106,1.13107304244166,15.9142348818706
"T5087",0.44156547,0.034693431,0.031818357,0.036656003,0.032818554,0.129012174751106,1.13107304244166,15.9142348818706
"T5088",0.412452489,0.036254223,0.033357724,0.03816371,0.032802835,0.174170836790144,0.937810753931238,13.9565837870446
"T5536",0.112288697,0.095086892,0.154668896,0.127307618,0.103950579,0.497932717363536,0.00518193229936069,4.50951655108185
"T5540",0.295148106,0.111253773,0.080954735,0.083984921,0.100518891,0.416162533926605,0.211720533450992,6.60165010587276
"T5542",0.300177065,0.136444103,0.093822129,0.118456746,0.102023333,0.440463336401571,0.149794596274708,5.97437108705505
"T5546",0.303148107,0.12003313,0.094738284,0.098129028,0.092178056,0.36524773815935,0.34446651200182,7.94630100619453
"T5556",0.231276339,0.165293248,0.135913211,0.175158302,0.122633508,0.435965215478098,0.161206920097552,6.08997226511466
"T5558",0.196158974,0.137238919,0.120737356,0.163210508,0.116328357,0.426594568442061,0.185050868914906,6.33149963637288
"T5564",0.246476845,0.139509484,0.117791217,0.152793835,0.089002797,0.499226978172579,0.00193767958205525,4.47665388070328
"T5566",0.234626352,0.157285387,0.127752532,0.171204855,0.121218124,0.436888822961151,0.158861941754428,6.06621879796831
"T5568",0.219278513,0.122697603,0.108662677,0.147725444,0.099276783,0.452233774193787,0.120019692462822,5.67276608436703
"T5570",0.224920522,0.121484651,0.129319308,0.143497245,0.108248611,0.344123825179163,0.401234271976549,8.52133024920879
"T5572",0.228867612,0.146560708,0.107324478,0.14301703,0.116531163,0.415529767737458,0.213342872890234,6.61808359946269
"T5574",0.244675066,0.118685057,0.115072632,0.125304412,0.096166286,0.323195659300066,0.458781169282547,9.104251766817
"T5576",0.24450597,0.137902835,0.131441939,0.188085842,0.113780282,0.499030794026049,0.00242944148808011,4.48163518482187
"T5578",0.145163587,0.12301457,0.100715673,0.116523608,0.102651368,0.283669072597883,0.571976131305186,10.2508605700159
"T8388",0.311745698,0.046394655,0.047016378,0.046702438,0.048950896,0.000151822697118531,3.61216999754206,41.046516031796
"T8389",0.295179205,0.048159211,0.045329367,0.046915807,0.045152709,0.00270488169807373,2.78156417429547,32.632891150396
"T8394",0.287706122,0.050154839,0.044972755,0.048310844,0.04170796,0.216262504690514,0.784878158018843,12.4074524685135
"T8398",0.454399352,0.044819923,0.03553093,0.03575983,0.035340409,0.357424713221399,0.365350982140614,8.15785032679501
"T8500",0.30348376,0.047903545,0.037332869,0.036841844,0.035451995,0.40602725713523,0.237776412341681,6.86558323131674
"T8214",0.231423652,0.087526462,0.078377567,0.074123358,0.061116846,0.406304593614366,0.237061361310559,6.85834011914663
"T8215",0.516405644,0.064023555,0.060652927,0.061884748,0.054192026,0.167609342716695,0.96365547243081,14.2183779624946
"T8217",0.44380404,0.06299458,0.058257773,0.057471111,0.047108906,0.34726247902434,0.392721812968059,8.43510326294017
"T8219",0.496118223,0.054623505,0.049899856,0.059747851,0.037419321,0.467764898726585,0.0808895414125861,5.27639706879432
"T8403",0.395779122,0.056806553,0.043864331,0.044344985,0.039257369,0.434473168806169,0.164997007286541,6.12836396787363
"T8406",0.308199717,0.048371647,0.045376903,0.046962799,0.042180863,0.104332418564822,1.25724526499459,17.1922968955266
"T8407",0.309699433,0.066020842,0.046343904,0.051533071,0.057818102,0.418606124109367,0.205460638177962,6.53824047262668
"T5541",0.31003211,0.087837611,0.091745382,0.111734617,0.092400829,0.328954556148322,0.442801784742724,8.94238852965811
"T8252",0.372030307,0.066714051,0.065956861,0.087298886,0.066181473,0.408339426008511,0.231818674429936,6.80523430222402
"T8253",0.442034989,0.052125979,0.050996686,0.068149407,0.050190752,0.421299287630068,0.198570699889175,6.46844881622911
"T8254",0.348736682,0.074546523,0.07005934,0.053582447,0.058451917,0.417844104169069,0.207411876277552,6.55800554646168
"T8255",0.358063065,0.065608037,0.056671954,0.077892454,0.045379859,0.499937325768389,0.000157101001693153,4.45861750312473
