"","dgcN","gfcA","ybhL","yfiB","yfiR","yjjQ","pval","z","inv_cof_var"
"T8405",0.164111273,0.194558957,0.178679111,0.175997621,0.162744121,0.185581809,0.00130805763693124,3.00957726622059,13.5830446319626
"T1010",0.057680794,0.060323301,0.05279751,0.044405726,0.031536526,0.067674073,0.300793155080323,0.522120677870042,4.23369880528452
"T1011",0.057704315,0.059264232,0.055825818,0.048795528,0.054516438,0.060102692,0.00114488441410608,3.04982219378628,13.7343090790863
"T1012",0.052324731,0.053144933,0.038560031,0.041681265,0.033749289,0.056856013,0.22352275348448,0.760349824375053,5.12910606067169
"T8142",0.045458228,0.055566444,0.035581976,0.057639757,0.052757293,0.03782194,0.195764166729881,0.856849014338028,5.49180758607054
"T8144",0.053644599,0.05929721,0.092052775,0.05811054,0.071550898,0.048258692,0.293849419186326,0.542173718745646,4.30907009614466
"T0928",0.032447754,0.041405991,0.043246059,0.027480201,0.024112491,0.051347891,0.321501236992792,0.463504941055765,4.01338589734122
"T0929",0.023163239,0.029438968,0.0540179,0.021928401,0.030049768,0.038250288,0.481769066171503,0.0457140912690877,2.44307863804248
"T0930",0.043754825,0.049230668,0.042510475,0.042270494,0.046163074,0.057526503,0.000260673445112642,3.46954182359734,15.3118658443889
"T1008",0.05341756,0.053624811,0.10917269,0.04553081,0.045383666,0.062078756,0.499547608741546,0.00113397696266732,2.27551997285993
"T4826",0.081707549,0.079813218,0.080761381,0.0824511,0.081731701,0.079190597,3.20836791446757e-94,20.5588256189081,79.5435894776256
"T4827",0.085253476,0.081050775,0.088717771,0.077268292,0.075919864,0.083213149,0.00028982307037531,3.44096377016907,15.2044524705011
"T4828",0.073253965,0.077518236,0.085651543,0.072073951,0.06936816,0.079828091,0.00522986663467449,2.56024852686807,11.894199168791
"T4829",0.088524824,0.091270856,0.08921618,0.093725986,0.089896671,0.089778,5.64158708633091e-29,11.1094663854361,44.0272601764472
"T4830",0.080056798,0.092808123,0.093716947,0.096128709,0.088045601,0.091056138,0.000771236254299171,3.16657182157105,14.1731238308323
"T5075",0.061616878,0.055837242,0.095608633,0.056140366,0.054350452,0.072708432,0.3519651145864,0.380020457873065,3.69960140434063
"T5076",0.057630309,0.045599554,0.075247917,0.046461727,0.04124685,0.061370769,0.33400045341491,0.428893258040015,3.88329454391898
"T5077",0.060920172,0.045429026,0.082868105,0.041615775,0.043641385,0.046230747,0.407114343171529,0.234974292405074,3.15443138282357
"T5080",0.058442078,0.050697521,0.11333188,0.050674878,0.047505308,0.060441491,0.496209542285786,0.00950141143784016,2.30696978346439
"T5081",0.055633058,0.048023712,0.096604798,0.039277556,0.036622062,0.048485851,0.499962296123015,9.45096042539834e-05,2.27161303440124
"T5082",0.063506032,0.059652524,0.114344777,0.062113411,0.054406702,0.067792409,0.435676886843943,0.161939148432322,2.87992174044414
"T5083",0.061290537,0.051018071,0.043517003,0.038607653,0.036115344,0.052832348,0.27538819985996,0.596597112227683,4.51362567677585
"T5084",0.058777346,0.044524364,0.049768529,0.046887779,0.042890028,0.062443176,0.0724513778147341,1.45777433161169,7.75044342860526
"T5085",0.045670072,0.054965903,0.050659359,0.032713517,0.03095701,0.058237157,0.321833097637222,0.462578956441237,4.00990549473563
"T5086",0.058169811,0.039979495,0.039926119,0.047399487,0.040980407,0.062247742,0.175504057385327,0.932635660403565,5.77665901480667
"T5087",0.045670072,0.054965903,0.050659359,0.032713517,0.03095701,0.058237157,0.321833097637222,0.462578956441237,4.00990549473563
"T5538",0.079836175,0.196080296,0.101974824,0.1240659,0.078619276,0.207673659,0.486564059184852,0.033685278495673,2.39786718348697
"T5542",0.069200847,0.183449352,0.097864203,0.139235852,0.10752217,0.197586478,0.450716139138793,0.123852227844182,2.7367683709665
"T5554",0.074562333,0.2253366,0.116164023,0.133642495,0.129663617,0.193694071,0.479888035947629,0.0504345909039014,2.46082109182731
"T5556",0.106509798,0.147881879,0.249099062,0.208517638,0.116719457,0.233092243,0.453977570191764,0.115618197154022,2.70581997137218
"T5558",0.095907181,0.160583326,0.229060405,0.188615317,0.157840173,0.210281847,0.380432582456827,0.304344868912692,3.4151673944602
"T5564",0.078900788,0.16525392,0.261570262,0.211569203,0.118701619,0.236749786,0.496303406341244,0.00926611878278949,2.30608541329575
"T5566",0.107447549,0.114618664,0.243331647,0.212059841,0.124237528,0.225401449,0.469922391022992,0.0754649522502171,2.55490012238784
"T5568",0.095690954,0.13740669,0.237902196,0.187803354,0.119692188,0.211548467,0.451531172708099,0.12179377331112,2.72903147079778
"T5570",0.090772885,0.17697745,0.226775258,0.181892238,0.11556876,0.206823335,0.434168592473112,0.165770979698231,2.89432404833656
