"","crp","fis","hupA","trg","pval","z","inv_cof_var"
"T8404",0.309379273,0.047841348,0.308021751,0.26712638,0.488347400642331,0.0292128895032013,9.94467426684718
"T8405",0.193747091,0.176609489,0.194533908,0.226972091,0.49131437592811,0.0217733511398517,9.18823813910015
"T8401",0.411057665,0.065169097,0.406934949,0.484175123,0.495356808625819,0.0116390175609793,8.15780107764688
"T4826",0.375251679,0.350771001,0.371356899,0.375626612,0.125469362282002,1.14807228452796,123.707871246296
"T4828",0.374090711,0.252335731,0.391411105,0.398438934,0.237921979809822,0.71300290485354,79.4709601923091
"T4830",0.400478445,0.152868102,0.39334334,0.403247432,0.311801069217722,0.49075161076971,56.872930573729
"T5075",0.488349124,0.079890037,0.478654093,0.455778104,0.41469733391955,0.215477993363912,28.8837061015261
"T8388",0.311745698,0.046785194,0.305833398,0.336459741,0.469210762104684,0.0772539496714567,14.8293850851371
"T8389",0.295179205,0.046977067,0.290178506,0.317686107,0.466096678318391,0.0850855769660028,15.6256879651423
"T8394",0.287706122,0.048012608,0.28106894,0.299750495,0.441320280744764,0.147622671976251,21.9843241707363
"T8407",0.309699433,0.066493818,0.309560308,0.309677127,1.0932783436018e-296,36.7954061780476,3748.25147838195
"T8252",0.372030307,0.075932367,0.073311777,0.089214266,0.499009780117241,0.00248211570490026,7.22674715415407
"T8253",0.442034989,0.081531666,0.058256651,0.064721948,0.474608984266589,0.0636888683359381,13.4501170315488
"T8254",0.348736682,0.087450801,0.047294083,0.051517561,0.462510667034632,0.0941105573286045,16.5433283972572
"T2299",0.121188412,0.260925179,0.129566104,0.107203244,0.497990332252085,0.00503751130520811,7.48657423728081
"T2300",0.254998092,0.274882387,0.161051735,0.179336637,0.475731883283542,0.0608687130867597,13.1633697614704
"T2382",0.21875591,0.65585424,0.668484033,0.607997416,0.468846703278848,0.0781692695324611,14.9224528236838
"T1958",0.197651604,0.15667536,0.110134526,0.099417922,0.473134345942166,0.0673931882081168,13.8267642431354
"T0844",0.7371836,0.202593218,0.440031587,0.453274635,0.344389237836841,0.400513318748035,47.6976967275461
"T0707",0.112615211,0.248826382,0.127253098,0.107203244,0.494921828145335,0.0127294329222722,8.26867214695889
"T0709",0.166854685,0.234798595,0.113255236,0.107203244,0.426717468545455,0.184737493047604,25.7580786917893
"T5142",0.100581021,0.162752363,0.133511872,0.158494635,0.494936667620724,0.0126922328686834,8.26488972618029
"T5144",0.115796218,0.202795312,0.169451091,0.157137036,0.453886345254952,0.115848400705343,18.7535851721235
"T5148",0.112266788,0.181587015,0.140327692,0.159527132,0.484038586289806,0.0400200110266337,11.0435189475265
"T5150",0.110221791,0.189781083,0.148846937,0.172052499,0.489000053902343,0.0275762705748702,9.77826640331049
"T5152",0.100581021,0.162752363,0.133511872,0.158494635,0.494936667620724,0.0126922328686834,8.26488972618029
"T5720",0.18972096,0.104901316,0.18118442,0.214451722,0.494369843194426,0.0141131787402169,8.40936842100041
"T5726",0.09772843,0.074968193,0.090657735,0.100278021,0.472322782517806,0.0694322424986706,14.0340908616002
"T5728",0.190984055,0.062830293,0.113673197,0.097167228,0.49192611874509,0.0202396007845354,9.03228972899159
"T5744",0.171889956,0.130914446,0.127070358,0.112057459,0.483178519918156,0.042177699653162,11.2629080480083
"T5750",0.094394669,0.093639814,0.113758128,0.098961083,0.487482472119298,0.0313819395124136,10.1652185680825
"T2421",0.539674725,0.342805507,0.069878772,0.073013987,0.401925970410198,0.24836509104892,32.2275948767007
"T2819",0.050457923,0.406094705,0.460560344,0.470546273,0.281008911002822,0.579846966537151,65.9319531400999
"T2405",0.081291453,0.331242413,0.098048342,0.081822615,0.496608919941465,0.00850027951941648,7.83866100010273
"T2406",0.070586614,0.321728677,0.091483008,0.084964052,0.452384215078408,0.119639875924773,19.1390941504176
"T2685",0.285836512,0.321094353,0.082805585,0.070621043,0.492430071583971,0.0189761354075538,8.9038233093526
"T2686",0.245150951,0.289234413,0.100002384,0.084375269,0.494630806401672,0.013458978810287,8.34285079079281
"T2687",0.142174974,0.287917751,0.158206581,0.189878973,0.496873456452937,0.00783716268407877,7.77123671829006
"T0071",0.096874085,0.292681606,0.124601292,0.107203244,0.490400553302992,0.0240645669551446,9.42120399457463
"T1096",0.265010492,0.281554762,0.131343741,0.107203244,0.499949061284732,0.000127684424311797,6.98735368725447
"T1094",0.21575702,0.099105146,0.128152834,0.107203244,0.496195941228313,0.00953550577752549,7.94392056108354
"T0100",0.25913509,0.459311091,0.073593892,0.06954038,0.429764144172042,0.176974666913071,24.9687713645352
"T4023",0.293147665,0.116742129,0.097690361,0.105477906,0.455079010707282,0.112839223049259,18.4476185136162
"T4027",0.237640763,0.095949972,0.096254877,0.095178587,0.121334156921864,1.16834330547932,125.768984697832
"T4030",0.165388029,0.112867693,0.125138268,0.112508119,0.47517809219924,0.0622594947203712,13.3047814219914
"T4033",0.281038125,0.054179829,0.148515423,0.134657023,0.470700940667321,0.0735079960858215,14.4485046478512
"T4087",0.110714126,0.083926977,0.114030881,0.131307068,0.487967369299321,0.0301659067797867,10.0415749968613
"T4089",0.096795825,0.043464842,0.153049084,0.142947229,0.446235224201743,0.135178875857782,20.7190659664503
"T4092",0.129589603,0.071682757,0.123480913,0.104022462,0.494927145472055,0.0127161032819893,8.26731681804097
"T4093",0.258655155,0.098249407,0.113845671,0.138159139,0.498608437787072,0.00348813626223551,7.32903714281433
"T4094",0.26846313,0.053949359,0.139091798,0.130222128,0.443316319541779,0.142566395172393,21.4702129101277
"T4095",0.120044037,0.080383013,0.147378587,0.140440456,0.412974331807238,0.219900478538329,29.3333748036643
"T4099",0.078523888,0.113616863,0.139442718,0.144148262,0.362970498724628,0.350529976463869,42.6154988756536
"T4101",0.05372306,0.090363072,0.138006604,0.114316568,0.49781440886301,0.00547849194576661,7.53141219252261
