"","ibaG","mlrA","murA","obgE","rplU","rpmA","yhbE","pval","z","inv_cof_var"
"T0174",0.239262256,0.045250968,0.294966106,0.209293052,0.045919497,0.205166851,0.173387212,0.438968502472217,0.153584949174834,2.32831660219205
"T8405",0.162758793,0.196272723,0.171883017,0.141096561,0.195770629,0.195792327,0.195207218,0.0111523582262527,2.28513835474656,7.83376818942916
"T1010",0.219764691,0.040203942,0.275306081,0.177681611,0.175048562,0.231400205,0.031483819,0.457839102287886,0.105879190812111,2.20510048083573
"T1011",0.219764691,0.046823695,0.263060926,0.167183401,0.177729459,0.359475489,0.062782329,0.475889092422746,0.0604739222648677,2.08782614600606
"T1995",0.221417959,0.058939191,0.207253567,0.165267554,0.054685239,0.175511908,0.217160084,0.371741393981988,0.327244735304531,2.7768512449028
"T1996",0.166433804,0.070512857,0.25711195,0.168435675,0.146562702,0.111154075,0.263004831,0.336499350393162,0.422036054917363,3.02168162055965
"T1997",0.217621928,0.042760579,0.24561377,0.218951335,0.041353304,0.078502364,0.209304086,0.495029767446975,0.0124588477577858,1.96381111196312
"T8144",0.266981584,0.050209974,0.24412275,0.142724255,0.32047641,0.297234834,0.141943804,0.329811419682086,0.440433951527526,3.06920035916103
"T0928",0.268379613,0.132873354,0.285514322,0.071101602,0.358649157,0.354261554,0.159352511,0.459053126906697,0.102819468139977,2.19719772081209
"T0929",0.369282904,0.132873354,0.25478416,0.077460772,0.369169527,0.376782493,0.155191084,0.475273265380411,0.0620204698955685,2.09182062397031
"T1007",0.219764691,0.033554405,0.22614274,0.063301512,0.255260334,0.243159652,0.058957878,0.497349416826877,0.00664407560807853,1.94879251262737
"T5540",0.087120903,0.283861547,0.080672618,0.077469754,0.094398302,0.124886296,0.075368085,0.127133774356297,1.14004501246483,4.87618057172241
"T5556",0.128522549,0.265753156,0.078563702,0.145346803,0.240891377,0.137970376,0.091631614,0.428936204900175,0.179083153406803,2.39417426665105
"T5558",0.095749589,0.250016635,0.114293053,0.13628861,0.241544081,0.119491517,0.100932567,0.415541849739682,0.213311890786313,2.4825814611612
"T5564",0.115121296,0.283230662,0.155580685,0.129150858,0.260222733,0.144131376,0.068138655,0.447276642010187,0.132544934382827,2.27397370722664
"T5566",0.124688252,0.259262689,0.122729827,0.146488017,0.246769221,0.107596992,0.108015931,0.383526893996281,0.296230853474741,2.69674749310381
"T5568",0.100570513,0.263214586,0.145540475,0.119290846,0.255994413,0.129376064,0.123109298,0.397727861803289,0.25923267235655,2.60118728127445
"T5570",0.115674998,0.25703423,0.177778432,0.130077684,0.245239981,0.140577692,0.150554405,0.281547870967202,0.578249413640777,3.42515501300828
"T5572",0.119241603,0.266017493,0.143988747,0.134800133,0.263641733,0.099406287,0.087139994,0.454844615105517,0.113430537884614,2.22460436735221
"T5576",0.1208508,0.261538899,0.137233283,0.137412997,0.229816586,0.078215254,0.081018626,0.432754821588802,0.169364883719555,2.36907357570191
"T5578",0.105166038,0.257830171,0.229431071,0.110215404,0.283667208,0.116100109,0.120767374,0.47241262615629,0.0692064961694007,2.1103809469966
"T0931",0.319176714,0.132873354,0.181136318,0.127710672,0.411908005,0.171510346,0.145081829,0.490737272902937,0.0232203001355558,1.99160617209124
"T0932",0.322967316,0.132873354,0.180537754,0.127598531,0.372799988,0.239370201,0.142796201,0.440518869856949,0.149653825501938,2.31816315681836
"T0933",0.178270822,0.132873354,0.178627843,0.124600206,0.339891899,0.110566967,0.143979177,0.466179626341363,0.0848769049697938,2.15085503353708
"T8138",0.145658088,0.05406205,0.274038049,0.161742416,0.43296144,0.287851788,0.155094886,0.463825802700691,0.0907998800043652,2.16615310311395
"T8139",0.159959565,0.05683776,0.268761932,0.148882505,0.269442586,0.339507535,0.147458597,0.377603858675684,0.311780009588204,2.73690840391247
"T8252",0.207072339,0.0703005,0.187659451,0.123087363,0.184449716,0.093231431,0.134784262,0.273578540315583,0.602025624474588,3.48656505196453
"T8255",0.272885582,0.044295357,0.276851578,0.173383052,0.245397081,0.057159831,0.203031163,0.416863506966333,0.209923969687404,2.47383101862353
"T8256",0.146120667,0.058752271,0.198973338,0.152553921,0.324516506,0.325069198,0.14099613,0.420885626976406,0.199628349999291,2.4472391276555
"T8304",0.137181077,0.048269429,0.120683423,0.118647455,0.234301395,0.094589397,0.119991631,0.369833119365928,0.332295365946334,2.78989619250335
"T8305",0.150751308,0.04008282,0.169474191,0.140610698,0.252885778,0.113372119,0.130758599,0.307472047907093,0.503028697612074,3.23087228503588
"T8306",0.103996724,0.055504488,0.230195738,0.122145163,0.171200159,0.206461734,0.152567486,0.285312727142703,0.567130600212248,3.39643694810863
"T1635",0.35604186,0.050095109,0.311882161,0.208254517,0.296751657,0.129563004,0.177196388,0.368103047693778,0.33688168103254,2.80174188945137
"T1638",0.285125103,0.042362075,0.226596367,0.189638728,0.317161509,0.283365014,0.143707537,0.253630140925034,0.663109726278546,3.64433523231869
"T1717",0.221281713,0.132873354,0.023542917,0.219653749,0.188993076,0.196823929,0.218013064,0.440788004564103,0.148971642657139,2.31640119081936
