"","htrE","ibpA","ibpB","ihfA","yadV","pval","z","inv_cof_var"
"T1996",0.051727631,0.057239118,0.040544327,0.083489289,0.045358906,0.429270507517146,0.178231700304397,6.67593138450277
"T1997",0.042199521,0.059900766,0.04284738,0.194027569,0.043500364,0.48001648546076,0.0501122085814263,5.51510268617505
"T5548",0.062253817,0.07704901,0.063249746,0.203020134,0.07310916,0.314827025597211,0.482213832903037,9.43016634558401
"T5556",0.115753668,0.086972316,0.0972457,0.149561574,0.085660849,0.41800115050068,0.207009677048602,6.93667470181715
"T5566",0.102538451,0.101864596,0.104501469,0.180465663,0.102330733,1.83525482963744e-20,9.19730163959502,88.3933584282467
"T5568",0.117836758,0.105334429,0.098044983,0.147770204,0.095605427,0.276441981625033,0.593444129365881,10.437970220866
"T5572",0.120902725,0.102603951,0.101946268,0.175476255,0.090087256,0.365866886025279,0.342820142034009,8.16718758606416
"T5576",0.109367915,0.098090327,0.08902992,0.16825524,0.11066678,0.293996591013831,0.541746455764135,9.96956262459291
"T5578",0.104766127,0.100140284,0.100107461,0.112399662,0.101184285,2.92875513054258e-06,4.53146839104119,46.1185018572862
"T8397",0.040277291,0.051210016,0.051619741,0.298196884,0.047543887,0.328979582377926,0.44273259280257,9.07244593990765
"T5541",0.091548538,0.108975638,0.111060463,0.212882637,0.110484672,0.246218643724485,0.686437462668701,11.2805378005477
"T0881",0.062822957,0.078905295,0.084675607,0.713667096,0.067918753,0.399533172927201,0.25455561272092,7.36746541035831
"T5129",0.072043629,0.103664667,0.080398245,0.06680887,0.067926127,0.499505425508949,0.00123971472073148,5.07229267600882
"T5131",0.071494704,0.077606097,0.065982518,0.179053374,0.068057461,0.163996277551565,0.978165341358205,13.9237428986235
"T5133",0.062100343,0.072851846,0.087735853,0.111075965,0.095152057,0.486919677621813,0.032793382666224,5.35818518772618
"T5137",0.090284639,0.1204016,0.086065566,0.092142099,0.110015711,0.447703493917993,0.131465612312957,6.25220649831318
"T0063",0.051185224,0.055360041,0.069223987,0.277713591,0.048735488,0.452871265004826,0.118410344131712,6.13391903271877
"T0055",0.074931525,0.090458187,0.076179732,0.265142807,0.065732371,0.392944638564156,0.271652435667658,7.52237144737034
"T0047",0.061664909,0.038959584,0.047661402,0.297959773,0.04608242,0.497667862242396,0.00584583573910722,5.11402650896582
"T2872",0.059559359,0.061083934,0.067173109,0.7006454,0.04925571,0.374304005636401,0.320475353137259,7.96473226985429
"T0050",0.0462341,0.053413605,0.046918804,0.361560483,0.039183431,0.37361654151687,0.322289901157719,7.98117301113664
"T1865",0.115099721,0.110009081,0.075038755,0.316087177,0.097150412,0.478063014749781,0.0550156076729,5.55953001185508
"T1079",0.084033501,0.070447912,0.091859684,0.300154059,0.072112098,0.379759690066991,0.306111988712961,7.83459277738489
"T2327",0.071774404,0.053271027,0.054298894,0.188851907,0.057513572,0.419035495972236,0.204361527987044,6.91268110500557
"T2328",0.066563327,0.055933847,0.06020893,0.254279168,0.056665588,0.211217686040387,0.802203292588795,12.3294359490632
"T2335",0.099082132,0.086818436,0.065654352,0.283578767,0.079400686,0.462406966889481,0.0943716519155803,5.91611607846502
"T4085",0.061492664,0.081066205,0.059748646,0.445663194,0.087065505,0.491591358477667,0.0210788994498605,5.25204592569229
"T5530",0.084250129,0.084068532,0.060274242,0.230341143,0.08069841,0.426755729250527,0.184639937992469,6.73399332429023
"T5714",0.080487931,0.081264042,0.083844235,0.366348196,0.079643212,5.74950733533862e-06,4.38687629144364,44.8084228325643
"T5716",0.123496067,0.125092084,0.13832333,0.116742888,0.104768394,0.335749147315124,0.424092582762044,8.90355783161773
"T5718",0.095384777,0.099558952,0.10487058,0.085843267,0.08587566,0.221707957646584,0.766437687674843,12.0053811152605
"T5719",0.107857153,0.11246061,0.107851744,0.137884724,0.13771115,0.36741647607533,0.338703701207312,8.12989050829453
"T5720",0.101204197,0.103520803,0.103637318,0.131339972,0.125678313,0.314616539502578,0.482806579027121,9.43553693129588
"T5721",0.110808378,0.111038169,0.113181139,0.24249216,0.113425998,2.21481000269539e-17,8.40092851654778,81.1778070443166
"T5722",0.084197383,0.093017261,0.097927219,0.272952341,0.078430279,0.28852758425162,0.557691345433103,10.1140315517678
"T5723",0.090012236,0.090750596,0.092005215,0.096236259,0.092730645,7.22615196979049e-15,7.69229135832679,74.7571887691283
"T5724",0.102337567,0.135996018,0.111045261,0.103730718,0.111995894,0.37329228736211,0.323146131692481,7.98893090155417
"T5726",0.069801753,0.066939271,0.083858862,0.18617954,0.100785616,0.494648838695666,0.013413774471976,5.18259593856749
"T5728",0.061667939,0.063628133,0.062960508,0.302959854,0.088671703,0.488090400839343,0.0298573735252294,5.33158343007334
"T5730",0.075713306,0.07819923,0.082738084,0.197276698,0.108213164,0.468957679383008,0.0778902455440035,5.76678603314844
