"","crp","gntR","idnK","idnR","pval","z","inv_cof_var"
"T8405",0.193747091,0.163088391,0.192417309,0.190787163,0.476718482140382,0.0583912752215764,166.22221612801
"T1996",0.173723924,0.046284571,0.050098837,0.050589803,0.487895388519527,0.0303464184423669,145.015378116714
"T0849",0.773898619,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0850",0.952089544,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0852",0.65644738,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0855",0.860318597,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0856",0.75057326,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0858",0.880116602,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0859",0.769925539,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0848",1.006415467,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0851",0.808919773,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0854",0.74763477,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T0857",0.828080827,0.121167467,0.079218706,0.078882248,0.390514756996664,0.277977652064671,332.268088990195
"T4825",0.423505044,0.2790329,0.063872063,0.064435137,0.479402102533574,0.051654233288554,161.127829015474
"T4827",0.454523201,0.085417477,0.076236444,0.076820905,0.466744479523977,0.0834560039698847,185.175553866446
"T8394",0.287706122,0.043261478,0.048914637,0.048528275,0.4703412524725,0.0744120700184843,178.336751165397
"T8395",0.403613506,0.046921022,0.063398568,0.063818229,0.451432727077403,0.12204238071667,214.353632669064
"T8498",0.425972331,0.042403903,0.053924344,0.054124457,0.365621121502718,0.343473540582953,381.794485546542
"T8139",0.213313077,0.109747348,0.053054965,0.053024308,0.00105521911769684,3.07423400641322,2446.72907595756
"T5541",0.31003211,0.091812758,0.106470852,0.10719355,0.454208656853225,0.115035083880201,209.054885377253
"T8252",0.372030307,0.116745396,0.067155917,0.067661985,0.465062592587978,0.0876873361023817,188.375184223353
"T1588",1.196205867,0.158256246,0.028657925,0.028392581,0.4841958043213,0.0396256112543318,152.032077841307
"T1591",0.315384987,0.213930687,0.049820392,0.04979706,6.37911419506262e-05,3.83107947406635,3019.03719499926
"T1593",1.243856871,0.202296636,0.037251441,0.037076177,0.407049397595229,0.235141646900603,299.876544625496
"T2300",0.254998092,0.300942792,0.051796816,0.052262451,0.481038159433587,0.0475481960340604,158.022943595309
"T0878",0.947819748,0.08334823,0.079944915,0.07918855,0.485915646600729,0.0353115754654036,148.76990899263
"T0150",0.375749885,0.147404327,0.070327227,0.07076719,0.444939407827671,0.138457551213044,226.766385010252
"T1082",0.379690481,0.154055026,0.077658903,0.078500127,0.495149412976849,0.0121589181684525,131.262433140892
"T0792",0.556533959,0.061544102,0.046407581,0.046015468,0.476483331017099,0.0589817275996862,166.668701843182
"T0785",0.742847543,0.0780894,0.047713566,0.04751237,0.389294512538492,0.281158250148028,334.673179836756
"T0778",1.004220516,0.042949144,0.039684115,0.039311935,0.485222276070958,0.0370507358329839,150.085019726884
"T0795",0.997126878,0.063403764,0.034810871,0.035018877,0.43939730832551,0.152497430816209,237.383000198785
"T0780",1.094592479,0.067703806,0.035896172,0.036120752,0.444947643267862,0.138436709234481,226.750624813411
