"","adeD","adiY","chiA","gspA","gspB","hchA","hns","mdtI","mdtJ","rcsB","yjjP","pval","z","inv_cof_var"
"T0174",0.034552126,0.040688962,0.033470591,0.03900189,0.04604899,0.145216341,0.923167441,0.033865941,0.038780216,0.117485542,0.050537685,0.480087004928423,0.0499352211839601,1.46405769853898
"T8404",0.302737352,0.047468098,0.148809515,0.264490417,0.270139951,0.302507658,0.31163876,0.048214656,0.122859347,0.297956937,0.047681392,0.415105229643266,0.214431654109074,1.63453488011076
"T8405",0.135204903,0.192911085,0.154341355,0.113370546,0.141596187,0.191746429,0.194132719,0.166053329,0.040285261,0.187362544,0.188397975,0.0444562228082544,1.70116266923575,3.17532034704862
"T8399",0.284272315,0.052476255,0.305898214,0.297952507,0.307108359,0.292143019,0.311955698,0.058280668,0.296718216,0.283329261,0.053521495,0.313488036836574,0.485987436373077,1.9159638666041
"T1995",0.053546655,0.054676925,0.056869738,0.054084971,0.067469313,0.152221873,0.200264293,0.059136751,0.055985619,0.224671898,0.068426933,0.476748450797258,0.0583160269320778,1.4727432129774
"T0849",0.069693829,0.069559258,0.036797829,0.041239255,0.04338135,0.086558841,1.067904713,0.037163156,0.043133163,0.201912754,0.085059174,0.491354971696247,0.0216715686285826,1.43476643827951
"T0852",0.069693829,0.069559258,0.035791795,0.036118209,0.036959375,0.089301129,1.023290374,0.035058931,0.036003511,0.188182926,0.085059174,0.491367314601375,0.0216406222977422,1.43473436680436
"T0855",0.069693829,0.069559258,0.032430497,0.046478061,0.049782241,0.116986508,1.211426035,0.033355859,0.062910627,0.205484386,0.085059174,0.468914732473207,0.0779982249887599,1.49314101487605
"T0858",0.069693829,0.069559258,0.04004233,0.046245189,0.046275003,0.105900035,1.290486637,0.041282211,0.047898047,0.21090599,0.085059174,0.478674340283303,0.0534809852130792,1.46773237918375
"T8142",0.038822252,0.039361611,0.043031301,0.038657104,0.041519096,0.03761892,0.591200615,0.036704815,0.040203186,0.154175547,0.067185204,0.475423130605489,0.0616440946853367,1.47619228236187
"T8143",0.041845286,0.043047507,0.046275242,0.041546648,0.045246111,0.051855073,0.689493668,0.042855294,0.044188228,0.155554491,0.060366056,0.414515580630883,0.215944305114208,1.6361025279647
"T8144",0.053912757,0.05593513,0.051731914,0.05348902,0.059084142,0.054649788,0.661809401,0.050128657,0.056738273,0.15070789,0.067268024,0.23737174811914,0.714782425686316,2.15307736652796
"T0928",0.026492249,0.026481434,0.0588731,0.028286415,0.021618325,0.094869969,0.354200604,0.042654682,0.022287948,0.07990419,0.081738535,0.386239152411208,0.289134694090261,1.71195396746953
"T0930",0.041894554,0.041839995,0.06677563,0.042483067,0.041785848,0.101683957,0.350733629,0.050628691,0.041412982,0.090433843,0.0930511,0.15332192497404,1.02228960865413,2.47176487198464
"T1009",0.052307553,0.051259661,0.067838212,0.052282802,0.051550057,0.085468871,0.682388455,0.075564469,0.05407958,0.149335004,0.076915117,0.175293365892156,0.933451827245,2.37969713335707
"T1992",0.047491834,0.047814219,0.064425937,0.047367611,0.051532618,0.069607873,0.0590502,0.052569792,0.050414652,0.077418809,0.083539835,0.00210704197281706,2.86167529493314,4.37802680146403
"T1993",0.04018749,0.044253936,0.052959519,0.043157424,0.046691175,0.040768133,0.287354757,0.041162387,0.047315917,0.149905434,0.078527633,0.384225876321153,0.294400673082036,1.71741140652015
"T4825",0.111986184,0.077303334,0.064051724,0.065524995,0.064670007,0.063666505,0.280508557,0.074275737,0.069580479,0.071582394,0.0648362,0.000277241773236489,3.45295400085882,4.9908031730678
