"","adeD","adiY","chiA","gspA","gspB","hchA","mdtI","mdtJ","rcsB","yjjP","hns"
"adeD",1,0.545699555947053,0.404181353389482,0.562150254274717,0.435342015932987,0.175191775305305,0.191711817880858,0.265728303838352,0.21890738278445,0.123010712562519,-0.258761593557647
"adiY",0.545699555947053,1,0.264702730382538,0.324878720148894,0.265746237606949,0.20289776937534,0.33656832676393,0.317754234905669,0.067599368068836,0.297771216257891,-0.252843457403957
"chiA",0.404181353389482,0.264702730382538,1,0.576004839455816,0.63459210807138,0.55022007675048,0.392048960660551,0.630604293788994,0.278379013083812,0.239008462661299,-0.36077358445305
"gspA",0.562150254274717,0.324878720148894,0.576004839455816,1,0.773018327108906,0.409940583493347,0.344129010456521,0.581982800904063,0.395244224155235,0.184588114336027,-0.34158371531101
"gspB",0.435342015932987,0.265746237606949,0.63459210807138,0.773018327108906,1,0.381488489046611,0.358495504582525,0.569818084036134,0.239956245119273,0.162866152838094,-0.291473742584713
"hchA",0.175191775305305,0.20289776937534,0.55022007675048,0.409940583493347,0.381488489046611,1,0.589713911315474,0.736651031973626,0.313635648756178,0.28005444191234,-0.401560846689075
"mdtI",0.191711817880858,0.33656832676393,0.392048960660551,0.344129010456521,0.358495504582525,0.589713911315474,1,0.743524635955331,0.308441020659344,0.250839672256529,-0.442883274552075
"mdtJ",0.265728303838352,0.317754234905669,0.630604293788994,0.581982800904063,0.569818084036134,0.736651031973626,0.743524635955331,1,0.341065971596639,0.271742318644568,-0.431914628180479
"rcsB",0.21890738278445,0.067599368068836,0.278379013083812,0.395244224155235,0.239956245119273,0.313635648756178,0.308441020659344,0.341065971596639,1,0.380483521982664,-0.418271418595498
"yjjP",0.123010712562519,0.297771216257891,0.239008462661299,0.184588114336027,0.162866152838094,0.28005444191234,0.250839672256529,0.271742318644568,0.380483521982664,1,-0.496004418431939
"hns",-0.258761593557647,-0.252843457403957,-0.36077358445305,-0.34158371531101,-0.291473742584713,-0.401560846689075,-0.442883274552075,-0.431914628180479,-0.418271418595498,-0.496004418431939,1
