"","crp","exuR","lgoR","uxuR","pval","z","inv_cof_var"
"T8404",0.309379273,0.287548442,0.045453956,0.046689361,0.485033804468552,0.0375234926144317,52.7399227716592
"T8400",0.417729001,0.192926834,0.035233581,0.036218898,0.486667069320639,0.033426924962371,51.2774390713744
"T1993",0.312496804,0.126261167,0.042179408,0.041033771,0.48657419157355,0.0336598659608538,51.3605995223529
"T4827",0.454523201,0.095536348,0.078967346,0.077618671,0.452337630564389,0.119757485515928,82.0976398759468
"T4828",0.374090711,0.093771271,0.075221615,0.072785745,0.495953694630106,0.0101427573522014,42.9649398044716
"T4832",0.351077623,0.113202959,0.109181287,0.111584353,0.471398368364686,0.0717551866295729,64.9607131460345
"T5078",0.669772492,0.059052294,0.049166765,0.047834004,0.48645813203186,0.0339509503695593,51.464517299208
"T5079",0.512488941,0.047467819,0.042931236,0.042872501,0.00269051367239594,2.78329247973079,1032.98551602707
"T8388",0.311745698,0.225102717,0.046818037,0.046752908,0.00311486197586986,2.73543842952269,1015.90151440275
"T8389",0.295179205,0.222876397,0.045694974,0.046324609,0.428864883759714,0.179264821794058,103.341890367051
"T8394",0.287706122,0.205478987,0.045965003,0.047103019,0.479353857163378,0.0517753283188602,57.8278595975966
"T8396",0.453861716,0.181690451,0.027693548,0.028594816,0.494615992493626,0.0134961151437023,44.1620959429345
"T8498",0.425972331,0.131682395,0.042167743,0.040834222,0.494783433468983,0.0130763658111402,44.0122445040675
"T0931",0.328034516,0.044905421,0.036783595,0.038119333,0.499656027592268,0.000862211069742198,39.651764282762
"T0932",0.323842825,0.039201382,0.039101736,0.038002811,0.488525958409658,0.0287651234478504,49.6131656337028
"T8406",0.308199717,0.223969355,0.045653976,0.046617705,0.468344306514737,0.0794325075561478,67.7015336744891
"T8253",0.442034989,0.232831669,0.05139837,0.051248367,0.106535000338963,1.24516800525271,483.87168122887
"T1590",1.215377595,0.315407837,0.026893214,0.026258762,0.477779531013213,0.0557272862036735,59.23871729156
"T8191",0.398113736,0.212951965,0.042160987,0.040784017,0.496367937347779,0.00910435671336778,42.5942284827886
"T0880",1.232250967,0.146121748,0.074568135,0.073539549,0.430541956089565,0.174994554835654,101.817395630734
"T0876",0.596239409,0.605595529,0.060831784,0.061265083,0.327106249372664,0.447917831639875,199.251608282808
"T2382",0.21875591,0.296403296,0.054978316,0.056042979,0.46162707514701,0.0963354584163313,73.7359244668145
"T0727",1.329964487,0.313682238,0.040560927,0.039492017,0.484791698988197,0.0381307954034575,52.9567312087519
"T0734",1.258463547,0.313010125,0.040471431,0.040164288,0.340979761920471,0.409790652420336,185.640121086114
"T0735",0.978086773,0.258906434,0.038319693,0.037530002,0.468103741535393,0.0800374344527029,67.9174939127218
"T0743",1.528041516,0.326193786,0.04477566,0.046160084,0.492063877312485,0.0198942217309361,46.4462341267156
"T0791",1.853198632,0.341839238,0.037413995,0.038225281,0.47032227975601,0.0744597594999379,65.9262516346156
"T0786",0.927443515,0.124437769,0.039465257,0.039873103,0.391621474652507,0.275095395130135,137.553616718612
"T0794",0.996710085,0.145476451,0.034868646,0.034082871,0.474645357029255,0.0635975105073955,62.0484047517411
"T0779",1.103993692,0.148910088,0.035335266,0.035619231,0.350227280998586,0.384706927641096,176.685175934991
"T0787",1.018399353,0.12827158,0.036917624,0.036195302,0.464033758994488,0.0902764700247896,71.5728522279398
"T0751",1.10726479,0.326737367,0.047977778,0.046707949,0.485049425983386,0.037484307735743,52.7259336834158
"T0752",1.141528574,0.330587035,0.048620103,0.047781923,0.453192944020793,0.117598380720869,81.3268346950796
"T0769",1.566316075,0.333233819,0.038097572,0.036796305,0.498487740674555,0.00379068106192953,40.6972345383777
"T0755",1.289903085,0.312458275,0.042259678,0.043067848,0.460602515192241,0.0989159177089445,74.6571541339962
"T0756",1.200210748,0.315753271,0.048943675,0.047987513,0.463911010895222,0.0905854145395106,71.6831461020919
"T0772",1.554432254,0.342870655,0.037060805,0.03627714,0.470046895874373,0.0751519786314787,66.1733753935494
"T0809",1.10472029,0.335933276,0.046648905,0.046894806,0.260025188319524,0.643267753138134,268.991961746616
"T0810",1.165046462,0.327611789,0.049636817,0.048711121,0.460082795023284,0.100225137001922,75.1245483133927
"T0829",1.183292577,0.270563981,0.057554062,0.056537014,0.455418269907321,0.111983436373976,79.3222871609494
"T0802",1.045677775,0.127057011,0.04576453,0.047415225,0.499361498148681,0.00160048747721167,39.9153305909336
"T0825",0.946503678,0.138369067,0.045704295,0.045419919,0.299974541557432,0.524473735233713,226.582234962497
"T0818",0.839987751,0.304559753,0.042989972,0.042968745,1.28125716076356e-15,7.91055135849964,2863.42826083757
"T0019",0.457201358,0.117841468,0.032352307,0.031609869,0.47590575674918,0.0604320745953534,60.9183371393269
"T0023",0.079989134,0.465647079,0.029750116,0.030530586,0.482940817377832,0.0427740693132163,54.6143902505997
"T0030",0.278159759,0.380988851,0.0296156,0.030394046,0.483057170005343,0.0424821514165406,54.5101749166982
"T0060",0.323985033,0.052334552,0.040233262,0.039136672,0.486776361171766,0.0331528190751577,51.1795826641941
"T0061",0.271195017,0.198058921,0.041678485,0.040998767,0.448001291808155,0.130712702255188,86.0086764497465
"T0014",0.404622713,0.349738571,0.039835219,0.038624136,0.492775252891724,0.0181107453813132,45.8095291305574
"T2817",0.052005117,0.090468482,0.054016092,0.052811375,0.473916255241103,0.0654289050462519,62.7022166472973
"T0498",0.330346546,0.173810707,0.036195768,0.036178584,9.21513369537237e-17,8.23187685259189,2978.1421719723
"T1077",0.220315912,0.112783545,0.089360988,0.091715384,0.483198582957917,0.042127364371507,54.3835151579675
"T1703",0.426362692,0.44515927,0.059104065,0.058014878,0.459071362359632,0.102773516490037,76.0343254195109
"T1704",0.556308055,0.410085545,0.049042066,0.049147183,0.0409351629445022,1.73993560476103,660.504807096072
"T2647",0.332173611,0.346012009,0.051810458,0.052361758,0.395867809336766,0.264057491285039,133.613060665389
"T5146",0.114861009,0.049400591,0.12942802,0.132516512,0.476961525963389,0.0577810260707273,59.971906960399
"T5148",0.112266788,0.050301272,0.132146908,0.135722325,0.484769913564569,0.0381854431325212,52.9762405687335
"T5150",0.110221791,0.048596997,0.136101503,0.132302263,0.488144397071794,0.0297219649730416,49.9547601716677
"T5716",0.152819237,0.254208908,0.112910953,0.109766303,0.488014265602997,0.0300483018902692,50.071263171931
"T5758",0.188715744,0.098622375,0.072930743,0.075276671,0.494045685122704,0.0149258082036046,44.6724995232259
"T2422",0.53948567,0.290374556,0.049898039,0.050641529,0.437372657512534,0.157633867215397,95.6195918040136
"T2670",0.293252682,0.302570123,0.049903087,0.051716976,0.499697712822212,0.000757721659407807,39.6144613324764
"T2681",0.322168409,0.211513875,0.07019267,0.071066237,0.416804019368901,0.210076407452959,114.341694503912
"T2682",0.243656825,0.216626677,0.069995365,0.069616146,0.26796109695568,0.618991142649066,260.325158179839
"T2684",0.142442435,0.136825851,0.068132069,0.069533531,0.466386848861999,0.0843556122663333,69.4590929301796
"T2685",0.285836512,0.066485574,0.062483401,0.061863326,0.387060389153552,0.286988953698637,141.799643398061
"T2432",0.08789636,0.215895924,0.054314119,0.056126716,0.495820941649364,0.0104755374120231,43.0837430208726
"T2433",0.175439618,0.226986424,0.04792867,0.048258462,0.320078837651918,0.467478353995128,206.234757968917
"T2434",0.158831892,0.225675845,0.03732488,0.037348507,3.88023930141805e-10,6.14975079010821,2234.81856866533
"T0071",0.096874085,0.109334464,0.0721715,0.072854654,0.378177778520027,0.310270112678286,150.111068577222
"T0587",0.511349235,0.168364656,0.072123718,0.070216289,0.485003404751217,0.0375997471793351,52.7671458197608
"T0588",0.547941824,0.190177428,0.078941004,0.07809611,0.398228720455646,0.257934522597444,131.427147319504
"T0592",0.626758677,0.176466983,0.045352418,0.046815803,0.494198616370836,0.0145424247977183,44.5356308005071
"T0597",0.708411862,0.090927073,0.034889211,0.03549277,0.451939109370313,0.120763679903406,82.4568534947586
"T0581",0.232632378,0.048204332,0.037045584,0.038250303,0.494579526717715,0.0135875296701464,44.1947311307915
"T0115",0.286549216,0.18393777,0.062991822,0.065132271,0.496667263167156,0.00835402954711563,42.3263600271138
"T0120",0.214934252,0.161400169,0.054196562,0.055008644,0.437958769652232,0.156146508689003,95.0886015248131
"T0094",0.176913743,0.089975205,0.032412872,0.032907383,0.439821177266884,0.151422610465387,93.4021594248355
"T4025",0.273889342,0.367040666,0.105952607,0.104270122,0.445406741909067,0.137274932484137,88.3514071361362
"T4089",0.096795825,0.263256944,0.142828192,0.14087103,0.429792822760807,0.176901646217836,102.498231466557
"T4091",0.152772268,0.338865441,0.095648072,0.096642144,0.392453528742839,0.272929957760226,136.780550794536
