"","lolA","osmB","rarA","rcsB","pval","z","inv_cof_var"
"T8405",0.195525604,0.174576902,0.123255797,0.187362544,0.467123496145617,0.0825026736855993,4.42274757567115
"T1995",0.143225956,0.11451672,0.145987938,0.224671898,0.362399491241461,0.352052377015352,7.72214128122459
"T8143",0.043484919,0.039982885,0.042251793,0.155554491,0.0496247491361236,1.64850298691726,23.5912033838024
"T8144",0.049788668,0.049054591,0.053300343,0.15070789,0.060933979586384,1.5469804530994,22.348527896081
"T5538",0.090475552,0.082273454,0.088792539,0.202598121,0.0860875600495977,1.3652479886734,20.1240515126352
"T5540",0.077804382,0.113148744,0.098377189,0.069783543,0.434456815682028,0.165038560419717,5.43301908333325
"T5542",0.09795503,0.074635487,0.099214672,0.101420595,0.398999651411501,0.255937234617228,6.5456543776245
"T5548",0.113889251,0.146753997,0.089003038,0.119996403,0.480107650910572,0.0498834048858809,4.02347497834284
"T5550",0.127757351,0.145853922,0.131802585,0.171872404,0.188471165820405,0.883544164377912,14.2278084591703
"T5554",0.080362111,0.062520758,0.054117573,0.097557275,0.451659214852709,0.121470436290596,4.89972821809146
"T5564",0.153498793,0.159335323,0.110173658,0.225829471,0.440348301350326,0.150086206035844,5.24999642247355
"T5566",0.163615684,0.168509817,0.114216982,0.217885078,0.449906855011059,0.125896680910137,4.95390718195804
"T5568",0.131920225,0.141055503,0.133012434,0.199174016,0.0263559195156381,1.93727416118987,27.1258754052171
"T5570",0.139521765,0.147112646,0.175309143,0.195328174,0.348893062372028,0.388310693410682,8.16595724321942
"T5572",0.150344376,0.152513286,0.128680152,0.201399798,0.269969748067946,0.612904487130719,10.9150730469186
"T5574",0.126489441,0.129772783,0.098383804,0.198488957,0.38937151208915,0.280957465108512,6.85191177644438
"T5576",0.153793917,0.15899918,0.119153081,0.215653445,0.395789543050911,0.264260641458173,6.64753613004542
"T8388",0.046468582,0.067285476,0.047294555,0.267024692,0.462854262387512,0.0932455041215793,4.55424401837708
"T8140",0.098883548,0.081562054,0.054780317,0.151152386,0.496224337053122,0.00946432478824939,3.52872964265519
"T8216",0.038364587,0.062299391,0.042992546,0.438420364,0.488301686977889,0.0293275257635983,3.77186298489462
"T8218",0.057591319,0.041240145,0.056574336,0.489072051,0.427341220855048,0.183147302089201,5.65467715804719
"T8402",0.067550242,0.064620712,0.063902493,0.28412571,0.00648863044162736,2.48439270494109,33.8228201881094
"T8406",0.048147742,0.070382857,0.044042679,0.264566763,0.486608461439742,0.033573915592925,3.82384045584389
"T8407",0.058465499,0.081139421,0.080728553,0.306448187,0.427139251424782,0.183662151031324,5.66097911029558
"T5535",0.084362279,0.125954382,0.140959285,0.156210736,0.481084343926084,0.0474322980591985,3.99347247292104
"T5543",0.084116574,0.068744196,0.086428039,0.25590794,0.344908711761483,0.399102848452345,8.29805743837438
