"","crp","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","pval","z","inv_cof_var"
"T8404",0.309379273,0.045087806,0.045639171,0.046991407,0.046057733,0.046346101,0.048058374,0.047534389,0.101576891,0.049024831,0.048052183,0.435894160690564,0.161387360068783,3.02942275553909
"T8405",0.193747091,0.162970601,0.16127601,0.195879643,0.178649203,0.189734647,0.173924667,0.193070822,0.076367286,0.162998429,0.178419112,0.182208540727549,0.906980552505914,4.87048196827885
"T8399",0.304812619,0.041778489,0.046436812,0.050585901,0.04780513,0.048213135,0.056046405,0.053204778,0.069995145,0.043927758,0.05680794,0.0674284304071983,1.49522066973093,6.32299642000052
"T8401",0.411057665,0.041396605,0.03784115,0.046141884,0.039749271,0.042612907,0.064867159,0.050805213,0.010648175,0.049544756,0.061018258,0.441158520944808,0.148032598348429,2.99644645244433
"T1995",0.083838462,0.058368853,0.060579087,0.054768644,0.058703611,0.058680344,0.079797305,0.061315434,0.063058828,0.055087741,0.053411207,0.0137097076849183,2.20549447075577,8.07684307285166
"T1996",0.173723924,0.053978085,0.056952539,0.047633793,0.054721559,0.054644935,0.072393521,0.058399531,0.052459247,0.048003414,0.046073894,0.0301361011971939,1.87879710578741,7.27014419247861
"T1997",0.111213524,0.043136969,0.04508856,0.049481928,0.043452344,0.043491956,0.060729971,0.044119509,0.049106749,0.050080528,0.058014279,0.0188406951999091,2.07830375961236,7.76277685966634
"T0853",0.962300652,0.025243246,0.026764096,0.025257581,0.027815913,0.02841149,0.02557012,0.03298542,0.04677765,0.052775557,0.05482939,0.458094964961501,0.105234255171007,2.89076645858704
"T8142",0.42287399,0.044756451,0.052565754,0.034589873,0.041531752,0.051865176,0.058310208,0.040874646,0.072323397,0.038799715,0.042914355,0.252584459777917,0.666378940918426,4.27637539903127
"T8143",0.192749268,0.047240827,0.05150617,0.039940107,0.045548348,0.051725441,0.054724016,0.04468301,0.069291475,0.041545998,0.046366095,0.0954489209383499,1.30792767437234,5.860522381766
"T8144",0.186084698,0.053379076,0.058737433,0.048743149,0.051806011,0.059519357,0.061867436,0.051575761,0.089893589,0.055830925,0.052725861,0.17371114503577,0.939600947535606,4.95103001968516
"T8222",0.547193159,0.061619799,0.073987491,0.027796179,0.071518698,0.04914559,0.075506935,0.057960944,0.051266588,0.027791941,0.037249135,0.446714473406597,0.133966649115402,2.96171404651027
"T0717",0.292703696,0.113140644,0.120860855,0.058548299,0.11503005,0.103145381,0.127770869,0.083918228,0.069463991,0.064973368,0.054301714,0.400155426070218,0.25294482241127,3.25550141512251
"T0718",0.32132625,0.087309243,0.092837734,0.049557334,0.089057303,0.079864106,0.097808805,0.061034267,0.074828052,0.052653571,0.058598941,0.262279385563811,0.636333965597314,4.20218671387084
"T0719",0.283606566,0.086626027,0.093821275,0.045388107,0.088994738,0.077092732,0.101035904,0.056903316,0.067182803,0.047564631,0.053802522,0.358425551422337,0.362670414610593,3.52644180787419
"T0928",0.357964419,0.060893358,0.067104998,0.027032721,0.060387742,0.054142233,0.070948133,0.044386267,0.042250855,0.02368693,0.028438919,0.478712059608862,0.0533863018136763,2.76274067568229
"T0929",0.369848302,0.047998931,0.054147288,0.021849709,0.046885468,0.041247398,0.058464449,0.032506782,0.033626196,0.021705267,0.034864769,0.422647675850951,0.195124667687039,3.11272874818181
"T0930",0.349377367,0.06733212,0.073706317,0.041994112,0.066473408,0.060886293,0.078179027,0.052089336,0.05592248,0.04139279,0.049763967,0.209812767390362,0.807071076485079,4.62378006282433
"T1992",0.047276943,0.065661572,0.070440947,0.047963497,0.066307018,0.061110246,0.07424954,0.052554393,0.047849724,0.047384644,0.054177811,0.0967654949435886,1.30020420478651,5.84145117111182
"T1993",0.312496804,0.054770703,0.06024849,0.044583264,0.055613755,0.048637499,0.066921354,0.041623286,0.043469755,0.043316878,0.05459786,0.0794440670286221,1.40882089818719,6.10965341071247
"T1994",0.056692861,0.054768765,0.059627385,0.044362114,0.055381562,0.048593266,0.065423123,0.040700969,0.049657475,0.043648749,0.062607154,0.073018299401398,1.45367440044747,6.22040811501712
"T4826",0.375251679,0.112821428,0.080460826,0.077763613,0.079775683,0.069257868,0.077661394,0.14533346,0.082428133,0.07880639,0.080988608,0.310395058296078,0.494730857572879,3.85253262739935
"T4827",0.454523201,0.110458062,0.079897929,0.089440889,0.075908479,0.130928502,0.081385656,0.138289327,0.102537937,0.083703527,0.078885357,0.250580053362119,0.672665522259736,4.29189856717772
"T4828",0.374090711,0.110170433,0.075846358,0.086357488,0.068007792,0.117995442,0.071409781,0.142611127,0.076774388,0.070907844,0.074717742,0.357368392739275,0.365501904427659,3.53343347634214
"T4831",0.348201037,0.106732413,0.11566139,0.105394826,0.094507403,0,0.089965547,0.124660591,0.115689857,0.085585419,0.115916219,0.494859112041136,0.0128866517775239,2.66273673979861
"T4832",0.351077623,0.10717601,0.113713065,0.103829978,0.096867805,0,0.091855946,0.12441557,0.112370469,0.08893082,0.114064878,0.48812517315075,0.0297701735205192,2.70442644882992
"T5077",0.497426135,0.089515557,0.043543009,0.046693096,0.045720513,0.046738312,0.057415659,0.104706644,0.045855036,0.061460258,0.045374285,0.480904497342151,0.0478836188426381,2.74915315197449
"T5558",0.196158974,0.180030035,0.144834789,0.223369976,0.125575467,0.09666618,0.104970049,0.180850012,0.228218905,0.09956262,0.159008535,0.41316771392106,0.219403905697346,3.17268036156909
"T5570",0.224920522,0.155192981,0.176467492,0.22219616,0.121855105,0.257249112,0.110030212,0.168284264,0.227599652,0.105351039,0.119207083,0.429763698032894,0.176975802868705,3.06791458529314
