"","lsrA","lsrB","lsrC","lsrD","lsrF","lsrG","lsrR","oxyR","rbsR","tam","crp"
"lsrA",1,0.826080791745222,0.634924841268917,0.837037119440972,0.751731476152458,0.835540150794587,0.810034107596397,0.603017227381678,0.665081495044079,0.625561870878145,-0.313802446265165
"lsrB",0.826080791745222,1,0.786406345231548,0.88907693803726,0.783489087953862,0.812787978296675,0.721456718337709,0.65911843119207,0.742298513176354,0.728468157813783,-0.315733996288069
"lsrC",0.634924841268917,0.786406345231548,1,0.691876771080991,0.759147421663086,0.512335577155419,0.760304497478531,0.720765988303885,0.777701438255967,0.84334687968119,-0.157173190263627
"lsrD",0.837037119440972,0.88907693803726,0.691876771080991,1,0.717868487485937,0.818188247094106,0.727371333456508,0.611253934576571,0.746869770595474,0.653778563073378,-0.299415168260529
"lsrF",0.751731476152458,0.783489087953862,0.759147421663086,0.717868487485937,1,0.673919743006484,0.781816743498447,0.685474819763557,0.701646142041904,0.748262712886619,-0.260529452222456
"lsrG",0.835540150794587,0.812787978296675,0.512335577155419,0.818188247094106,0.673919743006484,1,0.57963127963611,0.456357753225538,0.556706467828268,0.51658743770674,-0.366766468551445
"lsrR",0.810034107596397,0.721456718337709,0.760304497478531,0.727371333456508,0.781816743498447,0.57963127963611,1,0.702404137052693,0.761237541410463,0.747633304911484,-0.226718039658891
"oxyR",0.603017227381678,0.65911843119207,0.720765988303885,0.611253934576571,0.685474819763557,0.456357753225538,0.702404137052693,1,0.707734358819263,0.748476471209301,-0.224429646071025
"rbsR",0.665081495044079,0.742298513176354,0.777701438255967,0.746869770595474,0.701646142041904,0.556706467828268,0.761237541410463,0.707734358819263,1,0.774546294933199,-0.136310575625026
"tam",0.625561870878145,0.728468157813783,0.84334687968119,0.653778563073378,0.748262712886619,0.51658743770674,0.747633304911484,0.748476471209301,0.774546294933199,1,-0.206326827374473
"crp",-0.313802446265165,-0.315733996288069,-0.157173190263627,-0.299415168260529,-0.260529452222456,-0.366766468551445,-0.226718039658891,-0.224429646071025,-0.136310575625026,-0.206326827374473,1
