"","crp","malI","mlc","pval","z","inv_cof_var"
"T8405",0.193747091,0.192470658,0.195709754,0.484939519043889,0.0377599986197902,84.7412369528368
"T0852",0.65644738,0.034654094,0.034412584,0.392298894343341,0.273332299756543,202.217367263582
"T0717",0.292703696,0.06602223,0.065351639,0.442112037150261,0.145616585390996,138.527587815246
"T4827",0.454523201,0.076652413,0.078262522,0.498301945678013,0.00425640382750921,68.0335312985477
"T8388",0.311745698,0.046310127,0.046825741,0.450675375893328,0.12395519349314,127.725398911774
"T0931",0.328034516,0.034900946,0.03485185,0.0298931292637178,1.88236659279495,1004.61697609411
"T2300",0.254998092,0.052889835,0.052878196,1.49519997921791e-37,12.7532433312316,6425.74894345252
"T2297",0.29329711,0.043556079,0.043577823,1.42908419368069e-08,5.54990991393985,2833.56203897316
"T2063",0.327981794,0.050272076,0.050865928,0.45647498938894,0.109318367457442,120.426248398713
"T2064",0.259109061,0.040845623,0.041119889,0.385300403031625,0.291589105651751,211.321743703656
"T0748",1.881067305,0.07833327,0.078357073,1.75869873439205e-20,9.2018803837226,4654.74117051351
"T1863",0.341059989,0.076515895,0.078158952,0.499475999569851,0.00131347467180221,66.5659397042778
"T0491",0.378581926,0.051556697,0.051990981,0.418428483862579,0.205915435896489,168.597657960968
"T0492",0.37998872,0.052007488,0.052001401,1.36521750572712e-128,24.0963426533746,12082.3707434928
"T2327",0.349399382,0.055356662,0.055223314,0.148318141883724,1.04367391188074,586.374380515993
"T5662",0.350484591,0.108178347,0.108866541,0.37637071600939,0.315026633546516,223.009663157008
"T5766",0.132345974,0.085466977,0.083957265,0.489247326368978,0.0269562199636448,79.3535657235227
"T5531",0.309067998,0.08462993,0.084433951,0.137627665621516,1.09103988835076,609.995033696507
"T1942",1.236117314,0.062220497,0.061057511,0.492765849261536,0.0181343206576785,74.9542259562623
"T4097",0.124787957,0.083299996,0.084669233,0.48333912900975,0.0417747575238449,86.743332860985
"T4844",0.293858076,0.068584669,0.070050412,0.49922425587621,0.0019445033799618,66.8806236055338
"T4103",0.316094089,0.068213585,0.068128359,0.0163308928005172,2.13621632270451,1131.2077671434
"T4833",0.300018322,0.122075188,0.120508713,0.465171638232546,0.087412949628239,109.502367675058
"T2763",0.229227824,0.030241441,0.029894428,0.454795604711756,0.113554182467746,122.538581443479
"T5994",0.318692851,0.074893714,0.073863494,0.471073120854052,0.0725725868475789,102.101716650014
"T6004",0.319359738,0.074327737,0.075298001,0.465537021142835,0.0864936014866118,109.043903494144
"T6006",0.315433285,0.071634514,0.072496449,0.458213231974846,0.104936162361143,118.240912964721
"T6010",0.305213556,0.079342096,0.078391073,0.458979301703498,0.103005503023981,117.278124102092
"T6018",0.319179167,0.081885406,0.081144552,0.428631693087693,0.179858843717654,155.603653133219
"T6020",0.324846628,0.064648591,0.06366207,0.479163292442789,0.0522536498538729,91.9689884874502
"T6024",0.321646599,0.073333977,0.073403655,0.00215905018503595,2.85393766104664,1489.1238933731
"T1771",0.312507974,0.076902561,0.077113452,0.183164364387071,0.903371560039692,516.407846724673
"T2457",0.335196974,0.027458412,0.027209434,0.428903228771129,0.179167149087804,155.258716109302
"T2154",0.973776447,0.056640106,0.055728192,0.483028918133123,0.0425530323967196,87.1314460642021
"T2121",0.879963971,0.037940976,0.037600799,0.427513605583259,0.182707907183513,157.024435412646
"T7301",0.419343786,0.084835263,0.084877658,1.47769870687168e-08,5.54405866698168,2830.64411591167
"T7302",0.362934398,0.093095786,0.093209416,0.0141658620580991,2.1926622273661,1159.35643496018
"T7303",0.398049203,0.088089046,0.086527845,0.489459432755556,0.0264243586838684,79.0883350291297
"T7305",0.457108055,0.08601838,0.08537437,0.403153359213942,0.245193358738601,188.184928450196
"T7306",0.402941455,0.088538427,0.088464259,0.000573439819580334,3.25177204205691,1687.51752182658
"T7308",0.363642443,0.091987287,0.09281991,0.427573829160643,0.182554410412545,156.947889033545
"T7310",0.393566573,0.087993624,0.088365125,0.294268732048008,0.540956647870855,335.677339601986
"T7312",0.405557727,0.092721532,0.091969364,0.414494122063262,0.215999362963534,173.626350742148
"T7314",0.498692532,0.080089874,0.081393569,0.482665243302618,0.0434654735659935,87.5864658487237
"T7316",0.484299014,0.086492045,0.084870931,0.492932334448057,0.0177169371256544,74.7460834795746
"T7320",0.511528283,0.088427517,0.088302045,0.0310884469823812,1.86503217806782,995.972581343462
"T7324",0.394734357,0.088189809,0.088374768,0.110963136102038,1.22142202498013,675.014515184587
"T7326",0.492337799,0.078458573,0.07933714,0.451250928212214,0.122501502131462,127.000466332638
"T7328",0.439732799,0.083510586,0.084429924,0.449527911617283,0.126854166605901,129.17107033205
"T7332",0.478424792,0.080594785,0.079887349,0.424853693359859,0.189491793121619,160.407450583074
"T7336",0.416144409,0.089696849,0.088807255,0.43945452820197,0.152352325973485,141.886593668606
"T7340",0.45333262,0.084667923,0.084144332,0.372592959760674,0.324993594650095,227.980026887192
"T7344",0.483099539,0.08619557,0.086593395,0.314302084428709,0.483692426528798,307.12059037442
"T7346",0.474090142,0.088269638,0.087783489,0.351481955787684,0.381322565352587,256.070381613042
"T7348",0.463173626,0.077980776,0.078161877,0.137776760114769,1.09036243998823,609.657201057732
"T7352",0.503885047,0.079652111,0.079636933,1.56614373676387e-49,14.7487903311145,7420.89624331851
"T7358",0.425357448,0.089190217,0.089286138,0.00610277979710172,2.50614488007228,1315.68520868172
"T7360",0.470889119,0.078253757,0.078224415,5.44618766834445e-14,7.42960342265399,3770.93505994551
"T7364",0.473320967,0.079403478,0.080433423,0.464985673979568,0.087880886782133,109.735720432589
"T7368",0.377032029,0.086759339,0.087503555,0.420798467249197,0.199851228973422,165.573535178757
"T7382",0.431719338,0.085427294,0.085850198,0.329207387334105,0.442102860333846,286.380540401188
"T7404",0.491752311,0.096796094,0.095652313,0.457629079970217,0.106408612686622,118.975200338394
"T7406",0.487495895,0.08676561,0.087927474,0.467710347523847,0.0810267298455972,106.317662241701
"T7398",0.463643946,0.084519644,0.084596569,0.00141733002878095,2.98512117662437,1554.54300969648
"T7400",0.482069015,0.083089347,0.08233927,0.42835783421942,0.180556543468359,155.951584814644
"T7414",0.457142308,0.0836929,0.0839464,0.210260890548377,0.805516339853856,467.609017054691
"T7424",0.483901342,0.085504015,0.086598934,0.463862466414891,0.0907075984565467,111.145356231925
"T7426",0.465845397,0.080501838,0.081436218,0.454787184960057,0.113575424191603,122.549174350657
"T7434",0.442488358,0.080503923,0.081843041,0.484152662062491,0.0397338380270926,85.7255590242595
"T7224",0.274711679,0.081958936,0.082958908,0.459504802249312,0.10168135183237,116.617791129217
"T7226",0.454943961,0.085718357,0.084497128,0.47390220076138,0.0654642099314652,98.5568830305029
"T7228",0.459288485,0.086629351,0.086211601,0.324736393128375,0.454494727095548,292.560165711407
"T7230",0.470994254,0.086583045,0.08531432,0.476099609266343,0.0599452774336671,95.8046798633268
"T7232",0.435607276,0.082833599,0.082738211,0.00992792968556684,2.32906052821424,1227.37608110397
"T7234",0.444039534,0.085547858,0.084919053,0.400431435683872,0.252230542785076,191.694259326853
"T7238",0.351068222,0.085930194,0.084767801,0.469687155956059,0.0760562937490326,103.838985437324
"T7240",0.336781874,0.081135765,0.081562561,0.341503444331041,0.40836341493348,269.555219829374
"T7242",0.455761757,0.084054215,0.084020234,2.9680611844835e-12,6.88117415874745,3497.44217745459
"T7243",0.493249207,0.080841345,0.08087325,8.63809131413156e-13,7.05487026982969,3584.06164367155
"T7244",0.446751259,0.084547351,0.084650097,0.0138030551228976,2.20283883028808,1164.43134370461
"T7245",0.433869408,0.088016096,0.086377655,0.492518377646769,0.0187547455399151,75.2636218995117
