"","crp","manA","yhfA","pval","z","inv_cof_var"
"T8405",0.193747091,0.16725573,0.182764173,0.495602128509715,0.0110240523133529,15.9591421886489
"T1010",0.296878664,0.211710639,0.195235414,0.490862971797929,0.0229051359249372,17.4658806573749
"T1011",0.219845316,0.185787348,0.176377339,0.460260975991149,0.0997762647551855,27.2145442245596
"T1996",0.173723924,0.231140705,0.221714907,0.439173813669716,0.153064225449497,33.9724312088572
"T8143",0.192749268,0.137393688,0.146896036,0.479266023251149,0.051995791843714,21.1551073126402
"T8144",0.186084698,0.125362028,0.123527429,0.26056287495247,0.641611060147878,95.9290955737675
"T1994",0.056692861,0.145987686,0.156423816,0.481355475931963,0.0467519168828379,20.4900881622794
"T4828",0.374090711,0.069343756,0.07077838,0.333679963512823,0.429774165910623,69.0643071354891
"T8395",0.403613506,0.105034958,0.104720202,0.000158563977129429,3.60089146224975,471.219916458684
"T8498",0.425972331,0.108026612,0.109927481,0.299966071489092,0.524498097119387,81.0770322140366
"T8213",0.416177093,0.395008933,0.377948582,0.44519795790691,0.137803249905801,32.0370606926904
"T8138",0.263986731,0.238961706,0.257098602,0.484970157553393,0.037683144606563,19.3400021516519
"T8220",0.485530273,0.452851325,0.498220358,0.499175810993467,0.002065936937018,14.8230894946296
"T8253",0.442034989,0.441725712,0.418942883,0.461832997185152,0.0958169006136812,26.7124245140407
"T8255",0.358063065,0.374442377,0.386841975,0.410013798047921,0.227509483126972,43.4134499933309
"T8304",0.486906646,0.521279706,0.518330605,0.0321040947137197,1.85073150394877,249.267658415083
"T8306",0.509832462,0.497485336,0.501446915,0.0983284815613324,1.29113472977468,178.300563645969
"T1590",1.215377595,0.232032992,0.216167225,0.482972878355333,0.0426936309464543,19.9754233608739
"T1593",1.243856871,0.18693017,0.199191053,0.475769760158773,0.0607735940701812,22.2682930049445
"T8189",0.508556139,0.488740279,0.474995353,0.391224430474311,0.276129164716805,49.5793138979652
"T8191",0.398113736,0.410072995,0.436007794,0.4732585296848,0.067081201301273,23.0682128415017
"T0345",0.312918842,0.23451724,0.258408186,0.49991142739243,0.000222018604316832,14.5892469617514
"T1081",0.255109214,0.234431643,0.230515728,0.292118807467648,0.547205417131951,83.9567352531805
"T2065",0.430138583,0.274206314,0.273850256,1.25290208312253e-17,8.46756299166786,1088.40278022358
"T0793",1.014828218,0.266438639,0.267565926,0.00576098096518968,2.52645661267316,334.961947663782
"T0778",1.004220516,0.262322802,0.245252236,0.479674567405723,0.0509703654195986,21.0250645075752
"T0779",1.103993692,0.255820902,0.256437999,3.18575672966856e-06,4.51367065791679,586.976994897499
"T0835",0.366705811,0.187531597,0.181843206,0.402360540111367,0.247241822335451,45.9158711137729
"T0832",0.972801019,0.160622944,0.172878492,0.485278269080918,0.0369102861672004,19.2419895814574
"T0844",0.7371836,0.203066567,0.201402599,0.107393963846642,1.24050699728311,171.880042200009
"T0830",1.257286976,0.257701786,0.263129162,0.337151137676154,0.420250761994293,67.8565655268062
"T5127",0.268449942,0.192751986,0.201451319,0.445182637680562,0.137842018481406,32.0419772563769
"T5135",0.058664204,0.194348145,0.202956789,0.443337560822334,0.142512607528554,32.6342932789733
"T0043",0.366144005,0.456144986,0.4297322,0.471225180272325,0.0721904306440383,23.7161564675176
"T1870",0.273559428,0.092348381,0.096392446,0.442194543237228,0.145407572173922,33.0014276868588
"T0029",0.047044671,0.30506777,0.311539984,0.338564905162548,0.416382939605382,67.3660549829793
"T0061",0.271195017,0.382035544,0.408208924,0.478655519951859,0.0535282283621423,21.3494482607121
"T2000",0.285447087,0.215401563,0.202126904,0.475856519897139,0.0605557191133289,22.2406624798516
"T2327",0.349399382,0.347704456,0.323608643,0.483838219791773,0.04052266279139,19.7001049353369
"T2335",0.249754789,0.334664812,0.333938482,2.61353343465419e-07,5.01778484233743,650.907883621859
"T2336",0.243716831,0.351111772,0.337650166,0.432322564760159,0.170464145335943,36.1790589460862
"T2337",0.254200902,0.385893825,0.35316736,0.495572440943875,0.0110984725578866,15.9685800353098
"T2648",0.300647326,0.410590611,0.395112762,0.430371493141847,0.175428451338904,36.8086236448731
"T5142",0.100581021,0.185546905,0.172437205,0.485068143578272,0.0374373567512329,19.3088317610648
"T5152",0.100581021,0.185546905,0.172437205,0.485068143578272,0.0374373567512329,19.3088317610648
"T5716",0.152819237,0.133179407,0.129145524,0.402154455244055,0.247774468179957,45.983420338268
"T5748",0.104279867,0.122794163,0.128220736,0.44310690746385,0.143096695204852,32.7083662675792
"T5750",0.094394669,0.120658085,0.110824209,0.493445470034843,0.0164305093755156,16.6447797198193
"T0320",0.073045033,0.28150157,0.266858877,0.462558541150417,0.093990022801917,26.4807430305468
"T5666",0.042157787,0.308833835,0.323494753,0.449998676681125,0.125664690217486,30.4976695533604
"T2669",0.260000669,0.250058521,0.235255276,0.472901427192964,0.0679783678654055,23.1819899530199
"T2671",0.245498646,0.172145884,0.161898633,0.473313854632801,0.0669422104984186,23.050586268345
"T2672",0.222382435,0.223295786,0.214375205,0.436935001859182,0.158744719619504,34.6928216519459
"T2649",0.321418449,0.321878098,0.33741073,0.451510358386814,0.121846335649834,30.0134324330436
"T2651",0.298401827,0.307413756,0.311158392,0.21005426361764,0.806232977561525,116.806162335652
"T2652",0.336171958,0.282306943,0.293889915,0.435437176401533,0.162547973961824,35.1751437878104
"T2436",0.197270676,0.192462373,0.193867057,0.0779966990558456,1.41867634015218,194.475170020396
"T5733",0.281351126,0.09050843,0.087027568,0.432676559166235,0.169563895733835,36.0648908490257
"T0066",0.389794432,0.396654635,0.383777672,0.411724925526161,0.223110057283723,42.8555224191266
