"","mngA","mngB","mngR","pval","z","inv_cof_var"
"T4825",0.063535408,0.067054209,0.063587919,0.311328331905871,0.49208866660013,32.0966327666133
"T4826",0.081784237,0.075932347,0.081758124,0.381240256321567,0.302225045792767,23.6793445315389
"T4827",0.077859718,0.07816719,0.07799191,2.67134040042556e-29,11.1760302034814,505.751433092242
"T4828",0.073279872,0.067004936,0.069477517,0.394707870509841,0.267069382289917,22.120776589242
"T4829",0.094414882,0.083494451,0.094012156,0.460848670791984,0.098295890125507,14.638484173523
"T5075",0.065356891,0.056911985,0.065021686,0.475045095049202,0.06259351936345,13.0556788730561
"T5076",0.053455162,0.045154656,0.053660795,0.498391893714624,0.0040309355995793,10.4594040035733
"T5077",0.045237501,0.051775053,0.04501106,0.481622666264636,0.0460814481513649,12.323643625023
"T5078",0.054016996,0.048926486,0.054015985,0.432626854818932,0.169690291452456,17.8036363589921
"T5079",0.044136598,0.046518821,0.043659574,0.334543745874017,0.427400708104657,29.2287995836183
"T5080",0.055646832,0.05187513,0.05569477,0.371430417249573,0.328067224933179,24.8250146157936
"T5081",0.046722348,0.044117676,0.046365662,0.309017267934366,0.498637849362229,32.3869799051454
"T5083",0.049067401,0.046330183,0.048327934,0.297614017915274,0.531275275845836,33.833905992383
"T5084",0.054314821,0.047605974,0.054551058,0.47350892827165,0.0664521445736916,13.2267446119671
"T5572",0.173218187,0.154352195,0.161565905,0.438633497202886,0.154434701000237,17.1273050982348
"T1588",0.030510678,0.027659453,0.029397431,0.410487410737718,0.226291355326187,20.3129505025395
"T0878",0.080646433,0.079829389,0.080110338,1.84721694827746e-05,4.12580301724393,193.191322329747
"T0880",0.089670022,0.075204115,0.077698402,0.498422086820521,0.0039552521032432,10.4560487014854
"T1957",0.032300685,0.031071097,0.032437694,0.234131028874488,0.725309697614825,42.4360997597327
"T1958",0.036514164,0.033626077,0.034910569,0.37677191688999,0.313969987123777,24.2000369952493
"T0739",0.044030561,0.037787603,0.037887867,0.4920972862363,0.0198104614738708,11.1589630709287
"T0747",0.055260691,0.047322845,0.047045873,0.496300706030244,0.00927288774949336,10.6917972444304
"T0732",0.058588379,0.051243904,0.050311066,0.486561618762967,0.0336913991983904,11.7743513865184
"T0748",0.062594771,0.056868359,0.056434709,0.439290566860978,0.152768126867678,17.0534203025104
"T0733",0.056164215,0.049051856,0.049036071,0.479969099541501,0.0502311370555585,12.5076131893026
"T0741",0.065165113,0.056909573,0.056620032,0.482049562060409,0.0450102685633245,12.2761546573854
"T0782",0.051804234,0.046425351,0.045803868,0.46163465979437,0.0963163581172539,14.550724910252
"T0783",0.052609983,0.045431579,0.044686056,0.49466970408833,0.0133614680015638,10.8730576581293
"T0776",0.053185177,0.050188542,0.050222943,0.330173847815176,0.439433170964918,29.7622388367094
"T0784",0.048549649,0.042827897,0.04295049,0.469273194441124,0.0770969882716424,13.6986660745514
