"","nadA","nadB","nadR","pnuC","pval","z","inv_cof_var"
"T0850",0.284428351,0.279859017,0.107297908,0.271861722,2.7379677244569e-10,6.20482053839994,43.8180825742136
"T0855",0.317856119,0.198971438,0.107297908,0.231233335,0.497510544681066,0.00624017958923387,4.05592451953786
"T0856",0.286725398,0.21097556,0.107297908,0.282683466,0.372388917473115,0.325532836347199,6.10409754445666
"T0859",0.291998344,0.286694822,0.107297908,0.209774596,0.395770111026743,0.264311081456453,5.71137712245062
"T0848",0.237310455,0.228403791,0.107297908,0.290987721,0.296192621558041,0.535382710583896,7.45022575190871
"T0851",0.239302372,0.209518738,0.107297908,0.281815794,0.337656425234889,0.418867663902573,6.7028143393414
"T0854",0.293964501,0.259647347,0.107297908,0.256363884,0.0815092831620597,1.39499095771342,12.9643720578259
"T0857",0.247173974,0.255936445,0.107297908,0.245848929,4.78114724051474e-11,6.47371380464448,45.5429576154892
"T4825",0.066390399,0.063793495,0.074681149,0.064591141,1.45028011377569e-12,6.98245978021524,48.8064206536946
"T4826",0.080012848,0.082764769,0.081701961,0.078376232,2.52546737806571e-07,5.02436783959803,36.2458089133402
"T4827",0.091651428,0.076330188,0.08610846,0.078827342,0.175113907905857,0.934147493870848,10.0081902247185
"T4828",0.104244095,0.070591045,0.071193142,0.070399107,0.488849361736665,0.0279541454454532,4.19521353289099
"T4829",0.097435336,0.091552865,0.100694521,0.085641427,0.0364079233246411,1.79398322321373,15.5237957653634
"T4830",0.076183583,0.093213181,0.07336155,0.08479603,0.177430662686496,0.925201073197721,9.95080144015223
"T4831",0.114540013,0.106254174,0.08473963,0.115555748,0.00255974998674116,2.7994168512021,21.9733710738023
"T4832",0.112950927,0.101108763,0.088356665,0.112423496,0.0280749957477085,1.90986970567778,16.2671751144085
"T5548",0.12005092,0.144011078,0.112412672,0.191767726,0.490937014876128,0.0227194891521616,4.1616346779198
"T5568",0.22667214,0.145812214,0.115215068,0.159650297,0.494674540274031,0.0133493444005685,4.10152782198811
"T5574",0.232692156,0.167831603,0.140742308,0.164431133,0.445457840510487,0.13714563588384,4.89564638198126
"T0933",0.544327181,0.381612088,0.082314163,0.610810621,0.479596523684073,0.0511662472799861,4.34411266922533
"T8138",0.348083242,0.461433105,0.039902115,0.477849932,0.374221790553731,0.320692302571185,6.07304687512117
"T5537",0.144977069,0.100938371,0.096970698,0.164238604,0.487717724894413,0.0307919632388363,4.21341733974662
"T8252",0.065719439,0.068094802,0.431621864,0.099723191,0.494726213366437,0.0132198077362079,4.10069688054281
"T1634",0.120804141,0.080393131,0.069317713,0.101423064,0.439589979117733,0.152008846506903,4.99098971800079
"T8192",0.03244336,0.048457103,0.421334185,0.047230053,0.451838801696682,0.121016957971685,4.79218542749924
"T8188",0.08035383,0.052710762,0.341054651,0.069704155,0.448407160540728,0.129686680381722,4.84779927015404
"T8191",0.054268343,0.060972472,0.420766009,0.056744288,0.0222034889602906,2.010228806308,16.9109506550146
"T0881",0.145622665,0.110475453,0.053799301,0.099828852,0.442063292997318,0.145740072265636,4.95077728583702
"T0878",0.126634526,0.078161337,0.094223042,0.094649044,0.497882826270584,0.00530699244352607,4.04993838519188
"T0880",0.073519946,0.078959295,0.079047141,0.083690169,0.0370999888561777,1.78537828961948,15.4685975248279
"T1081",0.330134129,0.277109559,0.087209545,0.215833952,0.45157153056264,0.121691858709227,4.79651472682972
"T1082",0.308718471,0.261705826,0.080905972,0.354451402,0.340789815808151,0.410308535390181,6.6479099255854
"T1083",0.435719156,0.477549365,0.093633752,0.484644367,0.0169374174260171,2.1215584479923,17.6250991458911
