"","nimR","nimT","pval","z","inv_cof_var"
"T0852",0.034890348,0.034906767,0.332453081728394,0.433149500281016,3005.90860124047
"T1007",0.03084551,0.030902597,0.476438674207771,0.0590938608685548,764.84147327994
"T1008",0.053271717,0.053407098,0.49025269738906,0.024435295760911,557.192763352663
"T5084",0.066396012,0.066545128,0.485379947261592,0.0366552442900292,630.405735083264
"T8139",0.05281833,0.052767088,0.43068768972932,0.174623630454131,1457.01114441701
"T1634",0.054304016,0.054367854,0.447355431460244,0.132345698687771,1203.71277610857
"T1635",0.04400528,0.044004984,4.95107883754707e-269,35.0234211746384,210245.45435007
"T8188",0.031688703,0.031694605,0.115280077807587,1.1989171675849,7593.82699098946
"T8189",0.030852751,0.030760299,0.495975212155244,0.0100888181555783,471.2391886015
"T0878",0.079963073,0.079973655,0.0431508853161212,1.71523707176551,10687.2372830743
"T0880",0.075854863,0.075935511,0.438974609612421,0.153569459245012,1330.86998777699
"T0875",0.049429299,0.049399826,0.371762106868427,0.32718996050807,2371.07673009968
"T0726",0.033080507,0.033099412,0.365200481848713,0.344592209093384,2475.33824402419
"T0728",0.034342591,0.034382163,0.445750539858298,0.136405052473054,1228.0334476088
"T0736",0.034164544,0.034207597,0.452690853156375,0.118865763334622,1122.95088717026
"T0744",0.03049914,0.03049722,0.000116207379656239,3.68089713630127,22464.0311373126
"T0730",0.038612313,0.03864088,0.401061075767096,0.250601590991059,1912.21537573469
"T0738",0.033434794,0.033465203,0.424229244791513,0.191085650695087,1555.63949949214
"T0746",0.043176561,0.04322493,0.443437843764389,0.142258674394025,1263.10405819283
"T0731",0.039129355,0.039195401,0.471539989726222,0.0713992839872058,838.566546079726
"T0739",0.038180186,0.038053844,0.498943277895574,0.00264881260281581,426.664130456863
"T0747",0.04733455,0.047220666,0.488262366244782,0.0294261307638076,587.094187332354
"T0732",0.049945791,0.04999761,0.436808639779693,0.159065486742383,1363.79815476859
"T0740",0.044474305,0.044580925,0.488027912409695,0.0300140789898758,590.616742010192
"T0748",0.056309934,0.056313855,0.00044778083562203,3.32143397897386,20310.3914625715
"T0733",0.048931283,0.048896233,0.397105473695423,0.260846417257798,1973.5948630594
"T0741",0.05633028,0.056253867,0.458058899325775,0.10532516071006,1041.82552442384
"T0775",0.045781069,0.04582901,0.437636795094516,0.156963530529073,1351.20477432535
"T0782",0.0456448,0.045682386,0.413633205368895,0.218208823284174,1718.14166251494
"T0783",0.044456363,0.044531464,0.471587118744722,0.0712808480557389,837.856964817439
"T0788",0.03324165,0.033250053,0.193428172606508,0.865332449707653,5595.23195096028
"T0750",0.042327285,0.042431495,0.489059211292928,0.027427928897186,575.122426860172
"T0766",0.035609205,0.035607091,4.66506177973892e-05,3.90738289729741,23820.9677543272
"T0767",0.035618309,0.035691246,0.481326775164058,0.0468239378269518,691.329090912618
"T0843",0.034643617,0.034536221,0.497024035744814,0.00745970533105333,455.487472263265
"T0752",0.047784201,0.047907757,0.490888491364391,0.022841151122459,547.641817530643
"T0760",0.032671724,0.032564302,0.498759970405482,0.00310829824813616,429.417031541618
"T0761",0.030670531,0.030610966,0.478922334373759,0.0528584769037746,727.483624443253
"T0754",0.05102115,0.050950181,0.459769314319144,0.101014904472902,1016.00162939754
"T0762",0.037819367,0.037792987,0.393687570121988,0.269720692229925,2026.76301193627
"T0770",0.03725855,0.037382758,0.499058925722076,0.00235892558128947,424.92733997354
"T0763",0.03409511,0.034065574,0.419255764038655,0.203797779567827,1631.80125496746
"T0771",0.03627257,0.036251947,0.364489711684076,0.346483445316456,2486.6691447891
"T0764",0.034380433,0.034429285,0.461095661681313,0.0976737965560846,995.984160512138
"T0772",0.035916821,0.03591964,0.00164632499369121,2.93900760121417,18019.1730079896
"T0765",0.03352029,0.033620152,0.49569745860276,0.0107850809985703,475.410685045988
"T0803",0.043014358,0.042940762,0.472384485017017,0.0692772048458265,825.852603805936
"T0826",0.051990546,0.051981862,0.089392154150193,1.34450757580218,8466.09796788101
"T0816",0.053565124,0.053385311,0.499348541157686,0.00163296587964201,420.577921726186
"T0003",0.053286675,0.05329401,0.0498450483436442,1.64635789348461,10274.5637500974
"T0005",0.042395437,0.042390367,0.0283811829574489,1.90513622274209,11824.9737587219
"T0009",0.065759307,0.065971639,0.498142538232243,0.00465598300825474,438.689623837767
"T0050",0.043419233,0.043454582,0.412356253066529,0.221487965415516,1737.78787784805
"T0491",0.051155913,0.051287876,0.490802612097665,0.0230564752135938,548.931881605758
"T1703",0.056324652,0.056423355,0.473588784744705,0.0662515329627952,807.724996352385
"T1998",0.032472139,0.032434654,0.445991307804744,0.135795921192772,1224.38397960185
"T2647",0.049639425,0.049590114,0.432924116115363,0.168934410850009,1422.9255119732
"T4077",0.167358572,0.167356108,1.14007449564239e-57,15.9639031488404,96054.7970738466
"T5742",0.133696643,0.133705253,0.000161023761049201,3.59688763080595,21960.7077774577
"T2410",0.041355489,0.041368909,0.254961155360287,0.65895866750877,4358.79156448394
"T2413",0.045657782,0.045710952,0.446603168114275,0.134248170311673,1215.11099115727
"T2688",0.053651745,0.053746624,0.474074812099858,0.0650306154936379,800.410154072827
"T0320",0.040076977,0.04017914,0.490366619946723,0.0241496499849716,555.48138330315
