"","fnr","ompX","rimM","rplS","rpsP","trmD","ychO","ysgA","pval","z","inv_cof_var"
"T8404",0.30483446,0.311918669,0.310450458,0.308070866,0.308273542,0.310733243,0.049708497,0.197527567,0.0268335159768118,1.92951441771301,2.55598867386856
"T8405",0.194116836,0.192392574,0.195680679,0.194106548,0.190265273,0.195813052,0.076792664,0.17218281,1.7179567302329e-06,4.64287674059593,3.98836618228738
"T8399",0.296633882,0.312288333,0.309224895,0.302077697,0.301202148,0.310212214,0.041353987,0.308038112,0.0154248038366844,2.15900720878508,2.67713737174192
"T8400",0.399552522,0.496973526,0.456715053,0.413391648,0.387253737,0.458348296,0.035140801,0.240111791,0.11584790204224,1.19600193468497,2.16876918092687
"T8401",0.38832968,0.481210872,0.446405426,0.405091659,0.380594865,0.448583431,0.028933159,0.155767326,0.223845392415275,0.759270459448455,1.93821967521888
"T1996",0.315000101,0.165826692,0.399113658,0.065889432,0.312238468,0.306130122,0.063492018,0.159713613,0.443869806110045,0.141164978328952,1.61192326374469
"T1997",0.36250518,0.211666335,0.391160514,0.049936609,0.348716639,0.362141586,0.05265739,0.213335123,0.428238326540822,0.180861036132587,1.63287871812367
"T8221",0.247669509,0.401584084,0.457227371,0.418654068,0.495817076,0.434032387,0.077790885,0.036914353,0.347511367716499,0.392048017040441,1.74436382240634
"T8222",0.226458022,0.34844671,0.539895191,0.544131176,0.474755952,0.507481758,0.067775829,0.036177396,0.42874624637966,0.179567026671126,1.63219561361063
"T8223",0.023431136,0.282511527,0.549083441,0.390510287,0.516924935,0.490697971,0.066799701,0.025194702,0.4949440094042,0.0126738282664188,1.54409309162639
"T0717",0.165805121,0.384877322,0.169108989,0.21596172,0.262546202,0.078344261,0.116311933,0.101684842,0.338759390132842,0.415851350852909,1.75692954563867
"T0928",0.370771422,0.38616598,0.312105271,0.389844847,0.36932981,0.358730901,0.065065241,0.101684842,0.173798636148965,0.93925999592457,2.03323572288228
"T0929",0.404807385,0.414522737,0.290987699,0.416278016,0.387125287,0.369591607,0.052649092,0.101684842,0.241418347035265,0.701747420872163,1.90785340014469
"T0930",0.394452107,0.39486724,0.274808511,0.386502263,0.354438044,0.347513964,0.071731305,0.078238027,0.222408704634666,0.764083626071169,1.94076053441653
"T1008",0.252484387,0.158586339,0.050031568,0.113132414,0.147509823,0.251353812,0.05976817,0.045982834,0.468318213849557,0.0794981190012415,1.57936947556428
"T1009",0.557071415,0.183445366,0.094517656,0.086855373,0.071533794,0.204217853,0.066985872,0.051051372,0.311747172715376,0.490904003369811,1.79654966216559
"T4826",0.07787411,0.077211127,0.378007496,0.366240883,0.372797691,0.370107122,0.080774416,0.082779144,0.465153233256779,0.0874592607489198,1.58357214333354
"T4831",0.105969677,0.10495631,0.411386538,0.41148298,0.318567427,0.379941796,0.096414502,0.105109044,0.365483238013032,0.343840186877797,1.7189150236697
"T4832",0.104174373,0.103769492,0.406377235,0.406563334,0.313233805,0.378438646,0.097041509,0.099962376,0.371056525161851,0.329056410776128,1.71111070347297
"T5538",0.286351994,0.064539461,0.348001494,0.255713571,0.277783895,0.138694042,0.062909205,0.098319821,0.488902393957365,0.0278211616793852,1.55208933286196
"T5540",0.291706345,0.078819613,0.343720681,0.260364621,0.23554087,0.128940067,0.076279053,0.133831518,0.332454980513399,0.433144272636189,1.76605843786523
"T5542",0.293837771,0.115584877,0.317750775,0.2679303,0.130839833,0.15434411,0.140621707,0.125928224,0.0923748547122744,1.326271723596,2.23753829225749
"T5544",0.290117242,0.14611334,0.336570709,0.267211752,0.165104307,0.134775822,0.115676102,0.050726274,0.31171088992238,0.491006599549216,1.79660382244437
"T5546",0.291509068,0.163440978,0.332216139,0.267717753,0.093311062,0.15074028,0.108515272,0.086984437,0.28854142306875,0.557650820616961,1.83178514803383
"T5550",0.302012148,0.122416644,0.338473871,0.273048285,0.099830161,0.080433827,0.10548138,0.11119249,0.454402153853076,0.114546852694964,1.59787161861317
"T5552",0.29253989,0.124360596,0.330367858,0.273390191,0.205546437,0.145448081,0.084969943,0.094728153,0.233678341189979,0.726786617425814,1.9210715323749
"T5556",0.208909284,0.141170746,0.261065262,0.129644957,0.252415526,0.154739639,0.107435868,0.155273426,0.00671902597653295,2.47194412012928,2.84233602198603
"T5558",0.207295116,0.217562046,0.250568331,0.148732156,0.231216678,0.143628222,0.140267751,0.119939111,0.000192734641590008,3.54983731398495,3.4113532720362
"T5564",0.071661764,0.22533504,0.281733324,0.147906144,0.264006547,0.137663407,0.139829607,0.10887997,0.0139522414040641,2.19862661625984,2.69805236259483
"T5566",0.207762096,0.220994053,0.258461668,0.094657184,0.243066336,0.158476212,0.117630174,0.160600262,0.00670202225353465,2.47284985271902,2.84281415606317
"T5568",0.215179977,0.145460414,0.265196827,0.148186832,0.237461975,0.128473597,0.147332849,0.132550691,0.00139317673855097,2.9903747775815,3.11601433142034
"T5570",0.22153292,0.237285098,0.257021098,0.15897403,0.233425536,0.136895689,0.168271321,0.141761006,1.02382671610821e-05,4.25963025676042,3.78605127616628
"T5572",0.165260504,0.206408788,0.269287346,0.175495421,0.242097482,0.142075891,0.104470495,0.143617821,0.00149999517867634,2.96773891338131,3.10406491261602
"T5574",0.219168715,0.172569098,0.29461204,0.15226962,0.256017282,0.11375177,0.128774655,0.12340774,0.0324330030052907,1.84618046795752,2.51199688025117
"T5576",0.233350496,0.245304248,0.255697002,0.13756675,0.249365373,0.14804496,0.14958375,0.153879696,0.000133697799628519,3.64499634745675,3.46158749918618
"T5578",0.162998721,0.138781741,0.272585916,0.157787448,0.220941358,0.119529956,0.114713504,0.122763182,0.0126801322658784,2.2358703574968,2.71771324489842
"T8388",0.29436024,0.346817823,0.326570426,0.305505719,0.30346381,0.33030113,0.044455922,0.382900205,0.0222982485937772,2.00844055308826,2.59765359277177
"T8389",0.280795538,0.318080852,0.306000509,0.290095798,0.287649562,0.308562299,0.044264822,0.296354062,0.0133469433034253,2.21596518477113,2.7072053516204
"T8394",0.269129173,0.326646182,0.303800373,0.280935639,0.277500105,0.307899493,0.041957013,0.363132878,0.0243040370660066,1.97201342371504,2.5784237979263
"T8395",0.387268145,0.532913668,0.466556153,0.402370219,0.350633042,0.466124488,0.063924227,0.461393516,0.0313496965636913,1.86131721769573,2.51998753439003
"T8396",0.434615511,0.542903571,0.502803486,0.450578776,0.410955419,0.503544342,0.053689075,0.076087131,0.347238662070097,0.39278629999675,1.74475356022077
"T8397",0.282186198,0.319005122,0.34665288,0.291036378,0.288783939,0.308891336,0.042525274,0.463445176,0.0662055663506299,1.50466147420537,2.3317098167717
"T8398",0.433716263,0.522251065,0.492026458,0.449683618,0.420273237,0.493513695,0.036454849,0.393000908,0.0507284209518611,1.63783153187862,2.40200997307494
"T8498",0.408912831,0.541575496,0.4858945,0.424650795,0.370978183,0.485484236,0.061208567,0.207416934,0.134869709480809,1.10366284440021,2.12002359506968
"T8499",0.310155195,0.44300954,0.376915119,0.320861056,0.269375141,0.375053454,0.054945832,0.239288432,0.0652272415175351,1.51231210495718,2.33574856652572
"T8500",0.272247996,0.390227601,0.347288896,0.294291302,0.379628335,0.351045014,0.063162358,0.226168068,0.0300991506623535,1.87933840188045,2.52950087460397
"T8213",0.108096084,0.398766239,0.357062297,0.066615659,0.417212459,0.360237969,0.138854806,0.04266557,0.493345199911057,0.0166818837530186,1.54620893457265
"T8215",0.10643374,0.328824186,0.379287968,0.369918689,0.388706826,0.347107903,0.072588274,0.052503864,0.263079216889613,0.633881080188917,1.87202692052067
"T8217",0.087576136,0.352691009,0.348643462,0.36792786,0.363677015,0.335499754,0.073776865,0.050809268,0.249220529685091,0.676944671906493,1.89476008803309
"T8219",0.115242792,0.254613186,0.385671492,0.3793557,0.373692536,0.360456849,0.06648386,0.040507976,0.343710628322425,0.40235707393501,1.74980594899013
"T8138",0.258259326,0.489704327,0.416143245,0.240476509,0.16146988,0.445826521,0.146272052,0.052169968,0.429633611482643,0.177307037864025,1.63100257090149
"T8402",0.289916623,0.297918378,0.296659781,0.292896678,0.293560292,0.297217534,0.042116478,0.041936128,0.307280271272272,0.503574319422688,1.80323829183574
"T8403",0.37449451,0.471491026,0.432341148,0.390113862,0.367435524,0.434815644,0.028132608,0.226254391,0.128009787091155,1.13584945750874,2.13701483147775
"T8406",0.290027621,0.34299003,0.322847802,0.301759503,0.299423416,0.326754465,0.042981041,0.361554399,0.0205325091124361,2.04287293449844,2.61583036491801
"T8407",0.309226537,0.305945626,0.308797913,0.309750789,0.309643825,0.307900274,0.055473119,0.260719691,0.00774774005012051,2.42058678390133,2.81522460649801
"T5535",0.314233598,0.292916006,0.344250945,0.279061014,0.261624982,0.152549825,0.142420786,0.079259157,0.0774428085788721,1.42248460647354,2.28832884399903
"T5543",0.321528617,0.330299519,0.32739199,0.289947487,0.331533684,0.138479248,0.127953156,0.081085833,0.148803605399389,1.04157834941085,2.08724933801808
"T5537",0.278042481,0.264926748,0.361516434,0.252239621,0.284691204,0.10597848,0.108104701,0.106776938,0.173160371739839,0.941749816513425,2.03455009324166
"T5539",0.316795005,0.305118619,0.318814492,0.284290471,0.307089707,0.124221766,0.13852785,0.100169918,0.0798522121924245,1.40606634671576,2.27966168377273
"T5541",0.296706902,0.285729193,0.335922603,0.266190242,0.293929543,0.120273146,0.087512526,0.107234134,0.165968642919404,0.970219112714347,2.04957896690694
"T8304",0.120561878,0.304286028,0.238714169,0.156243626,0.187205594,0.268722279,0.075290216,0.048964849,0.245458818352385,0.688850048141078,1.90104490779485
"T8306",0.245992723,0.283014255,0.088144097,0.167862545,0.149208213,0.086549733,0.065762273,0.057572201,0.44695502605758,0.133358262620143,1.60780211711358
"T8192",0.037332899,0.159783287,0.205610355,0.121855547,0.314678987,0.234207318,0.062306268,0.034211431,0.421961511153192,0.196877984508138,1.641334027027
"T0883",0.38410782,0.160102746,0.152521553,0.391378591,0.391237519,0.334003401,0.067449953,0.072081765,0.487812546990299,0.0305541676545427,1.55353208020763
"T2299",0.314653995,0.055141634,0.16202478,0.152155445,0.332193066,0.332027582,0.105607923,0.101684842,0.460347523580681,0.0995582419329398,1.58995916668704
