"","agaB","agaC","agaD","agaI","agaR","agaS","kbaY","pval","z","inv_cof_var"
"T8404",0.045381159,0.046692123,0.045765835,0.046268112,0.046914973,0.058499931,0.045368615,0.0117879083341188,2.26397233003239,10.0958307606834
"T8405",0.150524063,0.193817227,0.167029448,0.187240843,0.195790606,0.093542352,0.193865028,0.290563898218891,0.551738108676127,4.53285049408996
"T8399",0.045346213,0.049347031,0.046907297,0.048139358,0.049777454,0.046365915,0.042644392,2.79519770623216e-07,5.00485548929853,19.0008501428789
"T8400",0.035143569,0.035929077,0.035159021,0.035352996,0.036702397,0.035143054,0.037026738,7.58591471158854e-39,12.9835325235004,44.9232516117794
"T8401",0.037007584,0.044526985,0.03831976,0.041685208,0.047242234,0.039632505,0.049375866,0.024685842683325,1.96536778416219,9.12567657530846
"T1995",0.054800416,0.064041561,0.053562291,0.055717528,0.053914369,0.054479186,0.058396301,6.77546865098735e-05,3.81622422219143,15.1390348604258
"T1996",0.049350702,0.061671225,0.047451241,0.050723967,0.077446238,0.049136671,0.054187638,0.223934021084634,0.758974113580535,5.2061519568406
"T1997",0.041313811,0.048313242,0.041127642,0.041855635,0.043687875,0.04120512,0.043186139,8.43774699554546e-06,4.30266627256568,16.7194655592876
"T8142",0.034645574,0.048491807,0.033836923,0.036628078,0.073957639,0.03333847,0.04610144,0.467915419553245,0.0805110110589662,3.00185256610091
"T8144",0.04868682,0.055731103,0.04842633,0.049345567,0.106767791,0.048271171,0.057215791,0.495145809280044,0.0121679519650022,2.77980870997637
"T8221",0.057265253,0.112970669,0.047567814,0.06322708,0.059311246,0.06407318,0.075141332,0.441451412852006,0.147290379505048,3.21881605406746
"T8222",0.050828304,0.100454101,0.04428426,0.054921726,0.03803494,0.056295393,0.065740678,0.484359931850111,0.0392138847770186,2.86767986022454
"T8223",0.048692933,0.101324634,0.041234303,0.053541117,0.043869457,0.054388609,0.064615592,0.487592986190662,0.0311047865774021,2.84133372562352
"T0717",0.098226074,0.0861592,0.123227455,0.102727165,0.132954677,0.09701547,0.11356104,0.118461103524735,1.18271477379608,6.58286835552651
