"","csgD","pepD","yhbS","yhbT","pval","z","inv_cof_var"
"T8405",0.193658878,0.172484551,0.172343001,0.1797075,3.9503149311808e-06,4.46785914213943,41.5148269761602
"T8221",0.024648479,0.118828644,0.067990845,0.128993535,0.488503978730139,0.0288202411760813,3.22095529246285
"T1992",0.048545307,0.133075665,0.07739745,0.13751218,0.47734267913098,0.0568240468573622,3.46253329286772
"T1993",0.040000256,0.125883913,0.077766628,0.130655575,0.461366283859812,0.0969922264727219,3.8090486423107
"T1994",0.043062773,0.135519525,0.087113175,0.144038819,0.453470800695736,0.116897093528744,3.98076023167274
"T5548",0.135865135,0.130078139,0.087881525,0.088832321,0.441373718583774,0.147487257014002,4.2446497405107
"T5556",0.081708782,0.124100128,0.229488201,0.149345149,0.496562508660048,0.00861661961045131,3.04666646349757
"T5558",0.095625085,0.171245642,0.215759646,0.181110799,0.276113464588257,0.594426439246325,8.10022120015863
"T5570",0.096953296,0.103761065,0.205905292,0.155627812,0.497022391355395,0.00746382731881612,3.03672177027034
"T5578",0.100089855,0.205476566,0.200234345,0.149573471,0.363014898201429,0.350411634182871,5.99519985601261
"T8407",0.303344548,0.080544055,0.071715032,0.067718208,0.170903585056705,0.950600587847793,11.1727978204344
"T5537",0.057620949,0.126346467,0.144073442,0.143811841,0.109192044700918,1.23083631748626,13.590283071495
"T5539",0.03479113,0.152788958,0.120171375,0.076578022,0.496541344508668,0.00866967225229948,3.04712412811929
"T0510",0.049306568,0.119777716,0.076882835,0.110798508,0.42834839944915,0.180580581635531,4.53013305230793
"T0511",0.048429959,0.122092608,0.084854494,0.108849075,0.381364769781178,0.301898368440304,5.57669467623151
"T0347",0.045907237,0.188225671,0.146196023,0.223927123,0.416855691452644,0.209943996767544,4.7834398775796
"T0348",0.047492682,0.185878128,0.160755175,0.226657712,0.373924700216585,0.321476391460504,5.74558670851204
"T0349",0.053907109,0.188683766,0.151783555,0.224485728,0.398994217096191,0.255951309977961,5.18032717410882
"T2065",0.058919533,0.052894795,0.067355908,0.087997912,0.455586625319343,0.111558787680336,3.93470873184856
"T0733",0.051517259,0.155161122,0.086377938,0.098003815,0.495294201495215,0.0117959611386776,3.07409341316772
"T0845",0.052105197,0.076129466,0.124537694,0.125258537,0.459105811206112,0.102686709184389,3.85817274217347
"T0846",0.045691112,0.098858085,0.122781579,0.148957524,0.410245573171681,0.22691331741722,4.92982764349379
"T0841",0.038986107,0.09684966,0.103791652,0.152799194,0.458876405023927,0.103264802154577,3.86315972663463
"T0847",0.039908478,0.143253814,0.101102388,0.115057285,0.381248727301575,0.302202820046266,5.57932106248149
"T0837",0.213620095,0.167137661,0.115724359,0.21880189,0.48741239679375,0.0315576793053253,3.24457011242772
"T0832",0.207514025,0.194992493,0.099981311,0.155914936,0.491909533889475,0.0202811813857504,3.14729212635737
"T0821",0.060504526,0.070454862,0.091459133,0.060554264,0.420681214690959,0.200151074968453,4.69896012888862
"T0823",0.041756605,0.071436568,0.094626495,0.10770196,0.408498110612528,0.231410097687188,4.9686196276349
"T0824",0.059336243,0.107446382,0.094921039,0.09058623,0.171478444047063,0.948339028595255,11.1532882234802
"T0802",0.045246793,0.123879697,0.074398749,0.129420596,0.470734681343955,0.0734231922087838,3.60572769965889
"T0813",0.047116405,0.10090594,0.096910943,0.093225395,0.00489630217998178,2.58306791623304,25.255462062788
"T0807",0.048680781,0.107808908,0.069443243,0.127329064,0.478038326489949,0.0550775857927729,3.44746724875321
"T0819",0.041740328,0.218024072,0.162103398,0.163662184,0.376281266419915,0.315262265664772,5.69197984874866
"T0831",0.082048862,0.082455544,0.109216403,0.105630806,0.327700883359353,0.446270633020097,6.82213836299524
"T0820",0.106005285,0.068483551,0.074153759,0.113005693,0.474862936308867,0.0630510255318303,3.51625102944476
"T5129",0.073874728,0.064927878,0.085942881,0.113097984,0.468995969394006,0.0777939754920559,3.64343275652842
"T5131",0.069607859,0.090007261,0.070985718,0.066655246,0.358095898714274,0.363553042173461,6.10856569996265
"T5133",0.064845566,0.064906443,0.06035286,0.070769346,0.134368897158807,1.10597395104127,12.5131437299745
"T5137",0.08763462,0.152321886,0.155637109,0.131220121,0.174443728840626,0.93674944122071,11.0533093357774
"T2493",0.057875027,0.142922554,0.127022599,0.104729845,0.340881430907272,0.410058735554864,6.50975232946535
"T0023",0.109098657,0.112353003,0.060876066,0.117618974,0.494449017979232,0.0139146974967042,3.09237093225146
"T1867",0.090216214,0.144322767,0.092557204,0.089498492,0.474166658311583,0.0647999055889161,3.53133794127194
"T2825",0.038673743,0.120167081,0.084723611,0.093986656,0.388322467125093,0.283693946453988,5.41965216879401
"T2323",0.012492918,0.368807462,0.416773812,0.315683583,0.309607717136472,0.496962587518564,7.25943824800838
"T2324",0.022470286,0.413117782,0.413915559,0.405789394,3.88409992424923e-25,10.2906108304082,91.7454536886692
"T2325",0.020956766,0.419747278,0.413208478,0.421905294,1.83466082698369e-25,10.3625791197191,92.3662962849277
"T2329",0.059220288,0.29688708,0.474279974,0.426253664,0.436549230353072,0.159724042708345,4.35021175779746
"T2331",0.061061961,0.271063891,0.352539492,0.428138059,0.431412042391929,0.172780347937072,4.46284345313663
"T2335",0.069522765,0.22179093,0.244453556,0.245606952,0.0442272535716719,1.7036071374933,17.6686940791609
"T2336",0.066409354,0.216206011,0.260303206,0.24427511,0.183207608021361,0.903208559251256,10.7639651198442
"T2337",0.056096083,0.208469417,0.235770709,0.260501941,0.241425578149189,0.701724234882248,9.02583778286844
"T2666",0.042587581,0.182066398,0.107197365,0.163307796,0.458448823196822,0.104342380847689,3.87245558123824
"T5142",0.135446071,0.081934853,0.134687292,0.132473149,0.457186995179732,0.10752311266075,3.89989452435792
"T5144",0.138739604,0.081278942,0.14091772,0.138767483,0.472993115942093,0.0677480084140089,3.55677008408779
"T5146",0.125450087,0.081826435,0.140989588,0.14520743,0.477383917914161,0.0567205098371084,3.46164011903965
"T5148",0.130214748,0.083130613,0.137539299,0.144726492,0.470244104281733,0.0746562617640553,3.61636491379017
"T5150",0.134089416,0.079795167,0.141754251,0.135082277,0.475827472408427,0.0606286641527344,3.49535425473921
"T5152",0.135446071,0.081934853,0.134687292,0.132473149,0.457186995179732,0.10752311266075,3.89989452435792
"T5532",0.085365355,0.213664356,0.25419229,0.1294914,0.492698466391543,0.0183032524989855,3.13022929886721
"T5716",0.138974884,0.109425319,0.186828368,0.174872036,0.463216402704059,0.0923338366760667,3.76886251528959
"T5718",0.13005476,0.089068133,0.138296004,0.085043405,0.475061823497791,0.0625515051922307,3.51194186067765
"T5719",0.108146624,0.134996104,0.214930412,0.171499403,0.436862414360028,0.158928979255096,4.34335305289796
"T5721",0.111031004,0.118819804,0.18060768,0.114390145,0.465179366693224,0.0873935031127485,3.72624416844264
"T5723",0.108833646,0.119687043,0.093772748,0.136167477,0.386835366023305,0.287576765872813,5.4531477501378
"T5724",0.165509891,0.10095419,0.101540035,0.138442624,0.394025034849696,0.268843561549952,5.29154364200339
"T5730",0.223831948,0.091200251,0.134400984,0.078329876,0.477951930306689,0.0552944789314678,3.44933830197161
"T5732",0.123330065,0.107444268,0.20968675,0.171314326,0.491674573759841,0.0208702637824864,3.15237391235092
"T5734",0.079514229,0.102173018,0.115929606,0.076668595,0.410135721303726,0.227195865356676,4.93226507528464
"T5736",0.137825541,0.115939356,0.103310772,0.15277218,0.414957684142751,0.214810112527107,4.82541797613924
"T5740",0.326886325,0.084742207,0.107092603,0.083060388,0.327368015600661,0.447192562202346,6.83009148947017
