"","phoP","slyB","pval","z","inv_cof_var"
"T8405",0.195700088,0.194096958,0.29387899452046,0.542087848950893,171.931243575436
"T1995",0.134393399,0.138970955,0.474320036483881,0.0644146402937547,42.2272908180871
"T1997",0.143721232,0.136334076,0.496957851333135,0.00762560976812123,26.8072052890296
"T8222",0.605513329,0.605426838,6.64998709285232e-290,36.368713477959,9900.03588461983
"T8223",0.563729873,0.581110285,0.467946420217765,0.080433051903026,46.5768152732214
"T4827",0.221683386,0.224073404,0.346572568857023,0.394590483729886,131.880868248251
"T5080",0.424023854,0.420647572,0.287604627032213,0.560396154446788,176.902549372096
"T5082",0.44649913,0.455343254,0.430757733405616,0.17444536234034,72.104242917427
"T5084",0.406375097,0.384336228,0.49906998228354,0.00233121081549638,25.3696022181764
"T5085",0.247006757,0.252875885,0.448007148369255,0.130697896098907,60.22537009853
"T5087",0.247006757,0.252875885,0.448007148369255,0.130697896098907,60.22537009853
"T5556",0.177162533,0.1730831,0.447301726728926,0.132481501825294,60.7096775888398
"T5558",0.164701546,0.160292463,0.459834424708977,0.100850863473593,52.1209212003724
"T5564",0.166906088,0.169032644,0.374376999557394,0.320282749176004,111.703879634682
"T5566",0.174184766,0.177378787,0.422487136472036,0.195534830694302,77.8307257041625
"T5568",0.148994372,0.14815157,0.204108346600171,0.827035936357866,249.30400092817
"T5570",0.15583806,0.15242248,0.442779346364487,0.143926268058849,63.817307223437
"T8212",0.501061894,0.481299362,0.484705533696359,0.0383469377257702,35.14905406314
"T8213",0.406517771,0.399019448,0.425179970502567,0.188659187170173,75.9637628377773
"T8219",0.507485113,0.486656293,0.486760341721927,0.0331929959811631,33.7495897338846
"T8138",0.501093193,0.507686962,0.379305319256534,0.307305777501495,108.180205937897
"T8140",0.584007025,0.590275252,0.345774139926593,0.396754807139793,132.468553084291
"T8141",0.554909024,0.579701479,0.488800588105052,0.0280764507962695,32.3602797978973
"T8218",0.494072101,0.489384707,0.324457606663393,0.455269712038091,148.357270146456
"T8220",0.48289221,0.46584299,0.478542575347134,0.0538117465413104,39.3482571912602
"T8407",0.294567271,0.309538546,0.49442321803308,0.0139793746614144,28.5324609797722
"T8254",0.395112392,0.382603386,0.47177634329966,0.0708053339559327,43.9625738815356
"T8256",0.435065811,0.424369772,0.452976722542848,0.118144145789551,56.8166148919531
"T1637",0.167712512,0.158855941,0.498036310212683,0.00492226022003829,26.0731571663458
"T1718",0.216216786,0.212582596,0.414430587626186,0.216162381853105,83.4317828128971
"T2299",0.331172101,0.32497187,0.426816847451065,0.184484105789384,74.8300912222092
"T0150",0.318197842,0.309731291,0.459363369110823,0.10203771605555,52.4431906273157
"T0345",0.31737377,0.314841423,0.288068440229688,0.559036396992654,176.533330597846
"T0346",0.34997045,0.332295832,0.496240664887652,0.00942339515140599,27.295363021545
"T0875",0.110928315,0.109582814,0.368554151085459,0.335685154098659,115.88613805787
"T1082",0.301631179,0.300808702,0.0346585198251294,1.81634778367998,517.93463539077
"T0332",0.232564512,0.229018831,0.402101776150763,0.247910633558279,92.0524750867482
"T0333",0.22468343,0.224100593,0.0278050812986948,1.91407821523427,544.471654942082
"T0334",0.230732631,0.229045145,0.268146074883984,0.618429662548401,192.66055140515
"T0009",0.363062426,0.34679896,0.490998955282549,0.0225641877751852,30.863519482445
"T2817",0.343087917,0.339823898,0.325005390582647,0.45374721282565,147.943861643854
"T1075",0.329477794,0.33353939,0.369189863016119,0.333999778208068,115.428503191752
"T1077",0.262967847,0.270275846,0.460602470509539,0.098916030261151,51.5955504845112
"T1079",0.299003069,0.290258763,0.466374205390181,0.0843874177535731,47.6505553787352
"T2329",0.357701321,0.34972942,0.444333143858069,0.139992029747262,62.7490324053101
"T2330",0.364377938,0.357451986,0.4284564530491,0.180305285943905,73.6954044907861
"T2331",0.33724675,0.342199158,0.395052633963727,0.266173919509646,97.0115565995874
"T4077",0.073139702,0.076698432,0.492601867218313,0.0185454318196716,29.7722953502341
"T5144",0.143179285,0.139756715,0.450587332274416,0.124177591173263,58.4548933233792
"T5148",0.143608008,0.148510877,0.474462273042363,0.0640573697762313,42.1302801474306
"T5724",0.116091743,0.113151744,0.455429708966575,0.11195458259959,55.1359453525495
"T8378",0.282928972,0.296293636,0.491318599804782,0.0217627609423814,30.6459057955633
"T8379",0.239614373,0.248351408,0.478331538088707,0.0543415125329841,39.4921060442232
"T2411",0.273696734,0.283171804,0.475301326235758,0.061949996506752,41.5580591435459
"T5664",0.423949965,0.403082296,0.495169875672542,0.0121076220211738,28.0242187094852
"T2670",0.310815602,0.319457781,0.460640941372746,0.0988191256516397,51.5692377027469
"T2433",0.265137748,0.255232423,0.481772085441351,0.045706515171181,37.1474208712286
"T2434",0.273554611,0.269494739,0.398500945951571,0.257229137773005,94.5827548021083
"T0068",0.427660121,0.415333238,0.465340649695873,0.0869876869555485,48.3566138044894
"T0065",0.392437478,0.401779478,0.448167640957921,0.130292160878182,60.1151996704064
"T0257",0.357921892,0.378464991,0.499103316614414,0.00224765382020456,25.3469137517239
"T0605",0.029661652,0.030746855,0.478523083266442,0.0538606767987579,39.3615433619839
"T0583",0.239218504,0.228522281,0.490913870310885,0.0227775189869289,30.9214459076834
"T0575",0.377877469,0.368233797,0.456055441930504,0.110376381042401,54.7074118352716
"T1096",0.2520704,0.244748718,0.465889950590187,0.0856056571950784,47.9813473681213
"T1094",0.267350054,0.274599906,0.458756364597774,0.103567312219101,52.8585261850557
"T0112",0.232305735,0.241465402,0.482613549119454,0.0435951744934779,36.574122585806
"T0115",0.29396877,0.277720514,0.499790332667127,0.000525558089041126,24.8793082437944
"T0116",0.182414602,0.192396433,0.49733370073763,0.00668347087643662,26.551383660177
"T0121",0.169624208,0.173508226,0.444740385165988,0.138961249468098,62.469141730663
"T0123",0.18402844,0.193346146,0.494267595503118,0.0143695016868173,28.6383932706254
"T0110",0.252476382,0.240182184,0.494712574949632,0.0132539971725237,28.3354971856025
"T4024",0.171724756,0.167531635,0.452402110535372,0.119594696600229,57.2104870422235
"T4027",0.189088775,0.17891138,0.498778525996125,0.00306178605863571,25.5679773732081
"T5043",0.17044305,0.179526117,0.49631507497903,0.00923686859365122,27.2447149395581
"T6981",0.18976807,0.186343984,0.422717715513364,0.194945733228266,77.670766408729
"T6984",0.205135472,0.196516718,0.487930599810294,0.030258116293893,32.9526735798965
"T4840",0.165392235,0.173310635,0.491906174715595,0.0202896033186019,30.2458951536101
"T5044",0.200480841,0.19732392,0.406309964084357,0.237047515933883,89.102782138481
"T5056",0.17332849,0.176253374,0.412878910408341,0.220145524662954,84.5133368072834
"T4841",0.187525536,0.189609978,0.351949631254797,0.380062175272703,127.935955702136
"T4850",0.172179773,0.171737854,0.0264626459501447,1.93552999209195,550.296516378066
"T7010",0.119274023,0.116350421,0.452725975855852,0.118777100089544,56.9884827571295
"T0409",0.508080758,0.516624737,0.412460018568094,0.221221412962554,84.805475789865
"T0410",0.346394447,0.336805254,0.462381338797687,0.0944361789109141,50.3791238200881
"T1714",0.042175199,0.042330035,0.0917323226076571,1.33016277765942,385.919450303249
"T5743",0.150736726,0.146000395,0.471280191494179,0.0720521788698608,44.3011331954785
"T0864",0.152731055,0.153302844,0.0963407950595463,1.30268715204991,378.458916236344
"T0865",0.060987157,0.062453127,0.44900411128961,0.128177857610884,59.5410969446806
"T1660",0.23857902,0.239436196,0.0867368176273949,1.36112675697078,394.327186883391
"T1651",0.67280653,0.679222424,0.323594211467265,0.457671560623117,149.009450862804
"T1654",0.368667449,0.361719917,0.427528543459241,0.182669833392534,74.3374567244285
"T1655",0.328752702,0.330116188,0.121549104463834,1.16727778011595,341.690827798645
"T8319",0.369979656,0.370245306,3.88300995024254e-13,7.16522270817191,1970.32972043569
"T6034",0.340443584,0.340925957,0.000167041139288432,3.58732931783356,998.814243199941
"T6045",0.3377656,0.343363723,0.410698985037558,0.225747296624234,86.0344017375648
"T6058",0.375371517,0.364353392,0.466634014112045,0.0837338688772538,47.4730954101993
"T6069",0.388948615,0.404069398,0.481864265568286,0.0454752135997281,37.0846149035656
"T6030",0.344706898,0.346438086,0.171424459956706,0.948551201595696,282.299383411547
"T6054",0.370813337,0.385361643,0.482350732853285,0.0442545930220032,36.75317635755
"T6065",0.38644874,0.396875762,0.458372781469586,0.104534031546169,53.1210222088123
"T6036",0.286082796,0.285102267,0.076951865837423,1.42587740816129,411.909113712889
"T6047",0.33075203,0.328845382,0.209030800623133,0.809788746943959,244.620822972205
"T6071",0.399473863,0.406506744,0.417872928322312,0.207338054453149,81.0356883209812
"T6038",0.330973092,0.335492232,0.384781258147428,0.292947192071239,104.281378763679
"T6049",0.319779832,0.324021239,0.380495473302565,0.304179756434439,107.331388626288
"T6062",0.373250112,0.377789026,0.367004718778061,0.339796959813223,117.002628253434
"T6073",0.406052217,0.408985801,0.26356082908642,0.632405932846839,196.455567474
"T6032",0.343639661,0.343818628,1.845280436096e-23,9.91203373364457,2716.17906057944
"T6043",0.328259776,0.341250771,0.482807754608269,0.0431079158680514,36.4418158778149
