"","ihfA","pspA","pspB","pspC","pspD","pspE","pspF","pspG","pval","z","inv_cof_var"
"T8404",0.309242167,0.047193798,0.047957712,0.048169868,0.047416755,0.047904204,0.046423471,0.045584275,3.4257160566176e-08,5.39502419064973,49.9745896973447
"T8405",0.195682133,0.194764689,0.174805036,0.169059241,0.190042759,0.179367023,0.190837918,0.175820454,0.0516337470680898,1.6292150874274,18.4190242608411
"T8399",0.305522371,0.050691553,0.054479973,0.057649815,0.051085831,0.054456713,0.04849009,0.045389122,0.183191016656835,0.903271095225352,12.335982736095
"T8401",0.433464122,0.05046593,0.065361749,0.067617849,0.054923331,0.061967686,0.042969846,0.040465296,0.463725850380451,0.091051461141226,5.52999520204192
"T5568",0.147770204,0.12280829,0.123435383,0.140608038,0.095602031,0.142550704,0.150731553,0.118524067,0.383189220851025,0.297115355169878,7.25670585409219
"T5570",0.144626524,0.174657994,0.109595648,0.136682175,0.156102778,0.167841598,0.150591137,0.107807767,0.492965052996422,0.0176349110741549,4.91480184351999
"T8388",0.314882367,0.046729893,0.046796875,0.046351945,0.04685715,0.046656986,0.046774107,0.047302921,2.03407327212499e-68,17.4404560636382,150.909183900165
"T8389",0.297645282,0.046953088,0.047422975,0.048374355,0.046842334,0.047574734,0.046683852,0.045833072,7.40613951849833e-10,6.04639488911461,55.4327449397974
"T8394",0.291422999,0.048225874,0.048813236,0.050328586,0.047949145,0.049107699,0.047916234,0.046256151,0.000111426459796391,3.69159409616663,35.7007116701829
"T8397",0.298196884,0.048623505,0.050238728,0.052117585,0.04862577,0.050379716,0.047696726,0.045826115,0.0147624578598057,2.17640599770781,23.0042058519203
"T8403",0.418583558,0.050248017,0.06459908,0.066201383,0.054587073,0.06151036,0.042209847,0.039450101,0.464420746287847,0.0893025185246879,5.51533995222226
"T8406",0.311267964,0.047145876,0.047517537,0.048101277,0.046774968,0.047633323,0.04672735,0.045642139,1.10227474438585e-09,5.98196995109283,54.8928967181365
"T8407",0.309685511,0.055915748,0.06857058,0.073046452,0.058968462,0.067027539,0.04932301,0.045997487,0.431626424117114,0.172234917009283,6.21027128183946
"T8252",0.068384589,0.089880768,0.069399679,0.077497619,0.068356705,0.104036655,0.071185855,0.067051801,0.471617050741566,0.0712056290172943,5.36369722010419
"T8306",0.240527129,0.084732006,0.065933168,0.066843125,0.053086174,0.058764318,0.072412639,0.057973502,0.451654308820643,0.121482824960047,5.78499455702387
"T1637",0.280000961,0.074092114,0.071735371,0.060155558,0.050586814,0.050132003,0.051476492,0.050497136,0.470648805310954,0.0736390342235666,5.38408791838849
"T0878",0.092024418,0.090374906,0.089604826,0.090635894,0.082065577,0.124817871,0.079525114,0.079841028,0.455790537302491,0.111044480344433,5.6975265368619
"T0332",0.299473114,0.175421515,0.231860351,0.22922261,0.312825972,0.229314296,0.043933835,0.25869298,0.473450598369748,0.0665986798521872,5.3250933286542
"T0333",0.304827643,0.165722693,0.226039247,0.226482359,0.290921813,0.222761706,0.041407649,0.229073898,0.454746488079638,0.113678096813212,5.71959490372206
"T0334",0.296412279,0.168576127,0.231639513,0.230950669,0.292267023,0.228476914,0.039422496,0.234615892,0.446219677126797,0.135218204394105,5.90009005247948
"T5127",0.149682335,0.075547292,0.054966743,0.055325013,0.055160114,0.067952385,0.14874862,0.054909522,0.404678222679827,0.241256342327906,6.78863572981397
"T0043",0.461245432,0.050670487,0.033130194,0.044730929,0.034276465,0.037746262,0.042876099,0.032170919,0.477396171869237,0.0566897443037298,5.24206148727969
"T0032",0.262741176,0.055639494,0.053677528,0.056326341,0.051224758,0.048032438,0.056772743,0.053282277,0.0656833015133458,1.50873466521115,17.4094595848703
"T1863",0.33869674,0.084452556,0.082348924,0.072950181,0.073822455,0.097929785,0.096804122,0.091114368,0.323116634291495,0.459001249801023,8.61322733493646
"T1867",0.315564972,0.087826235,0.086710604,0.083064358,0.089114621,0.111727432,0.131235081,0.106740949,0.354291789805669,0.373759061742877,7.89894114318079
"T0014",0.362194795,0.039296313,0.051175394,0.046341345,0.040080009,0.039292069,0.047428664,0.041287277,0.311961021407873,0.490299412317321,8.8754900222512
"T0707",0.278241292,0.065954498,0.063863374,0.055089411,0.061275087,0.069470948,0.124489707,0.087523884,0.43819791634057,0.155539732983423,6.07037412891376
"T0709",0.256828887,0.091459596,0.08893563,0.076611919,0.074071743,0.09187259,0.122092221,0.090336459,0.240266219392567,0.705446461536094,10.6783128961681
"T0711",0.248882472,0.089543762,0.105504354,0.093777605,0.087666412,0.10485258,0.115876562,0.095601618,0.170639620486204,0.951640684228027,12.7412952968418
"T1702",0.66324956,0.09520783,0.093722471,0.084586802,0.074454433,0.085228016,0.049524177,0.065835943,0.378601541751529,0.309155709241338,7.35759789890018
"T2000",0.237781939,0.067661597,0.067304314,0.064891474,0.070350101,0.07331049,0.067425884,0.066288508,0.0175313161533884,2.10763432282529,22.4279341856066
"T2936",0.560244886,0.043878039,0.035637201,0.064362723,0.049444102,0.048502385,0.047640974,0.047851087,0.481785473254234,0.045672921855295,5.14974611702461
"T2938",0.560288858,0.04699994,0.041963886,0.065665181,0.049367533,0.051039968,0.049386838,0.049585662,0.423887035329525,0.191959320063072,6.37555174991396
"T5528",0.226344126,0.044900685,0.051020473,0.060427257,0.059299762,0.078992057,0.160575587,0.050269343,0.499944502742117,0.000139110996221719,4.76819593517727
"T5530",0.230341143,0.057686039,0.06773069,0.06787485,0.060882353,0.090990782,0.149212487,0.067748743,0.446524599453979,0.134446898113972,5.89362689804781
"T5716",0.116742888,0.120206021,0.170145581,0.163175195,0.222769704,0.17999376,0.114499502,0.146575026,0.495502791671973,0.011273068314861,4.86149283608362
"T5719",0.137884724,0.108380325,0.127210027,0.135975994,0.128734693,0.110545098,0.136771548,0.109626026,0.264666574224742,0.629024298795435,10.0379340317433
"T5720",0.131339972,0.101803846,0.131735085,0.134282446,0.104662951,0.10146461,0.122270116,0.107431586,0.374293829906742,0.320502204068449,7.45267575605589
"T5723",0.096236259,0.08994878,0.099618669,0.097396622,0.090809286,0.08992547,0.131306791,0.094249786,0.0165263374298731,2.13144286293827,22.6274376455243
"T5724",0.103730718,0.101793161,0.138474153,0.134013357,0.176174108,0.123140596,0.108725395,0.114307236,0.483548743961725,0.0412488778414527,5.11267487773813
"T5744",0.199845592,0.107240492,0.132899874,0.127588396,0.130385813,0.105705115,0.126720461,0.165461375,0.446210141226312,0.135242326913531,5.90029218692639
"T5750",0.217961935,0.091495806,0.108984482,0.102290101,0.096334442,0.134300297,0.102255128,0.09591508,0.408310742421024,0.231892532268015,6.7101717628468
