"","fur","purR","pyrC","pval","z","inv_cof_var"
"T0174",0.26530147,0.292054049,0.287068251,0.481854680664934,0.0454992642580904,82.1335532378871
"T0175",0.21521838,0.250042753,0.246007392,0.480004577250629,0.0501420955630444,86.9216958131054
"T4826",0.366526571,0.369812567,0.372190944,0.42866819572856,0.179765853957201,220.602416812943
"T5548",0.133118117,0.106511646,0.104666115,0.482326823134413,0.0443145845960264,80.9117954880694
"T5574",0.268977758,0.154208871,0.155702382,0.456944821262619,0.108133691952129,146.728312387602
"T0931",0.098082854,0.596785493,0.596764846,0,39.6013833156124,40876.037119063
"T0932",0.107169398,0.578669304,0.580763959,0.364905180833097,0.345377803872446,391.397687256645
"T0933",0.105111919,0.624163795,0.623668426,0.0452276442120435,1.69300093926152,1781.19871298431
"T8407",0.309650727,0.296900509,0.308819152,0.499719251785083,0.000703731471648768,35.9360104829985
"T5543",0.2098335,0.085783386,0.08475872,0.468128468198886,0.0799752552118301,117.688573281864
"T5537",0.20681347,0.093161001,0.091957886,0.471557070432334,0.0713563598005325,108.79992380064
"T0879",0.547334659,0.108117444,0.109283103,0.462660001092721,0.0937345776632623,131.878534817955
"T0344",0.363756924,0.254040504,0.257738747,0.475782644917055,0.0607412371035586,97.8525691396355
"T0729",0.139233945,0.193084426,0.189519757,0.484265634405182,0.0394504363233564,75.8954091697264
"T0767",0.220678854,0.035582421,0.03680523,0.497427974254746,0.00644715711943197,41.8591937876359
"T0769",0.237517898,0.041633006,0.042584943,0.489422248972318,0.0265175972673323,62.5577982949742
"T0771",0.219432955,0.036110327,0.036606666,0.473565409166565,0.0663102556954323,103.595886798729
"T0806",0.207682603,0.176911117,0.172961378,0.489391875148039,0.0265937600044998,62.6363447724409
"T0816",0.193112827,0.073596979,0.071920454,0.489879725533964,0.0253704875290948,61.3747863319416
"T1870",0.305542569,0.118144498,0.117914612,0.25145524122546,0.669917344427454,726.094661883987
"T2936",0.461815982,0.026247127,0.026871123,0.490336689650337,0.0242246960606709,60.1931338979132
"T4075",0.435700823,0.123441588,0.128143586,0.498984863661927,0.00254457219356887,37.8344658124903
"T4077",0.527773558,0.136173085,0.131427674,0.498195596059264,0.00452298535807581,39.874799324983
"T5742",0.082233505,0.072355643,0.070626411,0.491004108124396,0.0225512682294723,58.4673311454919
"T8378",0.249665929,0.297043527,0.302727015,0.484758639474543,0.0382137237114537,74.6199899435223
"T8379",0.217185997,0.2511077,0.252228206,0.392098432701444,0.273853945162558,317.635275801529
"T2262",0.472361135,0.0970489,0.09737478,0.353858763898633,0.374923276132494,421.867873300734
"T0257",0.176272069,0.125728767,0.125380193,0.322833006094689,0.459791322718587,509.392118840494
"T0606",0.537147765,0.085959328,0.089158646,0.498648413783036,0.00338793070818605,38.7042197502874
"T0598",0.476626414,0.065835688,0.067536406,0.492170262146911,0.0196275024254318,55.4520573595683
"T0569",0.482338108,0.084574201,0.084346426,0.3176278405501,0.474342511448722,524.398730475178
"T6973",0.308472592,0.201141203,0.202139216,0.404034848650499,0.242916998136221,285.730064633072
"T4104",0.294974539,0.15099952,0.145141028,0.499793722849866,0.0005170601599769,35.7434967351838
"T4835",0.295617819,0.179501737,0.17302862,0.498723731424209,0.00319913635500561,38.5095165140402
"T2255",0.644891757,0.601567222,0.617563271,0.492773727484651,0.0181145696370713,53.8917728216262
"T1787",0.241787546,0.069974361,0.069624008,0.405531490241907,0.239054941317044,281.747133212739
"T1799",0.24612143,0.091363914,0.089276336,0.489952472374184,0.0251880799685044,61.1866697820311
"T1816",0.278203538,0.109370391,0.111928449,0.489958086939911,0.0251740018766571,61.1721510742589
"T1818",0.273976397,0.084214923,0.080969251,0.499699425790381,0.00075342788373716,35.9872622927082
"T1819",0.278198636,0.085039412,0.087994006,0.497601294162894,0.00601270010270136,41.4111391411768
"T1824",0.210295776,0.068560869,0.067847176,0.461400519800262,0.0969060054456304,135.149221903395
"T2119",0.499195223,0.116841371,0.114880245,0.481307363258968,0.0468726496832794,83.5499228612061
"T6140",0.061104084,0.075227151,0.07666977,0.484823181935017,0.0380518220864661,74.4530211237048
"T6138",0.062583595,0.073760012,0.07559657,0.491376326275916,0.0216180280950555,57.5048824741961
"T6164",0.064784949,0.073167492,0.075679929,0.49741528239317,0.00647897156297533,41.8920039591953
"T6201",0.117449836,0.166826991,0.169963662,0.484254786953168,0.0394776480349371,75.9234725530816
"T3654",0.390053201,0.422781435,0.428115837,0.470017129082982,0.0752268041246704,112.79150523795
"T5794",0.13014293,0.188170083,0.194352097,0.496695255247979,0.00828386137789876,43.7533831906981
"T5806",0.081026534,0.207312023,0.215398372,0.499321705296216,0.00170023350220856,36.9637010203918
"T1091",0.55191711,0.096985489,0.098474906,0.477735528879127,0.0558377549357409,92.795617854436
