"","crp","rhaR","rhaS","pval","z","inv_cof_var"
"T8404",0.309379273,0.046224014,0.04586133,0.498573182006717,0.00357650994947697,179.53417076655
"T4826",0.375251679,0.076013332,0.075925644,0.340514860198619,0.411058389502422,1225.21987337078
"T4828",0.374090711,0.066791209,0.067230151,0.492920196453785,0.0177473673489948,215.899623366741
"T4829",0.361669363,0.083291904,0.083353783,0.249621137043099,0.675682460709981,1904.30186869842
"T4830",0.400478445,0.071793103,0.071413617,0.485004030503465,0.0375981775419658,266.841050324607
"T5560",0.287149174,0.143522386,0.143098744,0.452225896936441,0.120039580569145,478.403332659061
"T8499",0.319426257,0.074943702,0.074410407,0.495697649733004,0.0107846018782334,198.031677161748
"T0793",1.014828218,0.032510214,0.032524649,0.119988576256631,1.17504390113943,3185.77018641064
"T0778",1.004220516,0.038327763,0.038257545,0.407435546360933,0.234146699159035,771.226617477817
"T0835",0.366705811,0.068928236,0.068461305,0.494138975071333,0.0146919393374653,208.058741238441
"T0763",1.746701254,0.03556858,0.035507447,0.399756764126086,0.253976739454567,822.11474443417
"T5127",0.268449942,0.145173034,0.145063336,0.253778794255945,0.662645552559065,1870.84637253124
"T0044",0.540440049,0.028156937,0.0282968,0.482119189525201,0.0448355621953804,285.413728119816
"T0491",0.378581926,0.051521152,0.051712386,0.467179162909546,0.0823626629115167,381.716299223358
"T5146",0.114861009,0.125283245,0.125618604,0.44442201618167,0.139767069782277,529.028291592411
"T5148",0.112266788,0.132449724,0.131928713,0.470729415097373,0.0734364283675747,358.809671201193
"T2413",0.83638442,0.047596854,0.047606877,0.00537249097934639,2.5508848521258,6716.47249170648
"T2682",0.243656825,0.070542523,0.070101251,0.491447975027123,0.0214383896860708,225.371576549316
"T2684",0.142442435,0.06796295,0.068287388,0.480326953951544,0.0493330168467584,296.955159194534
"T2687",0.142174974,0.075762534,0.075673365,0.34399878048711,0.401574009180469,1200.88092384103
"T2436",0.197270676,0.041854828,0.041588334,0.492064414279074,0.0198928754889382,221.405456384939
"T0583",0.566800788,0.042425521,0.042634128,0.481667337995481,0.0459693540639877,288.323280682085
"T0592",0.626758677,0.048012555,0.047726518,0.489691275328035,0.0258430170427971,236.674792921248
"T1944",0.249007212,0.030646794,0.030552838,0.454977245568291,0.113095943299805,460.584473512282
"T4845",0.218674453,0.0705369,0.070956227,0.489392335772117,0.0265926049828192,238.598395984494
"T6960",0.304842559,0.068173892,0.067951186,0.459363409867983,0.102037613359269,432.206432441633
"T4115",0.269826881,0.064442455,0.064008435,0.493950289710476,0.0151649561073854,209.27260349396
"T5053",0.29748398,0.069539192,0.069040628,0.495928608795376,0.0102056414694594,196.545940857367
