"","fis","hns","lrp","rrfH","rrsG","rrsH","pval","z","inv_cof_var"
"T0810",0.259768383,1.523197437,0.165283697,0.258216298,0.258819744,0.259771865,0.445097614005234,0.138057178781458,330.162054723308
"T0321",0.273803678,0.481109713,0.333729136,0.060216684,0.059834015,0.060152741,0.46104372086606,0.0978046162394737,293.0366572887
"T2680",0.341251851,0.100939,0.041000544,0.03513147,0.03525083,0.035256893,0.374526228696828,0.319889025631282,497.867640511233
"T2682",0.325809062,0.144470546,0.199660198,0.074164372,0.074862145,0.074523707,0.495362251379692,0.0116253736771978,213.552559166973
"T0117",0.957504248,0.25147678,0.303898195,0.1243092,0.124111188,0.123228912,0.494563014899283,0.0136289224935594,215.400455086879
"T5994",0.118511774,0.280824622,0.07472798,0.073736059,0.073822009,0.073774292,0.0507444169308056,1.63767823193274,1713.27965230429
"T5996",0,0.308209008,0.07884273,0.056035433,0.056324614,0.056138756,0.422441513512482,0.195651399062905,383.281860838879
"T5998",0.071130252,0.280400256,0.103256503,0.070227532,0.070263597,0.070252051,4.50902905922742e-05,3.91559752499439,3814.23059153129
"T6000",0.020467384,0.279746236,0.093845841,0.074810175,0.074578354,0.07473211,0.320320886142088,0.466801682089912,633.366858815953
"T6002",0.233403927,0.284382661,0.092777913,0.074840354,0.074456299,0.074816894,0.437889510563956,0.156322247260227,347.008135658835
"T6004",0.659814976,0.282075687,0.075393787,0.076664608,0.076919636,0.076755592,0.335716384418632,0.42418243634752,594.058642478193
"T6006",0.096677713,0.281840876,0.08809189,0.075523862,0.075591825,0.0755879,0.0269643014651661,1.92740961001238,1980.50220612963
"T6008",0.110096197,0.280642421,0.081007463,0.076691067,0.076510106,0.076595198,0.242766895302592,0.697429907037133,846.077900550832
"T6010",0,0.280066722,0.082150133,0.07745378,0.07731934,0.077471647,0.21528030242233,0.788232700586281,929.826352470352
"T6012",0.055594258,0.284552008,0.097846081,0.069505097,0.069450028,0.06955822,0.120383909590099,1.17306979200878,1284.76599020738
"T6014",0.07007986,0.305767215,0.095996409,0.052873519,0.053030136,0.052872073,0.34025812742284,0.411758755335983,582.600139813349
"T6016",0,0.27981629,0.092268763,0.079172831,0.079501307,0.079242178,0.390995696448736,0.276724845163226,458.056824662073
"T6018",0.194755781,0.284073103,0.101429405,0.079952647,0.079469144,0.079936301,0.462091600002789,0.0951657172886938,290.602770694889
"T6020",0.510266761,0.285914434,0.082567635,0.065683983,0.065753384,0.065689132,0.0523455105300115,1.62252482975027,1699.30349667634
"T6022",0.098519004,0.282112464,0.080152948,0.076692822,0.076584269,0.076697164,0.140181788180889,1.07950295688941,1198.46823122913
"T6024",0,0.282914084,0.078679951,0.073854145,0.073775653,0.073893693,0.132933272462922,1.11263192143332,1229.02345299934
"T6026",0.046702197,0.284597524,0.087648232,0.068762024,0.068742705,0.068756751,2.16113814398826e-13,7.24506632795671,6885.03763461533
"T6028",0.101989119,0.282794061,0.084094054,0.077002884,0.07719419,0.077053889,0.266400980660883,0.623734500789305,778.107787015778
"T5995",0.112530622,0.301527439,0.103979856,0.044754449,0.044569897,0.044705106,0.387034744593309,0.287055938178481,467.585309556052
"T5997",0.095111293,0.294528401,0.080312189,0.052747342,0.052863685,0.052788109,0.226677589690324,0.749833185231166,894.41004158659
"T6001",0.127084119,0.302801566,0.102670522,0.04719234,0.047171871,0.047184856,1.18211873772905e-06,4.71950111738108,4555.68004174546
"T6003",0.083703945,0.296379384,0.10299507,0.051078559,0.051099254,0.051111033,0.000816394931152816,3.14998474826083,3108.09719722625
"T6005",0.098076187,0.307368875,0.098228068,0.055542722,0.055018836,0.055258807,0.496567384017754,0.00860439844794102,210.766279264687
"T6007",0.089115685,0.29538415,0.091155952,0.044677659,0.044366106,0.044590241,0.46786893467203,0.0806279101832536,277.194385426145
"T6009",0.104510723,0.295106128,0.057149015,0.058025673,0.05795204,0.058005298,0.0757989834782428,1.43390993284747,1525.34182647707
"T6011",0.110119112,0.290365304,0.090300021,0.061234511,0.061302172,0.061252315,0.0470710512385113,1.67394147236369,1746.72565246544
"T6015",0.119954868,0.293294631,0.102042366,0.060198824,0.059745525,0.06007321,0.476843343975168,0.0580777618627234,256.396126489565
"T6017",0.103815416,0.292475391,0.123700571,0.051943629,0.052130203,0.05199082,0.358859201357623,0.361509770024597,536.254927668775
"T6019",0.016359407,0.288534759,0.113245706,0.052667797,0.05253653,0.052641958,0.274101912444979,0.600453825726445,756.635754934512
"T6021",0.124410211,0.276731383,0.135026683,0.05260875,0.052838854,0.052576892,0.428716740352252,0.179642189890141,368.516384664966
"T6023",0.04103984,0.285384946,0.119303682,0.059730395,0.059884174,0.059724399,0.310031860488129,0.495760040205023,660.075482719236
"T6025",0.113375452,0.290943938,0.103916744,0.051292632,0.050806251,0.051160174,0.499855576521479,0.000362015982687551,203.164235928653
"T6027",0.094741454,0.28948618,0.106153366,0.058562963,0.058627865,0.058574448,0.0532462002395651,1.61416149995099,1691.58990223495
"T6892",0.075691336,0.30627972,0.300486868,0.062730553,0.06254825,0.062561187,0.327273787993709,0.447453609266389,615.521910623703
"T6894",0.114807562,0.242576108,0.238596836,0.106634684,0.106863831,0.106673152,0.23481921019547,0.723067491474583,869.723737024247
"T6896",0.111823039,0.268521551,0.240919697,0.106190407,0.105997179,0.105991164,0.213393307337946,0.794702436574829,935.793463747336
"T6898",0.12872813,0.226237901,0.205437483,0.125542344,0.126009293,0.125633322,0.370410498217162,0.330766328631685,507.899901102977
"T6900",0.078502686,0.287327021,0.268824847,0.068981814,0.068830495,0.068936827,0.229135642162663,0.74169642829717,886.905417882488
"T6902",0.12872813,0.226237901,0.205437483,0.125542344,0.126009293,0.125633322,0.370410498217162,0.330766328631685,507.899901102977
"T6891",0.06328377,0.308729803,0.315207912,0.071836666,0.071476122,0.07185193,0.442087973282816,0.145677547743812,337.190407912764
