"","arcA","lexA","ssb","uvrA","pval","z","inv_cof_var"
"T4826",0.078918112,0.129403444,0.082254301,0.082259275,4.60157767260218e-265,34.7617711801626,23387.3472430109
"T5546",0.268582843,0.11114823,0.046577175,0.045905222,0.459889441142234,0.10071225559594,97.320690671947
"T8212",0.181935444,0.11333786,0.108801928,0.104118709,0.498515786511547,0.00372038007816564,32.1483206908025
"T8219",0.229960799,0.112751682,0.073253214,0.072227818,0.458116434039645,0.105180141519918,100.322825777765
"T5539",0.278324107,0.104126116,0.086364804,0.083125023,0.495639817534103,0.0109295742474636,36.9924405426894
"T8306",0.203601518,0.060557173,0.094359565,0.090964592,0.494685795147114,0.0133211301089283,38.59941393713
"T0797",0.11515149,0.252568273,0.03188454,0.03241969,0.46719347058995,0.0823266770782759,84.9667515499946
"T0802",0.057085546,0.23892498,0.127219385,0.124240955,0.482164326982454,0.0447223058775072,59.6990063937965
"T0831",0.106405505,0.184466979,0.106404793,0.104948419,0.456761869161416,0.108594985375362,102.617383605282
"T0045",0.404221811,0.034999513,0.06208397,0.060540275,0.484258062564705,0.0394694308951265,56.1694085796614
"T0017",0.301233474,0.074058595,0.060887993,0.060496621,0.388871503486501,0.282261496547511,219.310230908474
"T2265",0.36649143,0.045062147,0.049580672,0.051611113,0.49668003662041,0.0083220101350065,35.2403233454561
"T2415",0.232755343,0.185807481,0.096811108,0.095965561,0.42238334865631,0.195800016302195,161.213616634503
"T4077",0.063544665,0.153823569,0.090121311,0.092521624,0.485661055042912,0.0359501470968612,53.8046737547619
"T2412",0.139393676,0.164400128,0.262424821,0.272776767,0.495897840690184,0.0102827697188664,36.5578290474669
"T2651",0.373621396,0.167780833,0.31133836,0.31004519,0.322206026137168,0.461538853991426,339.773209959082
"T2653",0.239277498,0.139084614,0.389756813,0.399870636,0.484829205399632,0.0380367125692041,55.2067130103951
"T5529",0.255616991,0.134894631,0.146334705,0.144692885,0.443376781445856,0.142413293275262,125.341135082638
"T0066",0.329021569,0.060665707,0.043412267,0.045217984,0.496996661189033,0.00752832509341885,34.707017489654
"T0067",0.373738566,0.050035775,0.040892901,0.04192208,0.483825363496114,0.0405549152364417,56.8987850013799
"T0583",0.257531317,0.151900407,0.255891414,0.262913587,0.486588439200385,0.0336241322408735,52.2417397464563
"T0584",0.230806927,0.16576708,0.220744567,0.22027403,0.173044890363927,0.942200924434126,662.747542845901
"T0585",0.234222212,0.162356433,0.244354965,0.254290328,0.496532435193771,0.00869200543439255,35.4889366485203
"T0593",0.176631432,0.170241843,0.174955999,0.170858068,0.482180962788185,0.0446805644130345,59.6709587851526
"T0594",0.192456147,0.169381339,0.202110105,0.193799203,0.49760362390578,0.00600686019785209,33.684689871409
"T0597",0.035751885,0.201498289,0.266762702,0.255941507,0.497323860540322,0.00670813714617297,34.1559033672945
"T1947",0.459943993,0.159908823,0.086739977,0.083675968,0.494253081287815,0.0144058871950932,39.3283016896537
"T1942",0.45009108,0.155296194,0.072328439,0.075830593,0.499842205411889,0.000395532386456933,29.9142345599978
"T4847",0.238156055,0.089441956,0.200862442,0.194556577,0.491277897094354,0.0218648117843523,44.3402244965651
"T5040",0.18143769,0.045114565,0.155280897,0.162307814,0.498628536527068,0.00343775589019224,31.9584152162883
"T2259",0.218483035,0.142671608,0.064075754,0.064068598,3.74496147276732e-79,18.8004352607049,12662.3449231454
"T0413",0.24262348,0.329203462,0.130489944,0.132048077,0.447021282802133,0.133190700048711,119.144139151404
"T5993",0.277496344,0.140539296,0.205624923,0.198787158,0.492773281356392,0.0181156880982788,41.8210518888648
"T6005",0.274713211,0.136196389,0.221481168,0.216290856,0.482199170015275,0.044634880131149,59.6402618540388
"T6009",0.26784412,0.142446677,0.211438064,0.211285746,0.00201113126270107,2.8764104929286,1962.41332357298
"T1781",0.292579684,0.09602636,0.122713255,0.117124087,0.499587799526486,0.00103323354556882,30.3427291700585
"T1787",0.231702266,0.077017755,0.134530793,0.128528039,0.499204952377254,0.00199289017001642,30.9875573708689
"T6131",0.051264627,0.068831996,0.137613426,0.134347074,0.48265332760641,0.043495370034008,58.874583561381
"T6139",0.145434961,0.051815899,0.138767519,0.134347074,0.491664942836593,0.0208944101912234,43.6881763603674
"T6180",0.16594601,0.05755691,0.136851712,0.134347074,0.472167577237226,0.06982222861799,76.5645576846479
"T6184",0.278182305,0.047176515,0.131393359,0.134347074,0.479840700560109,0.0505533944815964,63.6171269772974
"T6194",0.150129744,0.047909475,0.137437056,0.134347074,0.480684209997931,0.0484364380648522,62.194666940418
"T6212",0.046749177,0.046298758,0.128458646,0.134347074,0.498865796519764,0.00284303034269149,31.5587974832354
"T6220",0.081688479,0.050699472,0.129255891,0.134347074,0.495866023767158,0.0103625271670031,36.6114209786567
"T3655",0.476456975,0.075582049,0.075399568,0.073095532,0.490546147914241,0.0236995112936954,45.5730258481094
"T7142",0.074188706,0.525147436,0.080436339,0.079163336,0.465013485040874,0.0878109052896215,88.6518040159132
"T5545",0.274898664,0.098684291,0.103284262,0.103938793,0.386273404468758,0.28904517323071,223.868430080001
"T5557",0.23122152,0.124057815,0.193785902,0.195466259,0.420877359873664,0.199649489650824,163.80021783146
"T5774",0.113955838,0.112414655,0.096322753,0.093563321,0.48871487935953,0.028291376105773,48.6584668795212
"T5803",0.121071599,0.088904444,0.08527867,0.087194174,0.47981040826647,0.050629423236564,63.6682134638871
