"","ttdA","ttdB","ttdR","ttdT","pval","z","inv_cof_var"
"T0174",0.032710021,0.033191531,0.033394765,0.036156863,0.339662142384454,0.413385379438663,21.7662282975041
"T0175",0.036517446,0.038689109,0.03681915,0.041674978,0.454811433754049,0.113514248394927,16.2136684734761
"T0849",0.037008304,0.037239628,0.038855804,0.039974618,0.238434652691942,0.711346883690254,27.283428542342
"T0855",0.034896921,0.033069663,0.036166821,0.038448007,0.464253611826995,0.0897231442636701,15.7731408091135
"T5536",0.065287047,0.065611589,0.064867509,0.068811083,0.111555708615979,1.21829624307702,36.6703496372477
"T5538",0.087981313,0.076549359,0.087368501,0.0809219,0.476135746929017,0.0598545310936753,15.2200790291752
"T5540",0.069472445,0.068056017,0.068935602,0.065709116,0.0736899412941386,1.44884854789101,40.9393683340175
"T5542",0.060077213,0.066661252,0.060043424,0.060740942,0.389279113401055,0.281198406500914,19.3185899648666
"T5544",0.050276431,0.048307494,0.048372335,0.045332522,0.305291680594047,0.509240923746072,23.5411362133782
"T5546",0.046782603,0.050089248,0.046526501,0.045321614,0.313474933678864,0.486024398458053,23.111247730552
"T5550",0.063463853,0.054743139,0.063109186,0.058060981,0.497175225032058,0.00708071997086629,14.2428934548873
"T5552",0.04693157,0.047165202,0.046199913,0.045353301,0.0105722141623309,2.30539558891294,56.7996102679927
"T5564",0.074370825,0.067460259,0.072781192,0.067983277,0.365289854339077,0.344354491734406,20.4880187801373
"T5566",0.092988343,0.098302794,0.093603973,0.094019031,0.088228772017861,1.35174300036773,39.141314750162
"T5578",0.109414613,0.101296622,0.106153067,0.115017659,0.401326352243075,0.249915489332027,18.7393402436754
"T0933",0.043008405,0.038256978,0.043801138,0.039359827,0.477368794165079,0.0567584805258647,15.1627510498657
"T5543",0.074422238,0.070451811,0.073180187,0.070282967,0.127306740434229,1.13921502358112,35.2060432844497
"T5539",0.081308429,0.073714869,0.080302611,0.079210465,0.311796301103929,0.490765092173091,23.199028722902
"T5541",0.10572002,0.093113855,0.104945601,0.100566716,0.427582898485421,0.18253129505338,17.4916217033017
"T8252",0.067726394,0.065730917,0.069972389,0.067000382,0.0985242791236494,1.29000604790671,37.9981632880661
"T8253",0.054292897,0.050614374,0.057534226,0.050454121,0.464473877325156,0.0891688074517503,15.7628764388817
"T1634",0.055576981,0.054212293,0.055574213,0.056367094,0.00490280101296208,2.58261027296161,61.9326522914835
"T1635",0.050257876,0.043963692,0.044599593,0.046482069,0.451609418640311,0.121596182118578,16.3633174921669
"T1637",0.051680876,0.050247203,0.05228361,0.052210746,0.0143222733850806,2.18834410095103,54.6322279423323
"T2300",0.05312976,0.051017668,0.055355951,0.052886032,0.197192802687064,0.851691021198816,29.8821089046549
"T0880",0.075949584,0.074413437,0.077564975,0.074386366,0.0263945257789148,1.93664256082633,49.9715997102049
"T0875",0.049581814,0.049293617,0.05028367,0.051254304,0.00968273503816758,2.33842002227432,57.4111067506832
"T0876",0.063002701,0.06067353,0.065498555,0.060574379,0.246443993631618,0.685722703383704,26.8089587472718
"T2382",0.056992103,0.052759047,0.060180477,0.054378989,0.431916743859216,0.171496365883209,17.287293583559
"T2391",0.04856163,0.046473221,0.053700587,0.052751938,0.487309079536754,0.0318167873137267,14.7009185180348
"T2862",0.037388655,0.034335963,0.039439446,0.03645178,0.42908448064665,0.17870548604239,17.42078116145
"T0742",0.045680298,0.04300807,0.049325153,0.042562443,0.491189201991586,0.0220871911292008,14.5207605792223
"T0743",0.044935065,0.043204988,0.047775943,0.043913983,0.327574190188459,0.446621484768538,22.3816442013942
"T0728",0.034888554,0.034907013,0.037188486,0.037006246,0.221810992753378,0.766091289488374,28.2971026068207
"T0736",0.034729474,0.034489119,0.037203898,0.037091683,0.288977335825784,0.556374786327203,24.4138897552358
"T0744",0.030223398,0.03187499,0.030943471,0.035182401,0.488839597188738,0.0279786311108547,14.6298493495682
"T0729",0.03811215,0.03678357,0.041038405,0.038096325,0.346694574976431,0.394259921358482,21.4120920064163
"T0737",0.039011412,0.040397136,0.041071967,0.044739317,0.440284088592661,0.150248988640427,16.8938668044169
"T0730",0.039186547,0.038810934,0.041207017,0.040433343,0.118611210847075,1.1819578605628,35.9974904589855
"T0738",0.03367555,0.034185623,0.035958352,0.035534613,0.164656372703403,0.975499105043478,32.1745996484387
"T0746",0.043344186,0.043747559,0.044621484,0.046218455,0.130582815995662,1.12364034796943,34.917655009884
"T0731",0.039826056,0.038998611,0.042057083,0.040110652,0.179719808045411,0.91643341487288,31.0809105791434
"T0739",0.03768819,0.039729341,0.038226423,0.043388852,0.470752609884661,0.0733781307973591,15.4704885838714
"T0747",0.046893182,0.04802769,0.048497184,0.049966235,0.098655385237236,1.28925119980903,37.9841861532687
"T0732",0.050557795,0.049653803,0.052534771,0.050376868,0.0718087039182785,1.46245193010535,41.1912551805151
"T0740",0.045006857,0.045014746,0.046772879,0.046960299,0.060867897724091,1.54752875784311,42.7665791338686
"T0748",0.056448621,0.056716349,0.057501872,0.057945168,0.000108174720174323,3.69911866040859,82.6064650514861
"T0733",0.048921823,0.04962125,0.049470046,0.051810105,0.087143986824762,1.35855395713607,39.267429740903
"T0741",0.056453123,0.056199936,0.057528732,0.057412904,6.62488520640114e-05,3.82176913479795,84.8775209351316
"T0749",0.051497635,0.050074353,0.053987243,0.051162849,0.17726224060968,0.925848956118869,31.2552533238484
"T0775",0.046440316,0.045727602,0.048822672,0.047044919,0.123862946360242,1.15589063742458,35.5148170671941
"T0782",0.046012365,0.045607586,0.047160746,0.046543423,0.00155709683924498,2.95623534288174,68.8508759473166
"T0783",0.044915837,0.044403625,0.046626312,0.045225163,0.0352354539679317,1.80887189299309,47.6057358325094
