"","mpaA","pgrR","ycjG","ycjY","pval","z","inv_cof_var"
"T0175",0.036992535,0.04052642,0.036973017,0.039156137,0.311343539352463,0.492045641279661,30.0497075400037
"T8400",0.032168856,0.038428649,0.035203126,0.035794302,0.42467967318233,0.18993591786206,17.6798212331187
"T4826",0.088026233,0.078361141,0.082774955,0.075946182,0.46423225581172,0.0897768918903968,13.578808694157
"T4829",0.093733924,0.086160854,0.092752338,0.083264816,0.445136672268962,0.137958337427718,15.5515985688285
"T4832",0.09341967,0.088699206,0.095715808,0.088843636,0.342742740309793,0.404989157807067,26.4851787633358
"T5558",0.107545409,0.107504089,0.12532597,0.104430917,0.499307590445082,0.00173561423936239,9.97395750785208
"T8398",0.039478348,0.037799982,0.036427798,0.035515918,0.422597014078008,0.195254100201639,17.8975742738209
"T5543",0.08963962,0.080484375,0.092750143,0.09934472,0.412560268933489,0.220963905106448,18.9502625489515
"T1589",0.028107276,0.046429628,0.030152391,0.027870772,0.375609419210706,0.317032636302599,22.8837979184849
"T1590",0.035071789,0.02629061,0.035646451,0.038673909,0.41358903823465,0.218322202647578,18.842098009581
"T0880",0.073787347,0.074382855,0.08735354,0.078683377,0.483116369327708,0.0423336272260449,11.6362436443249
"T0839",0.03632156,0.037807405,0.034553295,0.03214575,0.437121312589769,0.158271804060103,16.3833337076342
"T0845",0.042636863,0.04035026,0.039560034,0.035992574,0.481055325837892,0.0475051176147125,11.8479903813094
"T0753",0.047209597,0.045905811,0.052922894,0.056586462,0.488780434356146,0.0281269887042465,11.0545526569257
"T0824",0.054137474,0.052699678,0.055585115,0.0514212,0.352444853869338,0.378728203135917,25.4099236543059
"T0829",0.055608772,0.057551654,0.054961294,0.062499517,0.462003700762452,0.0953870503191049,13.8085166993866
"T0813",0.046657078,0.046385349,0.046134754,0.044060379,0.28457547460417,0.569302384037592,33.2129858136887
"T0831",0.067971602,0.070228777,0.07029727,0.058469875,0.494514687757726,0.0137500720244149,10.4658896282709
"T0826",0.052166979,0.055452064,0.053034288,0.060887758,0.48420994989039,0.039590125747267,11.5239109428436
"T0827",0.055798585,0.052978564,0.05823851,0.050933165,0.452538920184585,0.119249311549575,14.7855572762571
"T0816",0.053249015,0.06467879,0.054487956,0.055537467,0.179180954536706,0.918490922680341,47.5105147836764
"T0828",0.044675909,0.074548925,0.04757428,0.05088623,0.447043477443519,0.133134570883423,15.3540893888892
"T2492",0.043106012,0.045001095,0.050482096,0.052058679,0.497509974877066,0.00624160790386583,10.1584554733558
"T2493",0.041756603,0.041848268,0.048762483,0.049207185,0.487902103427205,0.0303295789172007,11.1447377400362
"T0172",0.048909708,0.0456583,0.046364691,0.056088904,0.499002549411137,0.00250024045350726,10.0052651375081
"T5718",0.105460552,0.093311445,0.093800321,0.088259757,0.490131965335662,0.024738017625184,10.915791194795
"T5721",0.113275086,0.11083533,0.128258947,0.111855583,0.47023044108136,0.074690605948751,12.9611005324327
"T5724",0.107681776,0.100819236,0.114162695,0.101649026,0.428984119781314,0.178961108493035,17.2304575297634
"T5740",0.091309086,0.084311329,0.090599025,0.079600981,0.467139264625414,0.0824630132843242,13.2793418455034
"T5744",0.109441611,0.105881068,0.128165862,0.109702867,0.491420298541783,0.0215077803427231,10.7835290899006
"T5750",0.092779402,0.090629148,0.103532197,0.093201629,0.44229078564472,0.145163768670868,15.8466250388856
"T5754",0.077612312,0.06998536,0.08375137,0.071378091,0.474324444348093,0.06440356847459,12.5398976576939
"T5756",0.125988776,0.116492459,0.131678878,0.11533191,0.450629405678959,0.12407131322736,14.9829941937156
"T5760",0.096520879,0.092656506,0.097526662,0.089652058,0.383212721168156,0.297053790875171,22.0657638489939
"T2680",0.043659181,0.040348514,0.048998769,0.041965644,0.477386300930502,0.0567145268854959,12.2250697561287
"T2682",0.072240367,0.076079272,0.07302508,0.070984201,0.0710215566841142,1.46822500811802,70.0193836110587
"T2684",0.067855212,0.067767936,0.06812648,0.069528117,0.0524500744480322,1.62154807252331,76.2971983515496
"T2687",0.07638716,0.075667062,0.07547819,0.076591524,0.0018880183846105,2.89628966552453,128.491508411164
"T2651",0.082096936,0.058709649,0.076218253,0.076086378,0.37674570275057,0.3140390168264,22.7612241325513
"T5531",0.112120111,0.064815604,0.112755418,0.09789587,0.471740706318948,0.0708948871042845,12.8056847780909
"T0585",0.051898621,0.048464468,0.060330318,0.052562044,0.482334898884032,0.0442943218166982,11.7165243082325
"T0587",0.07299987,0.073412732,0.068750257,0.067827829,0.353224794457476,0.376628656030234,25.3239576724784
"T0588",0.078981694,0.078439656,0.07742538,0.077014558,0.0559796435321145,1.58944799127368,74.9828601336072
"T0574",0.045493211,0.077808809,0.047760487,0.042082066,0.442908946280868,0.143598034818466,15.7825160472188
"T5054",0.049498343,0.048649837,0.042936019,0.04362562,0.473969043138039,0.0652963024564298,12.5764506614593
"T5056",0.089262315,0.114894344,0.088026064,0.102146498,0.480441379963703,0.0490458461592904,11.9110755303426
"T1085",0.059195773,0.056276721,0.069926184,0.065446292,0.479247264824066,0.0520428759093566,12.0337889499813
"T1086",0.050465859,0.049858728,0.049521613,0.056340509,0.459137005035041,0.102608104832688,14.1041828644421
"T4796",0.097857739,0.089620377,0.103705318,0.090660279,0.451359496579792,0.122227316558397,14.9074917276337
"T4798",0.101864132,0.094799003,0.096885258,0.095339116,0.322646450379356,0.460311147630895,28.750338310834
"T4806",0.114448217,0.10617229,0.095546122,0.099714712,0.495201278588908,0.0120289008507011,10.3954162535888
"T4801",0.099798657,0.093485961,0.092437829,0.090394506,0.411644060613848,0.223317868651958,19.0466456150081
"T5743",0.122842782,0.121017244,0.142112258,0.122062696,0.485815352379408,0.0355631337016159,11.3590257044609
"T5747",0.110600171,0.107493217,0.116510636,0.105869327,0.394893994885707,0.266585930219739,20.8182569231716
"T6895",0.081017559,0.078914882,0.093164079,0.085101758,0.460310838408259,0.0996506553069798,13.9830900575721
"T6897",0.079965053,0.09958566,0.088171354,0.089247074,0.43216833394009,0.17085641570421,16.89861078476
"T1653",0.056578034,0.057503823,0.055874721,0.063845746,0.466779741199124,0.0833673080428369,13.3163682054106
"T1654",0.049101223,0.049250389,0.055307313,0.054066102,0.439986334634245,0.151003862165684,16.0857477381991
"T1655",0.058149908,0.059715277,0.061317167,0.064736631,0.415518652907326,0.213371375037555,18.6393863127571
"T1656",0.056262821,0.057035269,0.056127374,0.063370904,0.458794926171956,0.103470133389071,14.139478634188
