"","alaA","avtA","leuE","livF","livG","livH","livJ","livK","livM","lrp","lysU","sdaA","yfbR","pval","z","inv_cof_var"
"T8405",0.103337402,0.095499029,0.185993133,0.188583366,0.19523368,0.098323661,0.193474531,0.11141259,0.079285521,0.195047215,0.094420857,0.133804123,0.184062048,0.0598660140029011,1.55589934996142,2.96856728966228
"T0849",0.094245539,0.157678586,0.03726382,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.118529687,0.205575399,0.12035659,0.036824749,0.278258120729823,0.588023914005057,2.26321022722319
"T0850",0.117729863,0.157678586,0.038593397,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.030202382,0.205575399,0.142932914,0.037266694,0.230162299912598,0.738312454634199,2.37273577110858
"T0852",0.094581796,0.157678586,0.037480358,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.139531305,0.205575399,0.132416205,0.034429477,0.277525915762117,0.590207071893255,2.26480124377104
"T0855",0.117630316,0.157678586,0.034117508,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.168938233,0.205575399,0.143769736,0.035606161,0.251350149168046,0.670247076467056,2.32313187228627
"T0856",0.099675959,0.157678586,0.044197959,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.108203141,0.205575399,0.128218437,0.030869673,0.262194081668164,0.636595797428248,2.29860788247483
"T0858",0.112710368,0.157678586,0.050249827,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.293211163,0.205575399,0.140897916,0.040078656,0.188700281969878,0.882695962949461,2.47795791386218
"T0859",0.105244396,0.157678586,0.027705956,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.064603832,0.205575399,0.141621642,0.02493701,0.32670419743008,0.449032246542959,2.16191748786598
"T0717",0.201097783,0.101936527,0.111980706,0.121235709,0.286875847,0.071184087,0.204004116,0.039104742,0.140960432,0.125209835,0.199059408,0.173407993,0.068665347,0.410286320959519,0.226808515399647,1.99996784808758
"T0848",0.112302101,0.157678586,0.042058665,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.114950836,0.205575399,0.140908612,0.030067567,0.250258332849094,0.673677034277966,2.32563151725701
"T0851",0.076092466,0.157678586,0.043039085,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.029880429,0.205575399,0.141870315,0.026468012,0.319870829944972,0.46806003237606,2.17578433748459
"T0854",0.101697709,0.157678586,0.038784095,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.043398304,0.205575399,0.13290974,0.037203804,0.252224252478807,0.667506741510028,2.32113480268043
"T0857",0.123438178,0.157678586,0.038221276,0.125947916,0.120655774,0.108396105,0.204004116,0.17327412,0.107271545,0.035086798,0.205575399,0.148778896,0.031340571,0.246512088630817,0.685506790264251,2.33425266996104
"T4831",0.108407201,0.160536825,0.084898646,0.354410976,0.301900784,0.254126308,0.210093778,0.1272566,0.281774106,0.408844654,0.108806713,0.115855764,0.08453618,0.442536558077441,0.14454121134833,1.94001403402773
"T4832",0.104971614,0.15422353,0.088376928,0.354838169,0.303654419,0.255174616,0.221209773,0.123436953,0.28032552,0.40474559,0.107753938,0.112929007,0.087551888,0.45098161680528,0.123181678368684,1.92444788070067
"T5536",0.172557712,0.063245059,0.086989254,0.11313808,0.175279434,0.085521991,0.194104954,0.069526229,0.106732934,0.139538375,0.063913077,0.211285726,0.075426598,0.329212714049568,0.442088137530193,2.15685684043911
"T5538",0.175384827,0.089761583,0.077122911,0.08413329,0.246526101,0.083342386,0.223286055,0.130940031,0.099880869,0.213748264,0.097236115,0.185137649,0.076302244,0.335908020793989,0.423656914278207,2.14342474679647
"T5540",0.180265528,0.079360872,0.073943025,0.130659131,0.134997179,0.081861865,0.209886798,0.140436605,0.105209597,0.083660312,0.085120494,0.190771517,0.06719216,0.181233705701879,0.910673536877423,2.49834708650452
"T5542",0.189411107,0.093213991,0.071591814,0.1630105,0.134564107,0.084825337,0.171595495,0.083427029,0.109678432,0.105325767,0.139884243,0.237299428,0.089907438,0.164238388095209,0.977186609114804,2.54681971377066
"T5544",0.169564195,0.062313784,0.044596987,0.141647918,0.139426592,0.070882607,0.065935375,0.117772983,0.11320258,0.146880645,0.121626644,0.190837567,0.07522228,0.229995368293015,0.738862102807182,2.37313633734497
"T5546",0.19161708,0.06327543,0.080898141,0.090351272,0.111331949,0.077800774,0.194196468,0.095570689,0.098972905,0.147847113,0.100475144,0.222617269,0.078274448,0.317134656901887,0.475726395115937,2.18137134062663
"T5548",0.16667014,0.113345887,0.061868491,0.079856542,0.103794473,0.063872725,0.073752795,0.122608263,0.072202205,0.13584214,0.079049847,0.19909282,0.065841914,0.269859056663986,0.613239313902443,2.28158641463234
"T5550",0.164954107,0.054840631,0.055401888,0.087531156,0.108923374,0.065047481,0.198595484,0.058400892,0.085328024,0.136819623,0.120220449,0.216364768,0.070847034,0.47201637118828,0.0702021760333953,1.88583809193195
"T5552",0.181242821,0.058648013,0.12467628,0.125340616,0.137954815,0.069454884,0.047093463,0.047523878,0.12374323,0.10808372,0.142744663,0.235099299,0.069526854,0.43029897716639,0.17561304356143,1.96265820442428
"T5554",0.150004287,0.098913676,0.120770223,0.062627633,0.107277102,0.051504259,0.197505056,0.135030695,0.110366192,0.108334633,0.097461946,0.13357021,0.082556887,0.083866607800529,1.37952411729592,2.84003058816306
"T5556",0.134037874,0.1322972,0.078517391,0.146401484,0.149134188,0.096351438,0.087991472,0.14437837,0.138279511,0.186652652,0.242310731,0.15863927,0.100408091,0.0414308681757078,1.73431765646991,3.09859291887956
"T5558",0.138277443,0.119751443,0.123396274,0.095705256,0.181872487,0.105313101,0.134590328,0.155392454,0.177692712,0.122652543,0.190036632,0.168277768,0.127745751,7.1448697003221e-05,3.80309869224665,4.60625522749398
"T5560",0.060652178,0.044356286,0.040614617,0.155508802,0.090547803,0.060673213,0.039943438,0.134356754,0.074774588,0.267664281,0.100419692,0.094534139,0.045853172,0.370297607204789,0.331065230112669,2.07594685044428
"T5564",0.140188315,0.11512001,0.100111365,0.156596185,0.087095998,0.07752306,0.067719737,0.149250731,0.134099993,0.149233474,0.274828929,0.157312264,0.081842605,0.26869248496517,0.616772231987478,2.28416109380047
