"","alaA","avtA","leuE","livF","livG","livH","livJ","livK","livM","lysU","sdaA","yfbR","lrp"
"alaA",1,0.224753903759085,0.132355103526089,0.425096795012235,0.43209461628148,0.193323603942092,0.167294989088675,0.0897932874191099,0.244362563725507,0.00786468364088468,0.219338911370501,0.176843437499328,-0.110774104538157
"avtA",0.224753903759085,1,-0.065359349904809,0.457663612360812,0.413799826757431,0.568173133841898,0.32916828441578,0.0669631553596972,0.543711616930486,0.423414680183829,0.148404121124318,-0.237969808075463,-0.218129571384615
"leuE",0.132355103526089,-0.065359349904809,1,0.0782723579252856,-0.0282796494510489,-0.119073609905201,0.129675359906096,-0.0346296847810337,-0.0992581567498086,0.00806288685158187,0.00202616389396369,0.40104941570895,-0.0816986778392455
"livF",0.425096795012235,0.457663612360812,0.0782723579252856,1,0.726201459786223,0.495876508868545,0.349994433657442,-0.122765645757384,0.568396768043455,0.322520071846517,0.167332167899411,-0.0586353116840409,-0.206908983483251
"livG",0.43209461628148,0.413799826757431,-0.0282796494510489,0.726201459786223,1,0.575181750855432,0.240737400300959,0.0962704609972862,0.583790232408019,0.27725171106114,0.199875659893396,-0.0983557634980124,-0.0818176678826827
"livH",0.193323603942092,0.568173133841898,-0.119073609905201,0.495876508868545,0.575181750855432,1,0.247744270274783,0.251892634764803,0.799305147025637,0.350353991772617,0.110004528166611,-0.23300129683093,-0.0632126140631765
"livJ",0.167294989088675,0.32916828441578,0.129675359906096,0.349994433657442,0.240737400300959,0.247744270274783,1,0.00588635388576011,0.22083679525142,0.282701266293365,0.111691838759743,0.0584339521651079,-0.310998975612758
"livK",0.0897932874191099,0.0669631553596972,-0.0346296847810337,-0.122765645757384,0.0962704609972862,0.251892634764803,0.00588635388576011,1,0.0576113120077138,-0.120316209202533,-0.0042432603683932,0.0551322435623706,0.210557660213707
"livM",0.244362563725507,0.543711616930486,-0.0992581567498086,0.568396768043455,0.583790232408019,0.799305147025637,0.22083679525142,0.0576113120077138,1,0.43771342705658,0.1817035482331,-0.276645140904983,-0.140992361039972
"lysU",0.00786468364088468,0.423414680183829,0.00806288685158187,0.322520071846517,0.27725171106114,0.350353991772617,0.282701266293365,-0.120316209202533,0.43771342705658,1,0.406092802532663,-0.15538984941505,-0.351878024983852
"sdaA",0.219338911370501,0.148404121124318,0.00202616389396369,0.167332167899411,0.199875659893396,0.110004528166611,0.111691838759743,-0.0042432603683932,0.1817035482331,0.406092802532663,1,0.0476256147538641,-0.258495195516164
"yfbR",0.176843437499328,-0.237969808075463,0.40104941570895,-0.0586353116840409,-0.0983557634980124,-0.23300129683093,0.0584339521651079,0.0551322435623706,-0.276645140904983,-0.15538984941505,0.0476256147538641,1,-0.0438361092352529
"lrp",-0.110774104538157,-0.218129571384615,-0.0816986778392455,-0.206908983483251,-0.0818176678826827,-0.0632126140631765,-0.310998975612758,0.210557660213707,-0.140992361039972,-0.351878024983852,-0.258495195516164,-0.0438361092352529,1
