"","ykgM","znuA","znuB","znuC","zur","pval","z","inv_cof_var"
"T8405",0.172907591,0.16652947,0.185504252,0.195867978,0.186589786,0.470212343988825,0.0747360954186146,13.7712487034972
"T1995",0.064557869,0.060687897,0.065702275,0.055536397,0.078797206,0.473370142869652,0.0668008009880867,13.4281826774128
"T8143",0.055727815,0.051781127,0.05524628,0.056464958,0.135895152,0.357015766095355,0.366447029293469,26.3827669938321
"T8144",0.07378297,0.065585039,0.072530743,0.071210084,0.123219091,0.417312503055907,0.208773568271243,19.5660813414688
"T8222",0.036573284,0.032580819,0.033743643,0.039399206,0.061542096,0.489696637951208,0.0258295704527802,11.6568763488841
"T0717",0.047575015,0.048961653,0.051958225,0.047805119,0.163510254,0.374726090456049,0.319361791528257,24.3471342206859
"T0718",0.047312356,0.050614479,0.056446627,0.049366539,0.163510254,0.477327262430633,0.0568627532774209,12.9985317596072
"T0719",0.045518572,0.04813956,0.052298591,0.047538762,0.163510254,0.440667397965893,0.149277338792902,16.9938850363623
"T4825",0.070402717,0.066817501,0.063503729,0.064478379,0.064722265,0.398951551902006,0.256061818393581,21.6104909335743
"T4826",0.076447486,0.08794249,0.08190904,0.080680894,0.082204987,0.438636183804029,0.154427885905784,17.2165582774936
"T4827",0.080880324,0.080670628,0.077763177,0.076834949,0.103648789,0.257700329683102,0.650451439614236,38.6611096932961
"T4829",0.084490593,0.08347296,0.094540143,0.093420721,0.083918589,0.455922446526338,0.110711794209988,15.3265835594393
"T5075",0.057672896,0.056668204,0.058918301,0.067341373,0.056234602,0.483565668250135,0.0412064188727645,12.3216625552851
"T5077",0.051683651,0.042396418,0.044475307,0.045430591,0.043218811,0.491083963836762,0.0223510491883312,11.5064896836769
"T5078",0.049732254,0.04678135,0.051613965,0.055996615,0.049840259,0.475343578017768,0.0618438839189048,13.2138806303443
"T5079",0.045402427,0.038876438,0.043352199,0.044427547,0.040310153,0.459656247459276,0.101299774851316,14.9196743883837
"T5080",0.052939617,0.048845802,0.051635756,0.056862178,0.052057679,0.451778395096296,0.121169489100017,15.7787003472074
"T5081",0.04393209,0.041269489,0.046207464,0.04735538,0.043923061,0.444043540638626,0.140725143295548,16.624148569838
"T5082",0.054655016,0.059609391,0.062229217,0.06797324,0.063770863,0.495573308464424,0.0110962978724447,11.0199138115008
"T5083",0.045525392,0.042275001,0.046634937,0.049786652,0.043564552,0.460236256840894,0.0998385358623722,14.8565007459328
"T8212",0.075541084,0.077601695,0.071676279,0.079540494,0.105840238,0.390044800722128,0.279202270302174,22.6109204636413
"T8213",0.038005491,0.040886194,0.036466683,0.041040601,0.07798651,0.436650172721525,0.159467774724843,17.4344474363898
"T8214",0.060808954,0.055771155,0.059009959,0.063688735,0.085421751,0.431158910971322,0.17342443220708,18.0378346278507
"T8215",0.053222164,0.054333943,0.052658219,0.054406452,0.082321588,0.114429459158786,1.20330344012736,62.5625213534797
"T8217",0.04330805,0.045388379,0.041932126,0.045837654,0.094352827,0.376390697623639,0.314973999472961,24.1574371153203
"T8219",0.038518945,0.041573337,0.036679981,0.042054679,0.099963124,0.453903979448761,0.115803900837065,15.5467302471574
"T0931",0.045721413,0.048309202,0.056138349,0.053065979,0.163510254,0.49702047241702,0.00746863751807371,10.8630794265069
"T0932",0.043820902,0.04591788,0.053068672,0.050211755,0.163510254,0.490436540129379,0.0239743353334843,11.5766690994366
"T0933",0.050276168,0.053148102,0.061412961,0.058274093,0.163510254,0.494437953439745,0.0139424348746928,11.1429606523712
"T8138",0.072164933,0.07090664,0.072808271,0.077549151,0.116014347,0.366745899755141,0.340484359183959,25.2603247027506
"T8139",0.076518929,0.075774887,0.076782654,0.080481323,0.106256216,0.272057475118184,0.606602184418415,36.7653779270096
"T8140",0.067076546,0.06674875,0.06957487,0.071898214,0.111119357,0.338083686015488,0.417698769578184,28.5985298774046
"T8141",0.068496882,0.068288693,0.069425956,0.072091179,0.099760142,0.249306227704837,0.676674568766922,39.7948123918751
"T8216",0.04712896,0.048800202,0.045828248,0.049006617,0.080546809,0.311437412961714,0.491780071677942,31.8012816014923
"T8218",0.04830772,0.050704846,0.046722717,0.050939809,0.091257317,0.374601063059476,0.31969160263218,24.3613929209486
"T8220",0.047573562,0.049648974,0.046130324,0.049913009,0.088794906,0.35228974261997,0.379145950889868,26.9317785781878
"T8252",0.076372363,0.077335196,0.074984386,0.078646283,0.120757905,0.182518131178689,0.905810311281168,49.7010218345681
"T8253",0.055759447,0.054487199,0.063472012,0.057729559,0.152022332,0.462847579233238,0.0932623293045841,14.572192070276
