"","Fiber","conditions","mean_corr_new"
"1","0",690,0.0536914815255645
"2","1",546,0.0432162791070093
"3","2",607,0.270209115511482
"4","3",74,0.617504726984023
"5","4",349,0.27337515978214
"6","5",432,0.372703795556609
"7","6",374,0.464755722992402
"8","7",605,0.309459645640795
"9","8",484,0.682614345827347
"10","9",661,0.204728491133195
"11","10",478,0.379282754112087
"12","11",681,0.311703772781237
"13","12",97,0.382770112808098
"14","13",501,0.738167085256885
"15","14",194,0.998956644845765
"16","15",554,0.187491230330776
"17","16",637,0.283282412030818
"18","17",173,0.510883740650696
"19","18",406,0.480376847030183
