Regulators	Fiber	RegulatorSize	FiberSize	Synchronization	numberOfConditions	meanPvalue	MeanCorrelation	MeanRegulatorCorrelation
yqzD	ytlA; frlB; yceJ; yfmG; ywqG; ykvQ; dacC; gpsB; ypeB; ctaB; ylqH; yfkD	1	12	0	269	NA	-0.0267222251280112	-0.148562439994835
hbs; yrvO	fliM; ydgC; padC; yyaC; bacB	2	5	0	269	NA	-0.0721892483492659	0.118238523873947
yxlD; yomO	yrzL; cotU; ydgH; yxaI; yizC; thrC	2	6	0	269	NA	-0.102861325028603	-0.0710700508096511
yyaJ	ytlR; yxjF; yqjB; fecF; yizD; ywzA; pit	1	7	0	269	NA	0.0783801137360835	-0.100787780377959
yczC; yxjM	ydbA; lysA	2	2	0	269	NA	0.0514091543137753	0.217809094757634
	accA; pyrAA; ymaE; nicK; pyrAB; ywcB; yutJ; yrkQ	0	8	0	269	NA	0.0729321025793222	-1
ydbA; noc	racA; ypsC; ykwB; hepS; pepT; bdbD; ybxB; ycnD; pssA; yjzC; pucR; yqeZ; ytaG; corA; yopZ; acoB	2	16	0	269	NA	-0.0459074117648578	0.0742653985149507
yybH; folE; veg	ykwD; ydaK; yfnB; yjiC; yfhA; yjcZ; lutB; tagV; dapA; fra; yvgL; sdpC; yxiI; yxeJ; yrzS; ytoQ; ykzV; yydB; yjgC; ycsI; rsbU; nrdR; yxiF	3	23	0	269	NA	0.0901153557679905	0.0135248371105381
	deaD; purD; youA; yndE; yxeN; yitU; deoR; ydfK; yorM	0	9	0	269	NA	0.0423673199140149	-1
	ydjH; bcaP; sacB; sacT; ytkA; ybfM; phoR; yxaM; yqhY; menH; accD; amhX; spoIIE; nprB; yerI; mscL; cwlP; yrzN; yopZ	0	19	0	269	NA	-0.0105167782754538	-1
cheY	opuAB; gabP; yfmB; yhfI; niaP; ycnB; gutP; cdaA; srfAD; gltA; yrrN; yhcG; pstC; yopX; yjcF; ydiG; ydfG; yqhV; pyrAA; yfhJ; yoyC	1	21	0	269	NA	0.0509743375854863	0.210135232257852
	ybaF; spo0B	0	2	1	269	NA	0.611009774018586	-1
spsL	yosJ; yjcZ; pksN; yktB; yybA; yugE; msmR	1	7	0	269	NA	-0.0413328660402427	-0.17723925599462
sppA; ydjN	sipW; murQ; yomW; ywlE; conD; cysP; ydaS; motI; yycC; spo0B; ugtP; pyrP; yxjN; yocC; yxaD; yrpB; yetJ; glyA	2	18	0	269	NA	0.120688470922264	0.178230255328686
rnpA	pksD; bmrD; ctaE; ycbG; yisR; bsdB	1	6	0	269	NA	0.0449936274452549	-0.182443145340196
yhaL; ywcE; carA	yrdQ; ybbC; yhaO; gerPD; ysxE; gerPC; yddK; yopL; yodQ; sigM; ywrB; lmrB; ywlB; thiX; yqhH; spoVT; yfmK	3	17	0	269	NA	-0.000673348809058105	0.139297717519092
yflK; ywqG; yloH	yoqF; abbA; yocS; panC; yrbC; murQ; pdhA; maa; ycbJ; scpB; xkdE; yhaH; ywbD	3	13	0	269	NA	0.0314088545153969	0.254127105785862
yraA	ylqC; comZ; ytmA; comEB; ynaF; spoIIGA; yueC; ydjG; dfrA; hepS; mtnA; yhgE; yukD; yrdB; rpsNB	1	15	0	269	NA	0.090984941156714	0.0454976411630656
yhcU; ycbG	lctP; yitA; cpgA; yozG; sspA; flgE; swrA; mntC; comK; yrzO; ydzQ; refZ; ydzW/7; yoaP; yqfW; cysC	2	16	0	269	NA	-0.0268661561108695	-0.0161327831243771
yhaL; sknR	nhaK; ptsA; pnbA; yqiI; yhfA; yjbE; yvaE; ydeO; katA; yqgC	2	10	0	269	NA	0.0665205474900778	-0.115204323723445
aroD; nhaC	epsM; ytfP; tuaH; purR; yuiG; yonA	2	6	0	269	NA	-0.0118512314604489	0.200442686586963
	cysI; gerW; sacX; yqgP	0	4	0	269	NA	-0.169543693628622	-1
rpsF	rnhB; spoIIAB; yxbA; cypC; yoaE; yrdD; xkdE; yydI; yjbA; serC; ydaF; nadC; nrnB; spoIIIAB; pelC; yqeD; ytpB; murC; ypwA; yvcB; sspB; ykoP	1	22	0	269	NA	-0.0117175778911769	-0.00652982147719121
yxzJ; ydeE; ebrA	ribD; catD; spo0B; yhdL; ydjH; ykuI; yisZ; rpsL; yvfU; pdhA; yfiR; ykzD; ybxA; ymaG; gatC; pabB	3	16	0	269	NA	0.0667069294220818	0.0982660997196001
yydI	yplQ; ctpA; ypcP; mutS; yycR; nprE; queD; sigM; yopC; alaT; albB; proB; rpsF; yczK; yqbH; kduI; rpsT	1	17	0	269	NA	0.156671620269264	0.100719519196862
	malK; yqeC; flgK; ktrA; yitU	0	5	0	269	NA	-0.00275316340589158	-1
	yfkM; yusR; fhuD; ypuB; cpgA; ytqA; ybcI; recU; bofC; yjzK; yomV; yorD; yoqK; mbl	0	14	0	269	NA	-0.00724698319987483	-1
gamA; purN; yxcA	ydjM; spsD; cwlJ; sacX	3	4	0	269	NA	-0.0475623386976985	0.0421532750021537
	ymcA; yfnG; glnR	0	3	0	269	NA	-0.211513325700896	-1
xkdA; rocE	yqeD; yogA; yjzK; nhaC; lcfA; nadB; queC; ylaM; kdgA; pyrH; yhaR; yhdW; groES; tcyN; rplJ; yqzC; yvgN; yonA; ytcC; ydbA	2	20	0	269	NA	-0.00687639286197864	0.0508465678252186
yvsG; rpsJ; yhcR	ywnC; ohrR; ypmA; malS; murF; nucB; ytfI; hemE; sqhC; ctaG; yybF; yqeB; rho; ggt; yolJ; yabQ; yopU; ansZ; ssuB	3	19	0	269	NA	0.00774589380407099	-0.02609604278708
ytcI; ytnM; frlB	cydB; pyrH; corA; rsbS; licT; sigV; ytkP; mraW; rpsE; polY1; yvcB; gndA; epsD; ycgI; dps; ydzF	3	16	0	269	NA	0.08883389358458	-0.0162747157421439
ypbG; sdpC	ydzJ; argC; yqhH; yktA; yqeG; mrpB; cotT; yhjB; yjdF; yueF; ypzA; yutD; yesM; sbcD	2	14	0	269	NA	-0.0494941936239681	-0.0311454889423438
yshE	dhbA; rok; slrA; queA; murD; rplA; fur; tcyP; yvaM	1	9	0	269	NA	0.0844995050603484	0.313991106391558
	ybxG; oxdD; yqaM; dnaE; yppC; moeB	0	6	0	269	NA	-0.0530968155976343	-1
	dynA; argB; pdxS; ykuP; yocR; trmB; yoqU; sacP; rnjB; yvrJ; sufA; catR; recO	0	13	0	269	NA	0.0407099225266937	-1
xkdW	yteJ; ylmC; cotX; tuaB; cotO; yfiS; araA; ykuQ; bmrD; sigL; ypfD; ypuC/1; ytaF; cotU; ywnC; ydiM	1	16	0	269	NA	-0.0230541077550199	-0.0285602101419443
yfhD; ymfK/2	yczK; yrhK; ssuB; yodN; ytqA	2	5	0	269	NA	0.0448525798875644	-0.11234268516525
	yumC; zur; yxxD; lnrN; brnQ; rbfA; iolU; yrzH; ykzH; cueR; bsaA; capE; tkt; yomE; rpmE; polY1; hxlA; trpE; malK; spoIIR	0	20	0	269	NA	0.0890012033268416	-1
	mtnW; yrpD; cydA; yrkR; cotB; ylxX; ykfA; adhA; skfA; ydgK; resC; bcd; cotQ; spoVE; ydeS; mtnB; ddcA; ybfH	0	18	0	269	NA	-0.0217295646149412	-1
	yqjM; braB; tagC; ptsG; yjnA; adhA; hypO; csaA; yomM; rplU; ykfB; sdhB; ytpB; rhaM; xkdI; yngA; yubA; yonV; yrzL	0	19	0	269	NA	0.0594343977212364	-1
ycdB	yngI; ycbK; yunC; mhqN; yclH; phrH; rapI; sepF; yoqL; yyaN; glnT; accD; yqkC; purM; ribT; spo0A; ywmA	1	17	0	269	NA	-0.0254470708404784	0.0138823514692848
yusW	ykuK; proH; phrA; yraN; ydzQ; yhxD; yuzH; yrkI; ybeF	1	9	0	269	NA	-0.0523754497347708	0.140275643399511
