Regulators	Fiber	RegulatorSize	FiberSize	Synchronization	numberOfConditions	meanPvalue	MeanCorrelation	MeanRegulatorCorrelation
yitP; xpf; rbsA	yxjF; xkzA; nagA; yvqK; spo0F	3	5	0	113	0.135971711382532	0.264292857062528	-0.0406583030252548
	flhG; xtmA; tagB; mcpC; ybfI; yetA; rhaA; miaA; oxdD; comGB; yyaT; ywcJ; ybbC; yflL; dhbA; yxkD; cydB	0	17	0	126	0.159815841832132	-0.00186544442558481	-1
speB; gcvH	fecD; ylbI	2	2	1	73	0.0605350844170912	0.894653786693537	0.506333810330356
phrC; mhqN	treR; gerKA	2	2	0	45	0.0161631431113362	-0.401697645807878	-0.195089006671271
yusF	yfnG; yoqE; ygaO; ytrA; bmrA; yoyB; yrdD/2; yyaE	1	8	0	142	0.201569135458127	-0.0148975568736634	-0.0834294324200489
yqhY; cotX; conE	yvaM; spoVAEB; yybB; yozN; bsdD; parB; ahrC; yeeD; accC; yrzK; rtp; ydaE; ytsP	3	13	0	109	0.13087382323124	-0.020286166047858	-0.0238632629853661
yjbO; yosT; yxiT/1	glnT; xylB; chaA; ymcC; ycdF; yfkS; kapB; yrrN; yodC; swrC	3	10	0	87	0.0858685461051717	0.0141528995190745	0.00102104771159555
ydfS; yvrJ	yddF; ybfO; levR; dltE; ykzS; ywdH; yqkB; phrE; yyaS; bioW; ywqH; glpK; ydeL; cheR; seaA; gatC; yorN; yqxH; yfjE; ytdI	2	20	0	149	0.211169072757652	-0.00367450168385748	-0.0134271225233998
	ywbB; yotC; yvkN	0	3	0	75	0.0696250556235101	0.474897951305441	-1
papA; yosU; wapI	ypkP; rpoB; glgC; yocB; yhaM; tsaB; ywoH; ygaB; yczE; lmrA; atpD; ywbO; yvdC; yvaC; purK; helD; yisQ; pucG; rok; yetN; uxuA	3	21	0	125	0.157972783886119	0.0493827837285589	0.11730698659479
nrnA; dtrR	ygzD; gerAA; yonS; snaA; xkzA; yngH; yisR; slrA; phrI; yyaE; ykwC; ylmE; yodN; yvdR; spx; yabB; glpK; rhiF; mstX; speA; defB; atpI; yorG	2	23	0	125	0.167656249986642	0.00750551525574077	0.0490411043393513
rhiF	ypmS; sspD; yoaE; yoyE; yosI; ygzC; aroB; cshA; bshB1; ygzA; ylxS; yusR; azlD	1	13	0	90	0.088392703226864	-0.00317937066879447	-0.0513990940073925
yktD; rpmJ	ypzF; xylA; yxjL; yoyA; ddcA; ysxC; yxlG; flgL	2	8	0	89	0.0891192023772611	0.0100496264060221	-0.0459540845468267
cdaR; ebrB; cysK	yobA; tuaA/2; yybN; ymaD; recQ; pdaC; fabG; pstA; yqgW; ykvR; cgeC; pgpH; gatC; kdgA; oppD; yozO; ribT; cotB; folK; ypoC; ykzH; iolI	3	22	0	115	0.1441733820481	-0.00480966146726707	0.0739193336792957
sspH	ywmA; yjkB; yqkB; catD; yveG; srtN; recX; secY; proA; yvyE; parE; ywpE; ydbI; rplL; ylnF	1	15	0	116	0.135215015856537	0.143868641621526	-0.326140838039856
	aseA; yyzO; rplM; artP; ybaR; bshB2; yubC; ykzT; ypeP; spoIVFA; fadG; xkdP; yyaO; yyaF	0	14	0	101	0.113627010938702	0.115897245008357	-1
ykhA; yoqF	yolC; mtnD; yheN; mrgA; yobV; ydzT/1; yorY; ynaG; btr; cdsA; ydcI; lplB; folD; yopG; yisU; recR; ywcC; yydK; ytvB; ybyB; moaD; remB	2	22	0	138	0.19048845305215	0.045620774764037	0.0684469315499824
